,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,114647,6,1,3,-33,1.4,-113481,50.9,0.02,2,0,4,0,7.49,20.13,0.23,-2.38,-10.49,0,0.0009,0,0
01_rank,0,0,50,0,0,0,0.0,112,104.0,136.0,158,151,142,142,0.0,11.0,83.0,136.0,162.0,159,74.0,117,151
02,169,14415,-23,0,7,-93,0.8,-446692,6.4,0.0,15,0,3,0,-13.05,-6.03,-4.68,4.35,-6.69,0,-0.0007,0,0
02_rank,0,0,163,0,0,0,0.0,112,138.0,152.0,49,53,142,151,0.0,150.0,161.0,19.0,150.0,94,113.0,160,73
03,148,11855,-6,0,2,-82,1.2,-110137,5.3,0.0,5,0,3,0,-4.34,-2.88,-1.57,1.27,-1.15,0,-0.0002,0,0
03_rank,0,0,110,0,0,0,0.0,78,104.0,121.0,106,99,117,115,0.0,97.0,119.0,53.0,105.0,60,80.0,123,50
04,131,16300,-9,0,0,-54,1.0,-38561,7.2,0.01,2,0,1,0,-6.22,-1.33,-4.15,1.33,-2.06,0,-0.0005,0,0
04_rank,0,0,102,0,0,0,0.0,31,82.0,102.0,120,118,130,129,0.0,69.0,113.0,26.0,101.0,59,63.0,49,37
05,157,85265,0,1,8,-72,1.9,-443167,37.9,0.0,4,0,2,0,2.54,1.73,-1.71,2.29,0.22,0,0.0001,0,0
05_rank,0,0,38,0,0,0,0.0,60,86.0,114.0,119,116,145,140,0.0,51.0,134.0,23.0,77.0,49,48.0,94,135
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,30868,4,0,6,-84,0.6,-338630,13.7,0.0,13,0,2,0,8.43,19.69,-1.79,10.43,-19.9,0,0.0002,0,0
07_rank,0,0,25,0,0,0,0.0,79,111.0,128.0,64,63,137,134,0.0,16.0,116.0,5.0,146.0,81,58.0,123,140
08,150,50291,-3,0,7,-80,0.4,-407074,22.3,0.0,23,0,2,0,-1.2,10.31,-3.18,0.36,-8.69,0,0.0,0,0
08_rank,0,0,80,0,0,0,0.0,64,74.0,86.0,58,58,132,128,0.0,28.0,117.0,61.0,132.0,33,75.0,77,113
09,121,7334,-7,0,2,-91,3.0,-148693,3.3,0.0,13,0,4,0,-4.42,12.28,-2.12,-1.2,-13.37,0,0.0,0,0
09_rank,0,0,80,0,0,0,0.0,37,75.0,98.0,19,18,78,78,0.0,24.0,92.0,100.0,114.0,21,66.0,73,104
10,134,129670,19,1,3,-25,0.5,-87248,57.6,0.01,1,0,1,0,18.65,3.14,-3.58,17.36,1.73,0,0.0009,0,0
10_rank,0,0,13,0,0,0,0.0,46,62.0,75.0,129,129,130,130,0.0,42.0,112.0,3.0,36.0,22,25.0,51,23
11,150,46778,-22,0,7,-80,0.7,-391797,20.8,0.0,12,0,4,0,-12.8,-0.76,-6.88,-2.49,-2.67,0,-0.001,0,0
11_rank,0,0,122,0,0,0,0.0,64,81.0,93.0,27,25,93,88,0.0,93.0,131.0,118.0,93.0,42,116.0,79,121
12,127,9471,-36,0,1,-83,1.2,-95958,4.2,0.0,3,0,2,0,-16.97,-16.29,-3.54,-0.47,3.33,0,-0.0023,0,0
12_rank,0,0,126,0,0,0,0.0,62,100.0,109.0,114,114,99,100,0.0,125.0,106.0,89.0,10.0,52,81.0,94,116
13,160,19928,-7,0,4,-86,1.5,-249395,8.9,0.0,27,0,3,0,-5.18,4.14,-3.79,0.75,-6.29,0,-0.0001,0,0
13_rank,0,0,125,0,0,0,0.0,83,110.0,122.0,33,34,126,122,0.0,48.0,141.0,62.0,141.0,7,95.0,124,148
14,165,6733721,6,91,42,44,0.6,4129144,2992.4,0.36,1,0,9,0,31.13,17.79,-0.17,-5.78,19.29,0,0.0435,0,0
14_rank,0,0,19,0,0,0,0.0,27,15.0,45.0,150,146,44,41,0.0,19.0,142.0,144.0,19.0,39,14.0,19,20
