,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,55747,8,6,9,-40,0.9,-76537,25.3,0.01,6,0,2,0,9.61,14.7,0.41,-10.81,5.32,0,0.0005,0,0
01_rank,0,0,37,0,0,0,0.0,102,131.0,152.0,92,103,163,159,0.0,19.0,75.0,173.0,26.0,64,82.0,123,54
02,169,24416,-28,2,16,-79,1.5,-193768,11.1,0.0,3,0,1,0,-14.78,-4.09,-4.8,-11.02,5.14,0,-0.0019,0,0
02_rank,0,0,166,0,0,0,0.0,85,122.0,147.0,144,139,167,168,0.0,141.0,163.0,168.0,25.0,105,122.0,138,66
03,148,4164,-27,0,3,-81,0.5,-36065,1.9,0.0,1,0,1,0,-14.5,-7.19,0.43,-3.63,-4.11,0,-0.0007,0,0
03_rank,0,0,145,0,0,0,0.0,57,118.0,138.0,143,140,148,148,0.0,123.0,70.0,139.0,127.0,24,97.0,109,141
04,131,15861,-17,1,10,-80,0.7,-127049,7.2,0.01,4,0,1,0,-10.65,-10.39,-2.8,-5.49,8.03,0,-0.0012,0,0
04_rank,0,0,115,0,0,0,0.0,54,83.0,103.0,106,103,127,130,0.0,120.0,104.0,118.0,10.0,28,74.0,89,116
05,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06,127,20715,-7,2,2,-25,1.6,-14140,9.4,0.01,4,0,1,0,-6.91,-5.51,-7.66,5.79,0.46,0,-0.001,0,0
06_rank,0,0,97,0,0,0,0.0,34,61.0,91.0,95,95,126,126,0.0,101.0,125.0,8.0,43.0,97,66.0,45,24
07,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09,121,8909,-10,0,2,-62,1.1,-29137,4.0,0.0,1,0,1,0,-6.89,-7.34,-3.7,3.65,0.5,0,-0.0001,0,0
09_rank,0,0,93,0,0,0,0.0,18,72.0,91.0,119,119,121,121,0.0,99.0,106.0,19.0,26.0,8,71.0,33,86
10,134,45339,-7,5,4,-15,2.9,-17009,20.6,0.0,2,0,2,0,-6.34,0.83,-2.88,-7.07,2.78,0,-0.0003,0,0
10_rank,0,0,102,0,0,0,0.0,28,74.0,86.0,127,127,118,115,0.0,56.0,103.0,130.0,25.0,41,78.0,38,95
11,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12,127,431014,3,48,4,76,1.3,373623,195.6,0.09,9,0,2,0,1.02,0.02,0.04,0.31,0.65,0,0.0009,0,0
12_rank,0,0,43,0,0,0,0.0,32,27.0,60.0,89,88,104,102,0.0,56.0,83.0,65.0,26.0,86,33.0,36,69
13,160,23259,15,2,6,-56,0.6,-59423,10.6,0.0,1,0,1,0,15.73,13.88,-0.38,-0.42,2.64,0,0.0002,0,0
13_rank,0,0,25,0,0,0,0.0,44,102.0,119.0,160,158,159,159,0.0,25.0,97.0,104.0,39.0,18,59.0,68,28
14,165,255319,76,28,12,20,0.7,86706,115.9,0.01,1,0,1,0,370.97,195.53,3.55,80.56,91.34,0,0.0026,0,0
14_rank,0,0,3,0,0,0,0.0,57,93.0,117.0,163,160,157,157,0.0,5.0,78.0,1.0,6.0,87,57.0,60,98
