,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,811057,25,35,6,62,1.0,624509,32.6,0.11,4,0,7,0,31.81,5.22,2.66,9.99,13.93,0,0.0136,0,0
01_rank,0,0,7,0,0,0,0.0,40,124.0,79.0,130,124,88,88,0.0,52.0,17.0,8.0,13.0,140,24.0,53,85
02,169,219543,6,9,11,-21,0.9,-119868,8.8,0.03,5,0,3,0,6.15,2.48,-0.49,3.4,0.76,0,0.0014,0,0
02_rank,0,0,33,0,0,0,0.0,77,127.0,108.0,113,110,145,143,0.0,58.0,96.0,28.0,66.0,100,53.0,68,116
03,148,14279,2,0,2,-67,1.3,-59371,0.6,0.0,3,0,5,0,2.12,18.17,-2.75,0.1,-13.4,0,0.0001,0,0
03_rank,0,0,43,0,0,0,0.0,63,134.0,118.0,126,126,80,87,0.0,7.0,132.0,79.0,143.0,55,63.0,94,129
04,131,49524,6,2,12,-75,1.6,-308900,2.0,0.02,11,0,2,0,6.03,15.78,-8.33,6.36,-7.79,0,0.0008,0,0
04_rank,0,0,17,0,0,0,0.0,79,101.0,83.0,62,65,111,109,0.0,6.0,129.0,4.0,126.0,31,28.0,90,50
05,157,26118,38,1,12,-86,1.3,-343617,1.0,0.0,2,0,8,0,59.37,143.98,-0.46,3.0,-87.16,0,0.0002,0,0
05_rank,0,0,9,0,0,0,0.0,55,137.0,127.0,137,134,79,79,0.0,4.0,99.0,18.0,156.0,146,43.0,116,139
06,127,6810,-22,0,0,-55,2.6,-16979,0.3,0.0,4,0,1,0,-13.54,-12.14,-0.25,8.05,-9.2,0,-0.0014,0,0
06_rank,0,0,112,0,0,0,0.0,39,116.0,111.0,87,90,124,123,0.0,120.0,73.0,6.0,107.0,116,70.0,64,38
07,152,487539,58,21,8,33,0.7,245299,19.6,0.04,1,0,7,0,131.67,143.42,-0.39,8.37,-19.73,0,0.0074,0,0
07_rank,0,0,6,0,0,0,0.0,31,99.0,78.0,146,144,68,69,0.0,6.0,88.0,10.0,145.0,28,25.0,37,3
08,150,20726,12,0,7,-82,0.7,-199635,0.8,0.0,13,0,4,0,15.38,18.65,-0.76,10.09,-12.6,0,0.0001,0,0
08_rank,0,0,17,0,0,0,0.0,39,130.0,107.0,97,93,110,110,0.0,18.0,81.0,6.0,142.0,53,53.0,70,26
09,121,3027,20,0,2,-91,0.4,-63616,0.1,0.0,13,0,3,0,24.61,26.37,-0.93,3.1,-3.93,0,0.0,0,0
09_rank,0,0,11,0,0,0,0.0,22,112.0,108.0,21,22,101,100,0.0,13.0,74.0,25.0,91.0,111,46.0,63,102
10,134,3613,8,0,2,-91,0.3,-74898,0.1,0.0,12,0,4,0,6.53,17.19,-1.58,25.05,-34.12,0,0.0,0,0
10_rank,0,0,24,0,0,0,0.0,41,126.0,119.0,50,49,97,98,0.0,15.0,81.0,2.0,134.0,7,46.0,98,47
11,150,6063,0,0,6,-93,0.5,-183935,0.2,0.0,13,0,9,0,-0.36,43.78,-0.52,19.86,-63.49,0,0.0,0,0
11_rank,0,0,66,0,0,0,0.0,42,141.0,135.0,22,24,38,54,0.0,22.0,76.0,8.0,137.0,64,63.0,105,130
12,127,468665,11,20,1,87,1.7,437876,18.8,0.1,18,0,5,0,8.28,12.26,-0.11,-1.35,-2.52,0,0.006,0,0
12_rank,0,0,16,0,0,0,0.0,28,76.0,59.0,59,59,63,61,0.0,13.0,84.0,104.0,90.0,78,18.0,28,66
13,160,40283,4,1,5,-61,0.9,-130130,1.6,0.0,11,0,3,0,3.89,20.8,0.77,-1.84,-15.85,0,0.0001,0,0
13_rank,0,0,52,0,0,0,0.0,60,130.0,106.0,79,76,129,127,0.0,17.0,62.0,125.0,154.0,53,65.0,77,131
14,165,160749,-12,7,19,-55,1.6,-404650,6.5,0.01,5,0,9,0,3.88,3.47,6.02,-0.43,-5.18,0,0.0003,0,0
14_rank,0,0,63,0,0,0,0.0,89,147.0,128.0,30,35,39,36,0.0,45.0,50.0,88.0,134.0,120,80.0,116,147
