,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,231685,17,10,14,-47,1.8,-424134,183.4,0.03,6,0,10,0,21.04,9.74,0.11,7.15,4.04,0,0.0033,0,0
01_rank,0,0,15,0,0,0,0.0,126,55.0,118.0,88,90,52,66,0.0,30.0,92.0,18.0,31.0,156,55.0,136,154
02,169,579875,-4,26,12,1,1.5,16175,459.0,0.08,4,0,9,0,-3.17,1.3,-0.11,-2.85,-1.51,0,-0.003,0,0
02_rank,0,0,125,0,0,0,0.0,52,28.0,81.0,126,121,62,60,0.0,69.0,74.0,137.0,131.0,71,129.0,42,22
03,148,9645,-10,0,2,-83,1.3,-98423,7.6,0.0,11,0,4,0,-7.18,-7.29,1.61,2.01,-3.51,0,-0.0003,0,0
03_rank,0,0,124,0,0,0,0.0,73,96.0,123.0,48,48,96,95,0.0,124.0,41.0,35.0,124.0,48,85.0,125,47
04,131,102983,0,4,5,-39,1.1,-136883,81.5,0.04,19,0,3,0,0.78,-2.8,0.33,3.4,-0.14,0,0.0003,0,0
04_rank,0,0,37,0,0,0,0.0,59,26.0,74.0,40,41,104,99,0.0,87.0,37.0,13.0,70.0,55,33.0,47,97
05,157,94787,4,4,9,-65,1.2,-357505,75.0,0.01,6,0,4,0,5.46,9.05,0.43,2.57,-6.6,0,0.0002,0,0
05_rank,0,0,27,0,0,0,0.0,56,72.0,110.0,95,93,106,103,0.0,23.0,32.0,21.0,147.0,144,41.0,84,133
06,127,21433,8,0,1,-48,2.0,-40168,17.0,0.01,9,0,3,0,5.16,15.19,-0.04,-1.22,-8.78,0,0.0004,0,0
06_rank,0,0,18,0,0,0,0.0,49,49.0,89.0,48,45,91,88,0.0,18.0,69.0,72.0,105.0,110,33.0,63,103
07,152,14498,-19,0,6,-91,1.2,-296297,11.5,0.0,17,0,4,0,-9.87,-5.64,0.61,-0.13,-4.71,0,-0.0002,0,0
07_rank,0,0,134,0,0,0,0.0,72,115.0,137.0,53,53,99,96,0.0,121.0,48.0,77.0,125.0,128,80.0,132,62
08,150,17419,-14,0,6,-88,2.7,-269401,13.8,0.0,24,0,5,0,-8.48,-9.64,-0.2,1.83,-0.47,0,-0.0002,0,0
08_rank,0,0,117,0,0,0,0.0,48,82.0,112.0,57,57,99,98,0.0,126.0,67.0,33.0,79.0,143,94.0,91,38
09,121,119313,62,5,7,-48,0.9,-221765,94.4,0.01,2,0,4,0,127.03,119.53,0.32,1.01,6.18,0,0.0019,0,0
09_rank,0,0,4,0,0,0,0.0,47,41.0,62.0,115,115,80,77,0.0,5.0,39.0,61.0,10.0,85,25.0,38,75
10,134,16241,-9,0,3,-81,0.9,-147255,12.9,0.0,12,0,5,0,-7.34,-1.1,1.64,-7.31,-0.56,0,-0.0001,0,0
10_rank,0,0,105,0,0,0,0.0,55,85.0,104.0,52,52,76,76,0.0,81.0,9.0,131.0,79.0,105,67.0,90,44
11,150,19978,26,0,7,-89,1.4,-349884,15.8,0.0,3,0,3,0,30.48,184.44,1.5,3.84,-159.31,0,0.0001,0,0
11_rank,0,0,16,0,0,0,0.0,58,84.0,108.0,128,123,122,117,0.0,9.0,44.0,29.0,148.0,22,53.0,96,32
12,127,665373,-5,30,1,77,1.7,580627,526.6,0.14,9,0,6,0,-5.15,-3.94,0.21,-0.86,-0.56,0,-0.01,0,0
12_rank,0,0,91,0,0,0,0.0,27,3.0,53.0,92,91,51,54,0.0,92.0,75.0,100.0,50.0,41,102.0,21,70
13,160,174067,-2,7,6,-29,2.0,-148101,137.8,0.01,16,0,5,0,-1.43,-2.22,1.4,1.47,-2.08,0,-0.0002,0,0
13_rank,0,0,95,0,0,0,0.0,63,55.0,82.0,64,62,90,85,0.0,108.0,34.0,37.0,120.0,41,101.0,51,24
14,165,114798,7,5,15,-72,1.0,-601088,90.9,0.01,2,0,4,0,33.38,4.19,5.24,19.81,4.14,0,0.0008,0,0
14_rank,0,0,17,0,0,0,0.0,94,101.0,136.0,111,109,114,110,0.0,42.0,53.0,7.0,32.0,36,73.0,135,55
