,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,780503,-6,16,4,47,0.8,504500,314.8,0.11,9,0,7,0,-3.66,-4.11,-0.28,-1.87,2.6,0,-0.0048,0,0
01_rank,0,0,144,0,0,0,0.0,42,37.0,82.0,62,61,92,95,0.0,156.0,113.0,133.0,47.0,58,143.0,40,107
02,169,200728,-15,4,9,-51,1.0,-432249,80.9,0.03,9,0,4,0,-9.65,-2.29,-4.38,-3.58,0.61,0,-0.0051,0,0
02_rank,0,0,158,0,0,0,0.0,111,86.0,110.0,82,80,130,128,0.0,124.0,158.0,144.0,68.0,57,138.0,113,145
03,148,45878,0,0,2,-56,0.7,-117056,18.5,0.01,5,0,6,0,0.76,0.45,-2.97,2.53,0.76,0,0.0001,0,0
03_rank,0,0,61,0,0,0,0.0,81,76.0,94.0,100,94,71,75,0.0,58.0,133.0,27.0,51.0,117,61.0,86,121
04,131,4636,-27,0,1,-87,0.5,-66838,1.9,0.0,22,0,2,0,-14.46,-3.63,-9.16,1.41,-3.08,0,-0.0008,0,0
04_rank,0,0,122,0,0,0,0.0,39,102.0,122.0,31,43,123,120,0.0,96.0,130.0,24.0,112.0,118,70.0,99,66
05,157,44480,-26,0,10,-87,1.2,-630138,17.9,0.0,4,0,4,0,-13.72,-1.19,-2.0,-12.91,2.39,0,-0.001,0,0
05_rank,0,0,145,0,0,0,0.0,74,105.0,120.0,112,110,112,108,0.0,93.0,139.0,151.0,45.0,93,103.0,121,72
06,127,20938,0,0,1,-52,0.6,-47133,8.4,0.01,3,0,3,0,-2.43,6.3,-4.3,-2.96,-1.47,0,-0.0003,0,0
06_rank,0,0,60,0,0,0,0.0,51,65.0,90.0,101,100,88,87,0.0,37.0,115.0,91.0,70.0,10,55.0,67,106
07,152,722418,7,15,11,-2,0.9,-43412,291.3,0.06,5,0,4,0,12.56,27.69,-1.93,0.88,-14.07,0,0.0049,0,0
07_rank,0,0,15,0,0,0,0.0,38,41.0,70.0,107,104,104,104,0.0,13.0,118.0,53.0,144.0,116,30.0,38,93
08,150,67543,-21,1,7,-76,0.4,-446139,27.2,0.0,18,0,2,0,-11.46,-7.96,-4.89,1.78,-0.39,0,-0.0013,0,0
08_rank,0,0,127,0,0,0,0.0,70,70.0,83.0,76,73,140,138,0.0,120.0,134.0,35.0,77.0,27,122.0,75,109
09,121,7851,-31,0,2,-91,0.8,-176601,3.2,0.0,21,0,3,0,-15.28,-11.59,-7.77,-2.57,6.64,0,-0.0005,0,0
09_rank,0,0,113,0,0,0,0.0,39,76.0,95.0,4,4,100,99,0.0,108.0,115.0,109.0,7.0,13,86.0,78,106
10,134,36767,15,0,3,-70,0.8,-173038,14.8,0.0,2,0,2,0,13.52,6.93,-7.41,5.01,8.99,0,0.0002,0,0
10_rank,0,0,18,0,0,0,0.0,61,79.0,94.0,119,116,113,114,0.0,27.0,130.0,6.0,9.0,26,33.0,80,36
11,150,321668,-2,6,15,-52,0.2,-718794,129.7,0.02,3,0,4,0,-2.65,11.4,-10.03,-2.95,-1.06,0,-0.0006,0,0
11_rank,0,0,81,0,0,0,0.0,84,51.0,66.0,108,106,100,99,0.0,35.0,144.0,121.0,79.0,59,106.0,52,110
12,127,1857,-32,0,2,-97,0.5,-167772,0.7,0.0,26,0,3,0,-16.12,-12.29,-6.35,2.55,-0.03,0,-0.0003,0,0
12_rank,0,0,123,0,0,0,0.0,76,115.0,122.0,41,46,88,87,0.0,121.0,122.0,24.0,32.0,56,59.0,125,57
13,160,23513,-30,0,6,-89,0.4,-392751,9.5,0.0,17,0,5,0,-15.4,-11.69,-7.5,-1.38,5.17,0,-0.0012,0,0
13_rank,0,0,151,0,0,0,0.0,100,106.0,118.0,57,57,95,95,0.0,142.0,159.0,120.0,27.0,46,115.0,137,61
14,165,2255663,-1,46,23,16,1.5,648496,909.6,0.12,3,0,5,0,17.8,-2.09,2.69,13.38,3.82,0,0.0113,0,0
14_rank,0,0,27,0,0,0,0.0,47,34.0,77.0,93,90,86,82,0.0,95.0,88.0,13.0,36.0,116,28.0,34,104
