,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,5143152,1,6,4,19,1.5,1669567,92.0,0.7,24,0,22,0,2.26,2.9,-0.58,3.34,-3.39,0,0.0143,0,0
01_rank,0,0,79,0,0,0,0.0,29,85.0,30.0,17,17,4,4,0.0,72.0,126.0,48.0,134.0,33,23.0,7,23
02,169,4175097,-3,5,4,6,1.3,542093,74.7,0.56,41,0,20,0,-1.97,1.61,-2.26,0.0,-1.33,0,-0.0123,0,0
02_rank,0,0,114,0,0,0,0.0,30,94.0,38.0,6,6,5,5,0.0,66.0,138.0,83.0,128.0,26,155.0,15,107
03,148,1967908,0,2,1,15,1.2,524455,35.2,0.6,6,0,15,0,0.34,1.82,-0.79,1.05,-1.74,0,0.002,0,0
03_rank,0,0,66,0,0,0,0.0,24,57.0,37.0,83,78,14,14,0.0,42.0,92.0,56.0,114.0,18,37.0,26,7
04,131,409870,-3,0,1,-51,0.8,-866558,7.3,0.14,22,0,14,0,-2.1,4.02,-3.88,3.17,-5.41,0,-0.0033,0,0
04_rank,0,0,69,0,0,0,0.0,105,81.0,48.0,33,32,19,19,0.0,27.0,111.0,17.0,120.0,32,89.0,70,103
05,157,5881890,-7,7,12,-24,1.2,-3721222,105.2,0.31,62,0,25,0,-3.93,-1.01,-0.83,-1.58,-0.51,0,-0.0153,0,0
05_rank,0,0,106,0,0,0,0.0,124,68.0,36.0,6,6,3,3,0.0,87.0,116.0,91.0,96.0,20,142.0,59,118
06,127,396117,0,0,1,-47,1.0,-725993,7.1,0.19,19,0,15,0,-1.86,2.37,-1.49,-0.49,-2.26,0,-0.0039,0,0
06_rank,0,0,55,0,0,0,0.0,107,68.0,42.0,2,2,7,6,0.0,47.0,92.0,59.0,81.0,41,94.0,77,102
07,152,15306987,-5,20,6,52,1.4,10555494,273.8,1.34,11,0,14,0,-1.07,1.62,-0.67,-1.66,-0.36,0,-0.0151,0,0
07_rank,0,0,81,0,0,0,0.0,7,45.0,22.0,68,66,19,19,0.0,52.0,95.0,99.0,82.0,23,134.0,16,74
08,150,4980856,-8,6,12,-29,1.2,-4151558,89.1,0.35,10,0,17,0,-4.42,-2.08,-1.96,2.4,-2.77,0,-0.02,0,0
08_rank,0,0,104,0,0,0,0.0,128,50.0,33.0,108,105,18,18,0.0,102.0,107.0,28.0,104.0,8,141.0,46,88
09,121,908023,-5,1,7,-73,1.2,-4984624,16.2,0.08,17,0,19,0,-3.55,1.86,-2.54,1.1,-3.96,0,-0.0035,0,0
09_rank,0,0,78,0,0,0,0.0,105,62.0,42.0,8,8,4,4,0.0,53.0,99.0,59.0,92.0,1,96.0,64,90
10,134,1167306,-6,1,4,-49,1.0,-2247995,20.9,0.09,40,0,16,0,-5.23,-0.72,-2.79,-0.38,-1.34,0,-0.0062,0,0
10_rank,0,0,95,0,0,0,0.0,114,73.0,46.0,7,7,8,8,0.0,75.0,102.0,69.0,102.0,2,108.0,74,107
11,150,9834726,1,13,9,16,1.0,2747057,175.9,0.59,7,0,10,0,0.45,1.89,-1.86,2.95,-2.53,0,0.0026,0,0
11_rank,0,0,59,0,0,0,0.0,15,45.0,27.0,72,68,29,28,0.0,70.0,97.0,35.0,91.0,57,33.0,18,4
12,127,492214,0,0,2,-57,1.0,-1350524,8.8,0.11,26,0,6,0,-2.32,1.6,0.32,7.71,-11.95,0,-0.0028,0,0
12_rank,0,0,77,0,0,0,0.0,107,93.0,58.0,42,41,49,47,0.0,46.0,70.0,4.0,121.0,5,82.0,84,104
13,160,2137385,-3,2,6,-36,1.0,-2448065,38.2,0.16,56,0,19,0,-2.77,1.65,-1.78,2.32,-4.96,0,-0.0051,0,0
13_rank,0,0,106,0,0,0,0.0,143,74.0,44.0,5,5,3,3,0.0,69.0,124.0,24.0,137.0,25,134.0,70,116
14,165,17454299,-11,23,15,20,1.6,6048765,312.2,0.93,10,0,11,0,4.84,1.3,7.98,-2.7,-1.74,0,0.0361,0,0
14_rank,0,0,58,0,0,0,0.0,25,66.0,29.0,2,2,20,20,0.0,61.0,31.0,127.0,98.0,40,16.0,3,26
