,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
01_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
02,169,10378,-9,0,7,-94,1.2,-336670,2.0,0.0,2,0,2,0,-6.03,-10.92,-3.29,2.2,5.97,0,-0.0001,0,0
02_rank,0,0,147,0,0,0,0.0,101,154.0,156.0,164,167,151,164,0.0,161.0,152.0,40.0,20.0,136,97.0,159,72
03,148,327234,51,6,1,66,1.6,261093,63.8,0.1,4,0,3,0,87.45,77.16,3.34,-1.58,8.52,0,0.0162,0,0
03_rank,0,0,2,0,0,0,0.0,29,45.0,65.0,118,121,110,106,0.0,3.0,14.0,121.0,12.0,137,18.0,40,68
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,157,8981,-2,0,6,-94,1.7,-287026,1.8,0.0,2,0,2,0,-0.25,-14.9,-2.94,-1.75,19.34,0,0.0,0,0
05_rank,0,0,68,0,0,0,0.0,49,133.0,140.0,145,150,142,141,0.0,147.0,150.0,94.0,4.0,124,63.0,137,79
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,966778,109,20,13,21,1.0,344913,188.6,0.08,1,0,4,0,441.37,490.17,-1.72,1.78,-48.87,0,0.0162,0,0
07_rank,0,0,3,0,0,0,0.0,26,54.0,65.0,151,149,107,106,0.0,2.0,115.0,42.0,149.0,109,15.0,36,83
08,150,20566,-27,0,12,-93,1.7,-560106,4.0,0.0,13,0,10,0,-13.93,-12.59,-3.37,-3.44,5.47,0,-0.0007,0,0
08_rank,0,0,135,0,0,0,0.0,77,102.0,108.0,93,95,44,57,0.0,134.0,120.0,130.0,20.0,77,112.0,119,135
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,134,1047,-37,0,5,-99,1.0,-260377,0.2,0.0,8,0,8,0,-17.11,-15.42,-2.45,0.13,0.63,0,-0.0001,0,0
10_rank,0,0,132,0,0,0,0.0,68,123.0,133.0,71,75,49,59,0.0,129.0,97.0,56.0,50.0,125,65.0,132,66
11,150,7375,-72,0,29,-98,2.4,-1333787,1.4,0.0,7,0,6,0,-19.89,-19.77,-9.07,-7.48,16.43,0,-0.0158,0,0
11_rank,0,0,150,0,0,0,0.0,100,120.0,131.0,67,77,62,71,0.0,149.0,139.0,141.0,6.0,44,139.0,147,148
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,10891,-27,0,5,-92,1.4,-253678,2.1,0.0,4,0,5,0,-14.53,-14.14,-1.18,-5.45,6.24,0,-0.0004,0,0
13_rank,0,0,149,0,0,0,0.0,84,126.0,133.0,134,133,91,90,0.0,150.0,113.0,144.0,25.0,1,108.0,140,154
14,165,3309366,-13,69,1,97,0.9,3261728,645.6,0.18,1,0,2,0,2.52,-1.98,2.11,-1.71,4.1,0,0.0039,0,0
14_rank,0,0,71,0,0,0,0.0,34,43.0,69.0,154,150,138,135,0.0,94.0,102.0,108.0,33.0,64,47.0,43,3
