,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,219664,-8,10,10,-23,1.4,-133343,17.7,0.03,8,0,9,0,-5.26,-3.84,0.29,-17.55,15.84,0,-0.0022,0,0
01_rank,0,0,157,0,0,0,0.0,115,148.0,120.0,74,76,71,77,0.0,155.0,81.0,176.0,10.0,15,127.0,108,141
02,169,11851,30,0,9,-92,0.5,-303574,1.0,0.0,3,0,3,0,39.31,27.92,0.11,1.86,9.42,0,0.0002,0,0
02_rank,0,0,8,0,0,0,0.0,99,162.0,153.0,135,137,140,139,0.0,13.0,62.0,45.0,14.0,27,74.0,152,65
03,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
03_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08,150,4387,-46,0,9,-97,0.0,-297858,0.4,0.0,11,0,6,0,-18.23,-17.89,0.03,-8.47,8.1,0,-0.0006,0,0
08_rank,0,0,147,0,0,0,0.0,53,136.0,140.0,107,114,85,94,0.0,147.0,61.0,148.0,15.0,43,111.0,129,142
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,150,55892,35,2,10,-71,0.1,-276113,4.5,0.0,1,0,1,0,45.03,161.02,-1.05,-0.43,-114.51,0,0.0005,0,0
11_rank,0,0,14,0,0,0,0.0,50,102.0,88.0,148,148,148,147,0.0,10.0,83.0,90.0,145.0,47,45.0,64,22
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,1881,-63,0,6,-98,0.6,-216935,0.2,0.0,19,0,7,0,-19.66,-19.62,1.68,-13.41,11.7,0,-0.0016,0,0
13_rank,0,0,160,0,0,0,0.0,80,155.0,155.0,50,56,66,72,0.0,160.0,27.0,157.0,14.0,88,122.0,155,76
14,165,1390399,53,63,12,53,0.8,970787,112.2,0.07,1,0,4,0,201.48,31.67,-5.63,4.23,171.22,0,0.0134,0,0
14_rank,0,0,5,0,0,0,0.0,45,96.0,87.0,138,133,108,116,0.0,15.0,161.0,36.0,4.0,55,25.0,47,16
