,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,289929,-13,26,6,21,0.8,100887,16.1,0.04,3,0,5,0,-8.35,-9.93,-0.08,-17.73,19.39,0,-0.0057,0,0
01_rank,0,0,164,0,0,0,0.0,66,151.0,111.0,149,141,110,110,0.0,172.0,104.0,177.0,6.0,128,147.0,72,31
02,169,10631,-8,0,9,-93,0.4,-289140,0.6,0.0,5,0,8,0,-5.56,-5.89,-1.48,-3.25,5.05,0,-0.0001,0,0
02_rank,0,0,144,0,0,0,0.0,96,163.0,154.0,102,105,78,83,0.0,149.0,123.0,141.0,26.0,59,95.0,155,71
03,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
03_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,157,69450,-20,6,14,-72,0.2,-374061,3.9,0.0,1,0,1,0,-11.37,-11.66,-1.42,0.0,1.71,0,-0.001,0,0
05_rank,0,0,140,0,0,0,0.0,58,124.0,117.0,155,152,157,156,0.0,142.0,130.0,60.0,51.0,63,102.0,96,59
06,127,6837,-23,0,0,-57,1.0,-18496,0.4,0.0,3,0,2,0,-13.77,-9.08,3.46,-12.44,4.29,0,-0.0014,0,0
06_rank,0,0,113,0,0,0,0.0,40,112.0,110.0,111,109,116,116,0.0,115.0,7.0,122.0,16.0,9,73.0,66,107
07,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08,150,12721,-29,1,13,-94,0.6,-400134,0.7,0.0,9,0,4,0,-14.65,-13.07,0.63,-0.9,-1.3,0,-0.0005,0,0
08_rank,0,0,138,0,0,0,0.0,63,132.0,122.0,116,118,104,102,0.0,135.0,39.0,96.0,89.0,85,110.0,118,46
09,121,2040,12,0,4,-97,0.7,-148220,0.1,0.0,7,0,4,0,13.79,19.79,-1.21,5.61,-10.41,0,0.0,0,0
09_rank,0,0,17,0,0,0,0.0,36,113.0,115.0,61,61,76,76,0.0,19.0,82.0,9.0,111.0,7,52.0,100,44
10,134,3522,16,0,3,-94,0.0,-111644,0.2,0.0,5,0,6,0,14.74,7.57,0.54,-2.14,8.77,0,0.0,0,0
10_rank,0,0,15,0,0,0,0.0,52,125.0,120.0,83,83,62,60,0.0,26.0,26.0,109.0,10.0,90,44.0,110,123
11,150,5662,-35,0,12,-97,5.6,-400615,0.3,0.0,5,0,3,0,-16.56,-16.7,4.72,2.86,-7.44,0,-0.0003,0,0
11_rank,0,0,133,0,0,0,0.0,65,137.0,137.0,86,89,116,113,0.0,137.0,10.0,37.0,111.0,21,93.0,130,137
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,7481,0,0,6,-92,0.9,-186478,0.4,0.0,5,0,4,0,0.03,-3.33,7.29,-10.39,6.45,0,0.0,0,0
13_rank,0,0,81,0,0,0,0.0,73,146.0,138.0,115,114,107,102,0.0,119.0,2.0,155.0,24.0,17,82.0,138,60
14,165,1176,-58,0,12,-99,1.5,-377777,0.1,0.0,3,0,4,0,-18.86,-19.02,0.71,8.17,-8.73,0,-0.0002,0,0
14_rank,0,0,163,0,0,0,0.0,87,164.0,165.0,74,107,111,113,0.0,162.0,128.0,22.0,152.0,63,106.0,165,165
