,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,433613,1,12,8,-4,0.0,-40905,15.0,0.06,4,0,19,0,2.92,7.88,1.43,-0.12,-6.26,0,0.0015,0,0
01_rank,0,0,72,0,0,0,0.0,96,153.0,102.0,134,127,7,8,0.0,35.0,30.0,99.0,152.0,129,66.0,86,128
02,169,149603,-11,4,6,-42,0.0,-217680,5.2,0.02,8,0,7,0,-7.21,-0.43,-1.1,-6.21,0.53,0,-0.0023,0,0
02_rank,0,0,153,0,0,0,0.0,88,142.0,113.0,84,84,83,87,0.0,95.0,114.0,158.0,71.0,56,125.0,92,137
03,148,31025,-27,0,2,-55,0.0,-78123,1.1,0.01,6,0,1,0,-14.22,-14.69,4.25,4.43,-8.22,0,-0.0046,0,0
03_rank,0,0,143,0,0,0,0.0,68,124.0,105.0,80,90,134,134,0.0,146.0,5.0,12.0,138.0,46,120.0,83,30
04,131,1844,0,0,1,-95,0.0,-88023,0.1,0.0,6,0,2,0,0.71,-2.81,-5.5,-0.05,9.07,0,0.0,0,0
04_rank,0,0,38,0,0,0,0.0,48,130.0,131.0,93,108,117,117,0.0,88.0,119.0,66.0,7.0,6,41.0,125,70
05,157,463169,39,13,14,-24,0.0,-304559,16.1,0.02,1,0,2,0,61.28,2.17,-0.66,44.28,15.49,0,0.0037,0,0
05_rank,0,0,7,0,0,0,0.0,51,108.0,80.0,156,155,148,148,0.0,48.0,105.0,1.0,10.0,19,25.0,45,19
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,893692,-5,26,11,17,0.0,263239,31.0,0.08,2,0,2,0,-0.58,10.15,-2.14,-6.28,-2.31,0,-0.0005,0,0
07_rank,0,0,76,0,0,0,0.0,30,84.0,67.0,131,131,142,140,0.0,24.0,123.0,139.0,116.0,42,88.0,39,11
08,150,31196,-15,0,13,-91,0.0,-664457,1.1,0.0,27,0,8,0,-8.68,1.36,-4.31,-2.94,-2.79,0,-0.0003,0,0
08_rank,0,0,119,0,0,0,0.0,80,124.0,100.0,48,52,63,76,0.0,68.0,129.0,124.0,105.0,58,103.0,115,132
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,150,98463,0,2,7,-61,0.0,-314594,3.4,0.01,3,0,3,0,-0.68,53.83,-1.88,20.95,-73.59,0,0.0,0,0
11_rank,0,0,67,0,0,0,0.0,54,105.0,81.0,124,122,121,116,0.0,19.0,98.0,5.0,139.0,8,72.0,51,109
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,36452,-25,1,4,-74,0.0,-216626,1.3,0.0,3,0,2,0,-13.9,-12.79,-3.83,-10.15,12.88,0,-0.0012,0,0
13_rank,0,0,147,0,0,0,0.0,79,131.0,108.0,143,142,147,147,0.0,147.0,143.0,154.0,10.0,33,117.0,99,51
14,165,1240936,0,36,19,8,0.0,197328,43.0,0.07,5,0,4,0,20.38,5.31,4.54,-1.1,11.64,0,0.0066,0,0
14_rank,0,0,23,0,0,0,0.0,53,114.0,89.0,29,29,113,106,0.0,38.0,66.0,97.0,26.0,60,39.0,38,25
