,G1,G2,G3,G4,G5,G6,P2,P4a,P5a,C1a,C1b,C1c,C1d
01,0.021828784654920868,0.0,7.189981770395544e-06,1.4379963540791089e-05,-0.00011863469921152649,4.673488150757103e-06,4.673488150757103e-06,1.4379963540791089e-05,7.189981770395544e-06,2.167779503774257e-05,-1.0605223111333427e-05,1.7939004517136884e-05,-2.4841387016716605e-05
02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.005777150352512818,-1.7974954425988862e-05,0.0,3.594990885197772e-06,-0.00010425473567073537,2.5164936196384403e-06,1.0784972655593315e-06,3.594990885197772e-06,3.594990885197772e-06,-1.0425473567073538e-05,-2.085094713414708e-05,-3.9544899737175495e-07,1.2798167551304067e-05
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.9997418002373041,0.0004421838788793259,0.0003415241340937883,0.0,0.00035230910674938166,0.0,0.00020886897042999056,7.189981770395544e-06,7.189981770395544e-06,0.0016639774811226407,5.4284362366486356e-05,-2.2324893397078164e-05,0.0017835828278731703
