,G1,G2,G3,G4,G5,G6,P2,P4a,P5a,C1a,C1b,C1c,C1d
01,0.5824364122582403,9.584023001833755e-07,3.3544080506418144e-05,7.667218401467004e-06,4.983691960953553e-05,1.0542425302017132e-06,0.00013542224501591102,2.875206900550127e-06,7.667218401467004e-06,-1.217170921232887e-06,-1.6580359793172397e-06,-1.4951075882860658e-06,6.958000699331308e-06
02,0.3769290822368196,-1.916804600366751e-06,2.1084850604034264e-05,8.625620701650381e-06,2.5876862104951145e-05,8.625620701650381e-07,8.759797023676053e-05,1.916804600366751e-06,5.750413801100254e-06,8.146419551558692e-07,-1.6772040253209072e-06,-9.77570346187043e-07,1.0542425302017133e-07
03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7202029093003998,-1.7251241403300762e-05,4.121129890788515e-05,1.8209643703484133e-05,2.396005750458439e-05,7.667218401467005e-07,0.00016743288184203572,1.916804600366751e-06,1.916804600366751e-06,-4.6961712708985405e-07,5.9420942611369285e-06,-1.9168046003667512e-08,-7.600130240454167e-06
