,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,245029,1,59,40,-62,0.9,-826527,22.5,0.03,2,0,8,0,2.93,10.81,2.34,-6.66,-3.57,0,0.0009,0,0
01_rank,0,0,71,0,0,0,0.0,141,136.0,116.0,167,163,79,78,0.0,28.0,21.0,162.0,137.0,90,73.0,155,166
02,169,43050,-4,10,8,-68,1.0,-187059,4.0,0.01,6,0,4,0,-3.27,-1.83,-2.85,-6.89,8.31,0,-0.0002,0,0
02_rank,0,0,126,0,0,0,0.0,84,148.0,138.0,96,95,124,118,0.0,119.0,149.0,162.0,16.0,13,100.0,126,150
03,148,5784,-22,1,0,-62,0.7,-19221,0.5,0.0,2,0,3,0,-12.66,-8.2,3.89,1.97,-10.32,0,-0.0006,0,0
03_rank,0,0,138,0,0,0,0.0,51,135.0,131.0,130,132,120,121,0.0,128.0,9.0,37.0,141.0,73,94.0,84,34
04,131,11061,-5,2,1,-54,0.8,-26626,1.0,0.0,1,0,1,0,-4.12,-4.29,0.39,-1.43,1.21,0,-0.0002,0,0
04_rank,0,0,89,0,0,0,0.0,30,112.0,110.0,129,127,125,123,0.0,101.0,34.0,93.0,42.0,95,52.0,48,36
05,157,5922,4,1,6,-93,0.4,-160334,0.5,0.0,9,0,4,0,5.77,12.02,4.3,-4.77,-5.78,0,0.0,0,0
05_rank,0,0,26,0,0,0,0.0,38,145.0,145.0,72,86,113,121,0.0,19.0,2.0,125.0,145.0,140,62.0,122,148
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,34934,-15,8,6,-64,1.1,-128232,3.2,0.0,8,0,3,0,-7.89,15.62,-8.93,-6.34,-8.24,0,-0.0004,0,0
07_rank,0,0,129,0,0,0,0.0,53,133.0,127.0,84,87,119,119,0.0,18.0,152.0,140.0,134.0,5,86.0,88,127
08,150,11361,15,2,3,-80,0.8,-92588,1.0,0.0,14,0,6,0,19.5,35.87,-1.12,-5.25,-10.0,0,0.0001,0,0
08_rank,0,0,15,0,0,0,0.0,27,126.0,125.0,90,101,95,93,0.0,12.0,92.0,143.0,137.0,5,56.0,62,29
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,150,5456,17,1,7,-94,1.4,-197405,0.5,0.0,9,0,9,0,17.03,37.58,-2.73,-1.01,-16.81,0,0.0,0,0
11_rank,0,0,18,0,0,0,0.0,43,134.0,138.0,56,63,37,37,0.0,24.0,110.0,100.0,126.0,25,59.0,113,56
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,5651,20,1,2,-80,0.4,-47009,0.5,0.0,8,0,4,0,22.91,62.44,3.84,-3.97,-39.4,0,0.0,0,0
13_rank,0,0,15,0,0,0,0.0,38,143.0,146.0,92,101,112,111,0.0,6.0,7.0,142.0,158.0,15,70.0,89,49
14,165,22227,-15,5,18,-91,1.0,-461425,2.0,0.0,3,0,5,0,0.15,28.97,2.6,23.15,-54.56,0,0.0,0,0
14_rank,0,0,90,0,0,0,0.0,93,156.0,150.0,97,106,85,83,0.0,16.0,89.0,6.0,160.0,20,92.0,153,72
