,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,2214770,-1,84,6,33,0.8,1110966,21.6,0.3,6,0,15,0,0.1,-1.2,0.54,1.66,-0.9,0,0.0003,0,0
01_rank,0,0,102,0,0,0,0.0,35,140.0,57.0,91,89,18,18,0.0,120.0,66.0,67.0,100.0,146,91.0,32,111
02,169,41895,9,1,7,-93,1.9,-1162619,0.4,0.01,6,0,12,0,9.91,3.63,0.88,3.25,2.15,0,0.0004,0,0
02_rank,0,0,26,0,0,0,0.0,137,164.0,140.0,98,99,41,37,0.0,50.0,32.0,31.0,41.0,67,66.0,162,161
03,148,1282,-28,0,1,-99,3.3,-265174,0.0,0.0,1,0,1,0,-14.76,-6.12,-4.9,-4.97,1.23,0,-0.0002,0,0
03_rank,0,0,146,0,0,0,0.0,99,147.0,147.0,145,146,143,146,0.0,118.0,142.0,142.0,46.0,32,82.0,147,148
04,131,24238,-2,0,1,-84,0.9,-262187,0.2,0.01,12,0,6,0,-1.53,0.03,-1.15,-0.51,0.1,0,-0.0001,0,0
04_rank,0,0,60,0,0,0,0.0,74,124.0,95.0,58,75,66,71,0.0,58.0,82.0,77.0,61.0,16,49.0,104,117
05,157,4535,-6,0,14,-99,0.8,-2353077,0.0,0.0,6,0,8,0,-3.34,0.05,-0.34,-6.19,3.14,0,0.0,0,0
05_rank,0,0,103,0,0,0,0.0,117,156.0,150.0,103,117,75,90,0.0,73.0,89.0,139.0,36.0,4,69.0,157,157
06,127,107351,2,4,0,-2,1.0,-6491,1.0,0.05,4,0,5,0,-0.43,24.79,0.12,-8.22,-17.12,0,-0.0002,0,0
06_rank,0,0,44,0,0,0,0.0,28,103.0,64.0,86,86,61,59,0.0,14.0,64.0,115.0,116.0,22,52.0,27,83
07,152,15924,62,0,13,-98,1.5,-2258416,0.2,0.0,4,0,4,0,145.64,168.32,0.08,12.0,-34.76,0,0.0002,0,0
07_rank,0,0,5,0,0,0,0.0,128,150.0,136.0,116,120,112,117,0.0,5.0,66.0,4.0,148.0,51,54.0,151,151
08,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12,127,56908,10,2,2,-73,1.2,-308549,0.6,0.01,21,0,3,0,7.55,10.15,0.6,-0.04,-3.18,0,0.0007,0,0
12_rank,0,0,18,0,0,0,0.0,85,117.0,92.0,50,56,86,86,0.0,17.0,60.0,80.0,95.0,27,35.0,89,41
13,160,3707,6,0,4,-98,1.3,-694646,0.0,0.0,10,0,10,0,5.59,3.71,-0.18,1.75,0.31,0,0.0,0,0
13_rank,0,0,40,0,0,0,0.0,120,159.0,150.0,84,113,36,43,0.0,50.0,89.0,34.0,67.0,9,76.0,158,75
14,165,15900,-10,0,8,-97,1.3,-1438079,0.2,0.0,2,0,3,0,5.12,-0.6,10.0,51.0,-55.28,0,0.0,0,0
14_rank,0,0,57,0,0,0,0.0,119,162.0,154.0,103,105,116,117,0.0,71.0,21.0,3.0,161.0,138,88.0,163,164
