,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,2705891,1,56,6,47,2.0,1732300,55.8,0.37,5,0,11,0,2.17,0.1,-0.03,-0.56,2.66,0,0.0073,0,0
01_rank,0,0,80,0,0,0,0.0,27,99.0,48.0,104,100,48,49,0.0,103.0,100.0,106.0,44.0,115,34.0,33,104
02,169,379720,-14,7,5,-40,2.0,-518625,7.8,0.05,12,0,11,0,-9.17,-8.87,-1.77,-2.71,4.17,0,-0.0087,0,0
02_rank,0,0,156,0,0,0,0.0,118,132.0,91.0,65,64,47,49,0.0,155.0,131.0,135.0,29.0,118,147.0,98,46
03,148,43536,-20,0,3,-83,1.1,-447440,0.9,0.01,12,0,5,0,-12.06,-11.85,1.88,-3.41,1.32,0,-0.004,0,0
03_rank,0,0,135,0,0,0,0.0,111,127.0,98.0,46,44,81,79,0.0,140.0,36.0,137.0,40.0,118,116.0,128,51
04,131,24726,-30,0,5,-93,0.9,-766921,0.5,0.01,12,0,6,0,-15.16,-15.02,1.51,-4.16,2.51,0,-0.0053,0,0
04_rank,0,0,125,0,0,0,0.0,103,118.0,94.0,56,55,74,73,0.0,126.0,14.0,115.0,33.0,54,96.0,128,68
05,157,314253,-17,6,14,-74,1.3,-1870712,6.5,0.02,10,0,5,0,-9.85,-9.93,0.44,-2.88,2.52,0,-0.0032,0,0
05_rank,0,0,136,0,0,0,0.0,114,121.0,88.0,69,68,101,101,0.0,137.0,30.0,110.0,43.0,56,122.0,113,56
06,127,98867,-7,2,2,-53,0.8,-227365,2.0,0.05,6,0,6,0,-7.01,10.44,0.89,-7.66,-10.69,0,-0.0051,0,0
06_rank,0,0,100,0,0,0,0.0,87,90.0,66.0,74,74,52,51,0.0,29.0,35.0,112.0,109.0,1,98.0,80,104
07,152,174120,-21,3,11,-81,1.6,-1575361,3.6,0.02,14,0,3,0,-11.04,-7.85,-0.34,-3.66,0.82,0,-0.0038,0,0
07_rank,0,0,137,0,0,0,0.0,117,129.0,97.0,59,59,129,128,0.0,130.0,86.0,122.0,50.0,32,117.0,127,139
08,150,105215,2,2,9,-86,1.5,-1310772,2.2,0.01,2,0,2,0,4.26,-3.13,-2.4,0.6,9.19,0,0.0003,0,0
08_rank,0,0,32,0,0,0,0.0,104,111.0,75.0,145,145,139,136,0.0,107.0,111.0,53.0,11.0,112,45.0,105,119
09,121,14263,-36,0,5,-96,1.8,-792721,0.3,0.0,9,0,9,0,-16.71,-16.03,2.15,-3.23,0.4,0,-0.0013,0,0
09_rank,0,0,117,0,0,0,0.0,74,106.0,83.0,43,45,38,42,0.0,115.0,9.0,114.0,27.0,23,90.0,108,113
10,134,40044,-8,0,5,-90,0.9,-756990,0.8,0.0,8,0,5,0,-6.84,-4.26,-0.38,1.89,-4.1,0,-0.0003,0,0
10_rank,0,0,104,0,0,0,0.0,98,110.0,90.0,70,69,79,75,0.0,103.0,49.0,19.0,123.0,52,77.0,112,52
11,150,27503,-23,0,8,-95,4.7,-1286640,0.6,0.0,7,0,3,0,-13.37,-9.82,-5.07,-0.32,1.84,0,-0.0007,0,0
11_rank,0,0,125,0,0,0,0.0,96,133.0,102.0,68,64,118,111,0.0,116.0,121.0,83.0,44.0,11,108.0,128,135
12,127,377522,11,7,6,-45,1.0,-639413,7.8,0.08,10,0,1,0,8.16,5.6,2.05,-2.07,2.58,0,0.0047,0,0
12_rank,0,0,17,0,0,0,0.0,96,95.0,64.0,85,84,123,122,0.0,26.0,17.0,115.0,18.0,115,21.0,75,99
13,160,150813,-16,3,7,-76,0.9,-972243,3.1,0.01,23,0,7,0,-10.1,-9.85,1.76,-1.63,-0.37,0,-0.0023,0,0
13_rank,0,0,136,0,0,0,0.0,127,120.0,86.0,40,40,72,71,0.0,139.0,26.0,124.0,85.0,62,127.0,116,48
14,165,309379,-5,6,8,-62,1.7,-1009698,6.4,0.02,5,0,8,0,12.02,-1.81,19.74,1.47,-7.37,0,0.0012,0,0
14_rank,0,0,38,0,0,0,0.0,108,148.0,115.0,33,28,54,70,0.0,93.0,6.0,67.0,145.0,163,69.0,126,150
