,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,179585,-2,28,7,12,1.0,39157,15.1,0.02,5,0,4,0,-0.46,3.94,-3.43,-4.42,3.45,0,-0.0001,0,0
01_rank,0,0,111,0,0,0,0.0,75,152.0,126.0,108,109,132,131,0.0,64.0,165.0,155.0,34.0,91,110.0,75,32
02,169,76291,12,12,11,-46,1.3,-132642,6.4,0.01,9,0,1,0,13.19,30.71,-6.2,2.81,-14.14,0,0.0008,0,0
02_rank,0,0,22,0,0,0,0.0,78,139.0,128.0,78,77,161,162,0.0,11.0,168.0,34.0,160.0,18,57.0,96,43
03,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
03_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,157,8839,25,1,14,-93,1.2,-248852,0.7,0.0,6,0,2,0,33.67,35.86,-0.18,2.65,-4.67,0,0.0001,0,0
05_rank,0,0,12,0,0,0,0.0,46,141.0,141.0,97,96,150,150,0.0,10.0,80.0,20.0,141.0,65,55.0,131,144
06,127,7859,-3,1,1,-48,1.4,-14681,0.7,0.0,6,0,3,0,-4.61,-2.5,1.52,-16.74,13.1,0,-0.0002,0,0
06_rank,0,0,81,0,0,0,0.0,36,109.0,108.0,70,67,86,84,0.0,85.0,22.0,127.0,3.0,31,51.0,56,100
07,152,16453,0,2,13,-87,1.5,-228511,1.4,0.0,7,0,3,0,4.81,12.07,-7.14,-4.78,4.66,0,0.0001,0,0
07_rank,0,0,36,0,0,0,0.0,67,139.0,135.0,92,90,120,122,0.0,21.0,150.0,132.0,17.0,93,64.0,125,144
08,150,16569,55,2,9,-82,1.8,-151625,1.4,0.0,28,0,4,0,108.39,87.12,-0.03,3.71,17.6,0,0.0002,0,0
08_rank,0,0,3,0,0,0,0.0,34,120.0,114.0,47,50,105,109,0.0,2.0,63.0,17.0,5.0,3,47.0,68,17
09,121,6238,50,1,8,-92,1.3,-144628,0.5,0.0,6,0,7,0,86.79,102.59,1.47,8.99,-26.27,0,0.0001,0,0
09_rank,0,0,5,0,0,0,0.0,34,103.0,102.0,63,65,60,66,0.0,7.0,15.0,3.0,118.0,55,40.0,75,100
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,150,11195,-23,1,7,-85,1.0,-127067,0.9,0.0,6,0,5,0,-13.13,-11.61,-5.69,-5.54,9.71,0,-0.0003,0,0
11_rank,0,0,124,0,0,0,0.0,36,125.0,121.0,78,73,80,84,0.0,125.0,126.0,136.0,13.0,18,87.0,75,124
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,7542,9,1,8,-90,1.1,-146581,0.6,0.0,15,0,4,0,8.66,31.28,-2.88,-3.69,-16.05,0,0.0,0,0
13_rank,0,0,34,0,0,0,0.0,61,140.0,137.0,68,66,109,114,0.0,10.0,131.0,139.0,155.0,100,73.0,127,153
14,165,197808,0,31,2,60,1.5,149651,16.6,0.01,4,0,5,0,21.17,9.78,12.75,-15.45,14.1,0,0.0011,0,0
14_rank,0,0,21,0,0,0,0.0,54,137.0,124.0,45,42,83,80,0.0,24.0,14.0,157.0,25.0,49,70.0,42,13
