,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,574496,8,21,12,-8,0.8,-100564,37.3,0.08,16,0,15,0,8.99,4.24,1.13,5.67,-2.05,0,0.0049,0,0
01_rank,0,0,39,0,0,0,0.0,106,120.0,92.0,34,35,20,21,0.0,60.0,42.0,27.0,115.0,60,47.0,90,37
02,169,389781,0,14,11,-24,1.0,-256391,25.3,0.05,8,0,16,0,0.54,4.77,-1.04,0.17,-3.36,0,0.0003,0,0
02_rank,0,0,78,0,0,0,0.0,92,114.0,89.0,83,82,14,19,0.0,41.0,113.0,79.0,142.0,106,71.0,74,124
03,148,23022,0,0,2,-71,2.2,-114561,1.5,0.01,5,0,9,0,0.7,2.93,2.42,-2.1,-2.54,0,0.0,0,0
03_rank,0,0,62,0,0,0,0.0,79,121.0,111.0,102,95,40,39,0.0,36.0,26.0,127.0,119.0,126,66.0,103,134
04,131,6732,-5,0,1,-83,0.9,-67446,0.4,0.0,6,0,4,0,-4.14,9.28,2.0,-3.01,-12.4,0,-0.0001,0,0
04_rank,0,0,90,0,0,0,0.0,41,120.0,117.0,88,89,95,96,0.0,15.0,10.0,107.0,129.0,30,48.0,88,115
05,157,364600,-2,13,11,-27,0.8,-275104,23.7,0.02,3,0,3,0,-0.35,-0.27,1.33,-1.35,-0.06,0,-0.0001,0,0
05_rank,0,0,71,0,0,0,0.0,48,98.0,86.0,124,121,128,119,0.0,79.0,11.0,89.0,82.0,62,77.0,47,23
06,127,11087,8,0,0,-17,0.6,-4721,0.7,0.01,3,0,4,0,5.28,34.4,4.22,-10.23,-23.11,0,0.0002,0,0
06_rank,0,0,17,0,0,0,0.0,27,107.0,101.0,108,107,84,81,0.0,11.0,3.0,117.0,118.0,37,38.0,39,19
07,152,295410,-6,11,8,-21,0.9,-162520,19.2,0.03,2,0,3,0,-1.4,-2.9,2.52,-1.92,0.91,0,-0.0004,0,0
07_rank,0,0,84,0,0,0,0.0,61,103.0,85.0,134,133,127,124,0.0,110.0,8.0,104.0,49.0,4,85.0,52,96
08,150,32492,-10,1,11,-90,0.5,-609995,2.1,0.0,20,0,16,0,-5.81,4.4,-4.4,-1.57,-4.24,0,-0.0002,0,0
08_rank,0,0,109,0,0,0,0.0,78,112.0,96.0,65,68,19,22,0.0,47.0,131.0,105.0,113.0,73,95.0,109,128
09,121,13592,13,0,3,-86,0.2,-179040,0.9,0.0,3,0,4,0,15.1,21.64,-1.46,0.73,-5.81,0,0.0001,0,0
09_rank,0,0,16,0,0,0,0.0,41,97.0,84.0,93,93,84,82,0.0,17.0,85.0,69.0,100.0,57,37.0,65,98
10,134,19977,-4,0,2,-77,0.2,-133972,1.3,0.0,2,0,9,0,-4.33,-0.45,-3.26,-0.69,0.07,0,-0.0001,0,0
10_rank,0,0,92,0,0,0,0.0,54,105.0,99.0,121,121,35,50,0.0,72.0,106.0,74.0,65.0,29,64.0,84,113
11,150,23030,-22,0,8,-90,1.6,-436710,1.5,0.0,12,0,15,0,-12.9,-11.81,-1.64,-2.22,2.76,0,-0.0005,0,0
11_rank,0,0,123,0,0,0,0.0,67,119.0,106.0,25,31,14,18,0.0,126.0,94.0,116.0,39.0,55,104.0,104,129
12,127,1418,-5,0,0,-91,1.0,-29172,0.1,0.0,12,0,12,0,-5.25,-2.78,16.07,-0.74,-17.82,0,0.0,0,0
12_rank,0,0,94,0,0,0,0.0,52,123.0,126.0,74,85,11,11,0.0,83.0,1.0,97.0,123.0,23,49.0,107,120
13,160,87598,17,3,3,-41,0.6,-123452,5.7,0.01,4,0,7,0,19.0,13.38,4.7,2.32,-1.4,0,0.0006,0,0
13_rank,0,0,22,0,0,0,0.0,59,115.0,97.0,138,134,63,65,0.0,26.0,6.0,26.0,110.0,66,43.0,60,113
14,165,446464,0,16,20,-43,0.8,-693340,29.0,0.02,3,0,9,0,20.14,12.02,5.12,2.43,0.57,0,0.0024,0,0
14_rank,0,0,24,0,0,0,0.0,99,123.0,109.0,82,80,42,38,0.0,20.0,60.0,56.0,59.0,78,58.0,101,40
