,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,26541,2,1,7,-61,1.1,-84469,19.8,0.0,8,0,6,0,3.74,6.73,0.69,-1.14,-2.54,0,0.0001,0,0
01_rank,0,0,66,0,0,0,0.0,103,141.0,162.0,70,73,103,108,0.0,42.0,58.0,119.0,124.0,100,96.0,151,165
02,169,920637,0,57,14,63,2.1,715982,685.5,0.12,3,0,2,0,0.63,0.17,-3.35,1.9,1.91,0,0.0008,0,0
02_rank,0,0,76,0,0,0,0.0,29,14.0,68.0,143,138,148,145,0.0,87.0,154.0,44.0,46.0,82,58.0,45,80
03,148,87285,3,5,3,30,0.9,41010,65.0,0.03,4,0,1,0,3.53,3.95,-1.61,-0.87,2.05,0,0.0008,0,0
03_rank,0,0,36,0,0,0,0.0,38,43.0,85.0,109,105,145,143,0.0,27.0,120.0,108.0,33.0,140,48.0,46,81
04,131,31509,2,1,3,-22,0.8,-18769,23.5,0.01,3,0,1,0,2.05,1.37,-3.92,0.26,4.35,0,0.0002,0,0
04_rank,0,0,28,0,0,0,0.0,26,56.0,86.0,113,110,131,128,0.0,44.0,112.0,49.0,21.0,14,35.0,37,24
05,157,233915,-8,14,14,4,3.3,21693,174.2,0.01,2,0,2,0,-4.45,-0.97,-1.52,-3.92,1.96,0,-0.0007,0,0
05_rank,0,0,111,0,0,0,0.0,24,59.0,93.0,142,139,138,134,0.0,86.0,132.0,117.0,49.0,127,98.0,26,12
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,22475,25,1,8,-68,1.0,-99754,16.7,0.0,4,0,3,0,39.42,42.23,-0.21,-5.35,2.75,0,0.0003,0,0
07_rank,0,0,11,0,0,0,0.0,48,109.0,134.0,119,115,125,123,0.0,12.0,80.0,134.0,31.0,147,52.0,92,126
08,150,34750,24,2,5,-36,1.4,-39792,25.9,0.0,24,0,9,0,32.78,39.26,-3.87,-0.67,-1.94,0,0.0003,0,0
08_rank,0,0,10,0,0,0,0.0,24,71.0,94.0,56,56,57,56,0.0,10.0,125.0,92.0,98.0,103,42.0,31,92
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,134,18035,42,1,3,-48,1.8,-34136,13.4,0.0,13,0,7,0,57.57,54.88,-3.45,4.95,1.18,0,0.0002,0,0
10_rank,0,0,5,0,0,0,0.0,32,82.0,100.0,48,47,58,55,0.0,5.0,108.0,7.0,40.0,58,35.0,59,102
11,150,4222,-2,0,7,-92,1.2,-105109,3.1,0.0,11,0,6,0,-2.62,3.42,-7.22,1.42,-0.24,0,0.0,0,0
11_rank,0,0,80,0,0,0,0.0,33,107.0,140.0,33,32,70,70,0.0,56.0,133.0,48.0,68.0,133,66.0,90,51
12,127,154428,7,9,2,60,0.9,116052,115.0,0.03,10,0,1,0,4.76,11.76,-3.91,-0.34,-2.75,0,0.0013,0,0
12_rank,0,0,28,0,0,0,0.0,38,40.0,81.0,81,82,125,125,0.0,14.0,110.0,87.0,91.0,65,31.0,44,74
13,160,34576,-12,2,8,-54,1.6,-84034,25.7,0.0,6,0,3,0,-8.14,-4.26,-3.85,-3.9,3.87,0,-0.0004,0,0
13_rank,0,0,131,0,0,0,0.0,51,81.0,109.0,105,102,124,120,0.0,128.0,144.0,140.0,29.0,113,106.0,69,35
14,165,25604,-32,1,13,-76,1.6,-162383,19.1,0.0,5,0,2,0,-11.94,-14.96,26.68,-40.24,16.59,0,-0.0004,0,0
14_rank,0,0,153,0,0,0,0.0,75,132.0,148.0,38,49,141,144,0.0,157.0,2.0,164.0,21.0,47,110.0,134,154
