,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,81604,-8,11,5,-4,0.4,-8080,10.7,0.01,2,0,11,0,-5.18,-3.33,2.67,-4.07,-0.45,0,-0.0008,0,0
01_rank,0,0,156,0,0,0,0.0,86,155.0,144.0,160,156,46,64,0.0,150.0,16.0,152.0,91.0,13,118.0,89,129
02,169,111064,6,15,8,-13,3.0,-33324,14.6,0.02,10,0,5,0,6.39,-0.94,0.03,3.05,4.25,0,0.0007,0,0
02_rank,0,0,32,0,0,0,0.0,60,119.0,121.0,76,78,108,105,0.0,109.0,69.0,32.0,28.0,48,59.0,65,26
03,148,1685,-15,0,1,-84,0.3,-18975,0.2,0.0,6,0,4,0,-9.67,-9.48,4.39,117.41,-121.99,0,-0.0001,0,0
03_rank,0,0,131,0,0,0,0.0,50,142.0,144.0,87,113,100,109,0.0,131.0,4.0,1.0,148.0,61,78.0,113,48
04,131,19522,-3,2,5,-66,0.3,-78203,2.6,0.01,4,0,6,0,-2.75,3.35,5.66,-6.3,-5.47,0,-0.0002,0,0
04_rank,0,0,76,0,0,0,0.0,45,97.0,97.0,111,121,67,77,0.0,31.0,2.0,120.0,121.0,104,55.0,67,45
05,157,91679,2,12,18,-55,0.6,-226610,12.1,0.0,4,0,6,0,3.59,9.45,-1.04,-6.27,1.46,0,0.0001,0,0
05_rank,0,0,29,0,0,0,0.0,44,111.0,112.0,121,120,92,92,0.0,22.0,119.0,141.0,54.0,57,46.0,66,128
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,77147,-21,10,10,-40,1.4,-102910,10.1,0.01,3,0,3,0,-11.07,-9.34,-2.44,-2.81,3.52,0,-0.0017,0,0
07_rank,0,0,138,0,0,0,0.0,49,117.0,116.0,124,124,124,129,0.0,133.0,130.0,117.0,24.0,36,108.0,66,117
08,150,32207,8,4,11,-71,0.4,-161455,4.2,0.0,14,0,7,0,10.71,18.22,0.49,-1.08,-6.92,0,0.0002,0,0
08_rank,0,0,18,0,0,0,0.0,37,101.0,98.0,91,96,77,74,0.0,19.0,45.0,101.0,125.0,7,49.0,55,20
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,150,52047,-9,7,10,-55,0.3,-127725,6.8,0.0,4,0,6,0,-7.12,-10.11,-9.12,-5.3,17.41,0,-0.0003,0,0
11_rank,0,0,100,0,0,0,0.0,37,93.0,89.0,103,102,67,69,0.0,119.0,140.0,135.0,5.0,6,96.0,42,111
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,118311,4,16,3,27,0.4,50380,15.6,0.01,4,0,5,0,4.18,-0.01,5.12,4.25,-5.19,0,0.0003,0,0
13_rank,0,0,50,0,0,0,0.0,32,91.0,91.0,133,138,88,91,0.0,88.0,5.0,10.0,138.0,28,50.0,37,1
14,165,95139,-16,13,14,-43,1.1,-145476,12.5,0.01,1,0,3,0,-0.79,-7.62,1.97,-9.76,14.63,0,0.0,0,0
14_rank,0,0,102,0,0,0,0.0,74,139.0,138.0,147,163,127,128,0.0,131.0,104.0,153.0,24.0,24,97.0,96,137
