,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"245,029",1%,59%,40%,-62%,0.9,"-826,527",22.5,0.03%,2, ,8, ,2.9300%,10.8100%,2.3400%,-6.6600%,-3.5700%, ,0.0009%, , 
01_rank, , ,71, , , , ,141,136,116,167,163,79,78, ,28,21,162,137,90,73,155,166
02,169,"43,050",-4%,10%,8%,-68%,1.0,"-187,059",4.0,0.01%,6, ,4, ,-3.2700%,-1.8300%,-2.8500%,-6.8900%,8.3100%, ,-0.0002%, , 
02_rank, , ,126, , , , ,84,148,138,96,95,124,118, ,119,149,162,16,13,100,126,150
03,148,"5,784",-22%,1%,0%,-62%,0.7,"-19,221",0.5,0.00%,2, ,3, ,-12.6600%,-8.2000%,3.8900%,1.9700%,-10.3200%, ,-0.0006%, , 
03_rank, , ,138, , , , ,51,135,131,130,132,120,121, ,128,9,37,141,73,94,84,34
04,131,"11,061",-5%,2%,1%,-54%,0.8,"-26,626",1.0,0.00%,1, ,1, ,-4.1200%,-4.2900%,0.3900%,-1.4300%,1.2100%, ,-0.0002%, , 
04_rank, , ,89, , , , ,30,112,110,129,127,125,123, ,101,34,93,42,95,52,48,36
05,157,"5,922",4%,1%,6%,-93%,0.4,"-160,334",0.5,0.00%,9, ,4, ,5.7700%,12.0200%,4.3000%,-4.7700%,-5.7800%, ,0.0000%, , 
05_rank, , ,26, , , , ,38,145,145,72,86,113,121, ,19,2,125,145,140,62,122,148
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"34,934",-15%,8%,6%,-64%,1.1,"-128,232",3.2,0.00%,8, ,3, ,-7.8900%,15.6200%,-8.9300%,-6.3400%,-8.2400%, ,-0.0004%, , 
07_rank, , ,129, , , , ,53,133,127,84,87,119,119, ,18,152,140,134,5,86,88,127
08,150,"11,361",15%,2%,3%,-80%,0.8,"-92,588",1.0,0.00%,14, ,6, ,19.5000%,35.8700%,-1.1200%,-5.2500%,-10.0000%, ,0.0001%, , 
08_rank, , ,15, , , , ,27,126,125,90,101,95,93, ,12,92,143,137,5,56,62,29
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11,150,"5,456",17%,1%,7%,-94%,1.4,"-197,405",0.5,0.00%,9, ,9, ,17.0300%,37.5800%,-2.7300%,-1.0100%,-16.8100%, ,0.0000%, , 
11_rank, , ,18, , , , ,43,134,138,56,63,37,37, ,24,110,100,126,25,59,113,56
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"5,651",20%,1%,2%,-80%,0.4,"-47,009",0.5,0.00%,8, ,4, ,22.9100%,62.4400%,3.8400%,-3.9700%,-39.4000%, ,0.0000%, , 
13_rank, , ,15, , , , ,38,143,146,92,101,112,111, ,6,7,142,158,15,70,89,49
14,165,"22,227",-15%,5%,18%,-91%,1.0,"-461,425",2.0,0.00%,3, ,5, ,0.1500%,28.9700%,2.6000%,23.1500%,-54.5600%, ,0.0000%, , 
14_rank, , ,90, , , , ,93,156,150,97,106,85,83, ,16,89,6,160,20,92,153,72
