,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"114,647",6%,1%,3%,-33%,1.4,"-113,481",50.9,0.02%,2, ,4, ,7.4900%,20.1300%,0.2300%,-2.3800%,-10.4900%, ,0.0009%, , 
01_rank, , ,50, , , , ,112,104,136,158,151,142,142, ,11,83,136,162,159,74,117,151
02,169,"14,415",-23%,0%,7%,-93%,0.8,"-446,692",6.4,0.00%,15, ,3, ,-13.0500%,-6.0300%,-4.6800%,4.3500%,-6.6900%, ,-0.0007%, , 
02_rank, , ,163, , , , ,112,138,152,49,53,142,151, ,150,161,19,150,94,113,160,73
03,148,"11,855",-6%,0%,2%,-82%,1.2,"-110,137",5.3,0.00%,5, ,3, ,-4.3400%,-2.8800%,-1.5700%,1.2700%,-1.1500%, ,-0.0002%, , 
03_rank, , ,110, , , , ,78,104,121,106,99,117,115, ,97,119,53,105,60,80,123,50
04,131,"16,300",-9%,0%,0%,-54%,1.0,"-38,561",7.2,0.01%,2, ,1, ,-6.2200%,-1.3300%,-4.1500%,1.3300%,-2.0600%, ,-0.0005%, , 
04_rank, , ,102, , , , ,31,82,102,120,118,130,129, ,69,113,26,101,59,63,49,37
05,157,"85,265",0%,1%,8%,-72%,1.9,"-443,167",37.9,0.00%,4, ,2, ,2.5400%,1.7300%,-1.7100%,2.2900%,0.2200%, ,0.0001%, , 
05_rank, , ,38, , , , ,60,86,114,119,116,145,140, ,51,134,23,77,49,48,94,135
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"30,868",4%,0%,6%,-84%,0.6,"-338,630",13.7,0.00%,13, ,2, ,8.4300%,19.6900%,-1.7900%,10.4300%,-19.9000%, ,0.0002%, , 
07_rank, , ,25, , , , ,79,111,128,64,63,137,134, ,16,116,5,146,81,58,123,140
08,150,"50,291",-3%,0%,7%,-80%,0.4,"-407,074",22.3,0.00%,23, ,2, ,-1.2000%,10.3100%,-3.1800%,0.3600%,-8.6900%, ,0.0000%, , 
08_rank, , ,80, , , , ,64,74,86,58,58,132,128, ,28,117,61,132,33,75,77,113
09,121,"7,334",-7%,0%,2%,-91%,3.0,"-148,693",3.3,0.00%,13, ,4, ,-4.4200%,12.2800%,-2.1200%,-1.2000%,-13.3700%, ,0.0000%, , 
09_rank, , ,80, , , , ,37,75,98,19,18,78,78, ,24,92,100,114,21,66,73,104
10,134,"129,670",19%,1%,3%,-25%,0.5,"-87,248",57.6,0.01%,1, ,1, ,18.6500%,3.1400%,-3.5800%,17.3600%,1.7300%, ,0.0009%, , 
10_rank, , ,13, , , , ,46,62,75,129,129,130,130, ,42,112,3,36,22,25,51,23
11,150,"46,778",-22%,0%,7%,-80%,0.7,"-391,797",20.8,0.00%,12, ,4, ,-12.8000%,-0.7600%,-6.8800%,-2.4900%,-2.6700%, ,-0.0010%, , 
11_rank, , ,122, , , , ,64,81,93,27,25,93,88, ,93,131,118,93,42,116,79,121
12,127,"9,471",-36%,0%,1%,-83%,1.2,"-95,958",4.2,0.00%,3, ,2, ,-16.9700%,-16.2900%,-3.5400%,-0.4700%,3.3300%, ,-0.0023%, , 
12_rank, , ,126, , , , ,62,100,109,114,114,99,100, ,125,106,89,10,52,81,94,116
13,160,"19,928",-7%,0%,4%,-86%,1.5,"-249,395",8.9,0.00%,27, ,3, ,-5.1800%,4.1400%,-3.7900%,0.7500%,-6.2900%, ,-0.0001%, , 
13_rank, , ,125, , , , ,83,110,122,33,34,126,122, ,48,141,62,141,7,95,124,148
14,165,"6,733,721",6%,91%,42%,44%,0.6,"4,129,144","2,992.4",0.36%,1, ,9, ,31.1300%,17.7900%,-0.1700%,-5.7800%,19.2900%, ,0.0435%, , 
14_rank, , ,19, , , , ,27,15,45,150,146,44,41, ,19,142,144,19,39,14,19,20
