,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"720,421",11%,28%,5%,57%,0.8,"528,273",38.6,0.10%,3, ,6, ,12.7500%,19.2000%,-0.0400%,-0.2200%,-6.1900%, ,0.0077%, , 
01_rank, , ,28, , , , ,41,118,85,147,145,105,107, ,12,101,101,151,9,33,63,7
02,169,"29,635",14%,1%,8%,-81%,0.8,"-254,117",1.6,0.00%,4, ,5, ,15.2400%,2.3000%,-0.2800%,4.3000%,8.9300%, ,0.0003%, , 
02_rank, , ,18, , , , ,91,158,142,127,132,109,115, ,59,87,20,15,61,67,140,151
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04,131,"5,002",-5%,0%,2%,-87%,0.7,"-67,278",0.3,0.00%,4, ,2, ,-3.7600%,-6.1100%,-1.8700%,3.2400%,0.9900%, ,-0.0001%, , 
04_rank, , ,87, , , , ,40,123,120,108,123,113,121, ,111,96,14,45,13,46,97,120
05,157,"24,999",28%,0%,17%,-91%,0.3,"-559,526",1.3,0.00%,2, ,2, ,39.0400%,29.3700%,1.5900%,0.4000%,7.6900%, ,0.0002%, , 
05_rank, , ,11, , , , ,68,136,129,140,142,141,146, ,12,6,49,20,9,44,135,60
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"107,779",122%,4%,12%,-59%,2.6,"-318,996",5.8,0.01%,1, ,1, ,566.5000%,134.5000%,1.7400%,5.3200%,424.9400%, ,0.0018%, , 
07_rank, , ,1, , , , ,77,123,107,145,145,144,145, ,7,17,20,1,6,37,94,30
08,150,"28,139",32%,1%,12%,-87%,0.8,"-388,392",1.5,0.00%,14, ,4, ,48.0100%,82.2300%,0.5300%,1.9900%,-36.7400%, ,0.0003%, , 
08_rank, , ,5, , , , ,61,116,103,87,90,118,116, ,3,42,31,149,4,43,92,30
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11,150,"28,104",51%,1%,7%,-80%,0.9,"-235,444",1.5,0.00%,7, ,3, ,84.3000%,98.6600%,1.2600%,5.4600%,-21.0900%, ,0.0003%, , 
11_rank, , ,10, , , , ,47,118,101,75,74,110,104, ,12,51,24,130,16,51,72,23
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"11,393",19%,0%,3%,-83%,1.2,"-118,739",0.6,0.00%,4, ,8, ,21.4800%,27.9000%,1.9600%,1.4500%,-9.8300%, ,0.0001%, , 
13_rank, , ,16, , , , ,57,141,132,142,141,48,52, ,13,24,39,146,6,66,107,46
14,165,"11,379",47%,0%,20%,-96%,0.6,"-670,756",0.6,0.00%,1, ,10, ,170.6100%,461.0000%,12.6900%,45.6500%,-348.7200%, ,0.0001%, , 
14_rank, , ,6, , , , ,98,160,158,152,161,24,24, ,2,15,4,165,43,85,162,78
