,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"61,396",-8%,49%,7%,11%,0.5,"13,136",5.8,0.01%,2, ,5, ,-4.9000%,4.4600%,-10.2600%,-8.9300%,9.8300%, ,-0.0005%, , 
01_rank, , ,154, , , , ,78,164,150,170,168,122,129, ,58,177,169,16,63,116,85,120
02,169,"18,583",32%,14%,10%,-55%,0.4,"-46,200",1.8,0.00%,4, ,2, ,43.4500%,153.9800%,-3.3200%,2.3400%,-109.5500%, ,0.0003%, , 
02_rank, , ,7, , , , ,67,156,150,124,134,157,157, ,1,153,37,169,15,68,102,51
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05,157,"5,389",-4%,4%,18%,-91%,1.8,"-112,676",0.5,0.00%,2, ,3, ,-1.6000%,2.4100%,-1.1100%,-12.9300%,10.0300%, ,0.0000%, , 
05_rank, , ,88, , , , ,33,146,146,151,153,129,149, ,47,121,152,15,34,66,115,75
06,127,"1,096",-12%,0%,1%,-79%,0.0,"-8,687",0.1,0.00%,2, ,4, ,-9.4100%,83.3000%,-8.6700%,-7.9800%,-76.0600%, ,-0.0001%, , 
06_rank, , ,104, , , , ,31,122,126,123,126,80,78, ,4,126,113,125,3,43,86,114
07,152,"5,431",4%,4%,11%,-85%,3.0,"-65,306",0.5,0.00%,2, ,1, ,8.6400%,14.0100%,-7.2300%,-4.6100%,6.4800%, ,0.0000%, , 
07_rank, , ,24, , , , ,42,145,142,138,141,147,152, ,20,151,131,15,49,67,114,141
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , , , , , 
13_rank, , , , , , , , , , , , , , , , , , , , , , , 
14,165,"6,701",-22%,5%,18%,-89%,0.9,"-109,424",0.6,0.00%,4, ,5, ,-5.9000%,-8.9800%,3.0100%,-21.1800%,21.2500%, ,0.0000%, , 
14_rank, , ,135, , , , ,68,159,159,48,70,96,112, ,138,82,160,16,1,95,147,159
