,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"1,096,142",4%,51%,14%,20%,0.9,"379,396",46.8,0.15%,2, ,5, ,5.3100%,9.6300%,0.8300%,-0.8000%,-4.3500%, ,0.0063%, , 
01_rank, , ,59, , , , ,47,107,72,156,150,114,117, ,31,51,112,142,38,37,61,20
02,169,"68,173",-4%,3%,8%,-72%,0.6,"-356,459",2.9,0.01%,15, ,8, ,-2.7800%,-0.5000%,-2.6400%,-0.4600%,0.8200%, ,-0.0003%, , 
02_rank, , ,120, , , , ,105,151,131,47,61,77,85, ,97,147,92,62,128,102,134,61
03,148,"482,779",2%,22%,2%,63%,0.9,"374,434",20.6,0.15%,4, ,8, ,2.0900%,-3.1900%,1.4100%,-3.0700%,6.9500%, ,0.0028%, , 
03_rank, , ,44, , , , ,27,72,57,116,119,47,46, ,100,46,133,14,113,35,32,71
04,131,"4,698",-8%,0%,1%,-86%,1.5,"-61,116",0.2,0.00%,5, ,4, ,-6.1200%,-7.3600%,-0.8400%,-5.7100%,7.7900%, ,-0.0001%, , 
04_rank, , ,100, , , , ,37,125,121,102,112,91,125, ,117,75,119,11,49,50,92,62
05,157,"65,301",-15%,3%,13%,-81%,0.7,"-579,873",2.8,0.00%,3, ,4, ,-8.9300%,-7.6100%,-1.7300%,-6.2500%,6.6700%, ,-0.0006%, , 
05_rank, , ,131, , , , ,72,128,118,133,131,109,107, ,128,135,140,23,31,93,112,67
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"173,383",1%,8%,12%,-56%,2.6,"-446,879",7.4,0.02%,2, ,4, ,5.2200%,11.5600%,-3.3900%,7.2400%,-10.1900%, ,0.0006%, , 
07_rank, , ,34, , , , ,83,121,99,128,126,111,108, ,22,138,15,137,7,44,90,44
08,150,"17,745",-23%,0%,9%,-92%,1.9,"-439,170",0.8,0.00%,8, ,14, ,-12.6100%,-5.8600%,-5.8800%,-3.7300%,2.8500%, ,-0.0004%, , 
08_rank, , ,132, , , , ,69,131,110,118,115,25,26, ,116,144,133,28,13,107,116,133
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10,134,"2,037",-17%,0%,4%,-98%,0.7,"-211,895",0.1,0.00%,14, ,8, ,-11.1800%,-3.8100%,-2.4800%,-1.6500%,-3.2400%, ,0.0000%, , 
10_rank, , ,119, , , , ,64,132,127,44,48,48,70, ,99,98,100,120,33,60,128,133
11,150,"5,989",-18%,0%,7%,-96%,0.4,"-370,558",0.3,0.00%,9, ,7, ,-11.1500%,7.2800%,-1.3800%,-3.3400%,-13.7100%, ,-0.0001%, , 
11_rank, , ,117, , , , ,62,140,136,54,61,55,68, ,43,89,125,122,53,77,126,139
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"19,183",-4%,0%,4%,-84%,1.6,"-216,261",0.8,0.00%,8, ,9, ,-3.5600%,6.8200%,-3.3700%,2.0600%,-9.0700%, ,-0.0001%, , 
13_rank, , ,113, , , , ,78,137,124,94,93,40,49, ,39,139,30,144,72,91,119,57
14,165,"194,938",-46%,9%,12%,-51%,1.9,"-415,611",8.3,0.01%,4, ,7, ,-16.7500%,-16.7800%,1.8700%,-0.4300%,-1.4100%, ,-0.0107%, , 
14_rank, , ,160, , , , ,90,144,125,54,56,64,76, ,160,105,89,93,112,139,109,57
