,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"23,328",-17%,37%,10%,-43%,1.5,"-35,215",43.2,0.00%,3, ,1, ,-10.3200%,-13.9900%,0.3400%,5.5200%,-2.1800%, ,-0.0007%, , 
01_rank, , ,172, , , , ,94,114,163,140,177,172,177, ,175,77,29,116,10,117,126,156
02,169,"28,899",-2%,46%,22%,-61%,1.1,"-92,355",53.6,0.00%,3, ,2, ,-1.0800%,0.8000%,0.1800%,-3.0600%,1.0000%, ,0.0000%, , 
02_rank, , ,103, , , , ,73,100,143,138,163,152,153, ,79,59,140,58,31,92,114,147
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06,127,"3,647",-4%,5%,0%,27%,3.0,"1,573",6.8,0.00%,1, ,1, ,-5.1000%,-7.0400%,0.6900%,2.5100%,-1.2600%, ,-0.0001%, , 
06_rank, , ,86, , , , ,25,72,118,127,127,127,127, ,106,41,23,61,7,45,33,73
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12,127,"6,404",23%,10%,1%,-2%,1.0,-362,11.9,0.00%,3, ,1, ,22.5700%,22.3000%,-0.6100%,0.4200%,0.4500%, ,0.0001%, , 
12_rank, , ,6, , , , ,43,86,113,116,126,127,127, ,8,93,62,28,120,40,49,91
13, , , , , , , , , , , , , , , , , , , , , , , 
13_rank, , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , , , , , , , , , , , , , , , , , , , 
14_rank, , , , , , , , , , , , , , , , , , , , , , , 
