,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"79,734",-3%,5%,3%,55%,1.1,"56,798",5.5,0.01%,3, ,6, ,-1.4900%,5.2600%,1.0500%,-7.6700%,-0.1300%, ,-0.0002%, , 
01_rank, , ,123, , , , ,73,166,145,145,142,102,102, ,51,46,164,86,3,111,79,97
02, , , , , , , , , , , , , , , , , , , , , , , 
02_rank, , , , , , , , , , , , , , , , , , , , , , , 
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , , , , , 
13_rank, , , , , , , , , , , , , , , , , , , , , , , 
14,165,"1,409,224",-18%,93%,3%,97%,0.9,"1,391,236",97.5,0.07%,1, ,2, ,-2.3000%,-1.6900%,1.6100%,-2.1900%,-0.0300%, ,-0.0019%, , 
14_rank, , ,112, , , , ,41,99,86,165,164,144,142, ,91,110,122,69,34,126,50,84
