,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"49,967",48%,71%,11%,5%,1.5,"4,980",62.8,0.01%,2, ,4, ,82.4900%,50.2500%,1.0700%,31.6600%,-0.5000%, ,0.0011%, , 
01_rank, , ,3, , , , ,80,96,154,172,174,133,130, ,7,45,2,92,162,70,84,113
02,169,"9,680",66%,13%,13%,-69%,6.3,"-43,084",12.2,0.00%,1, ,1, ,136.7300%,77.0800%,0.0400%,10.3600%,49.2400%, ,0.0002%, , 
02_rank, , ,1, , , , ,65,121,157,169,168,164,160, ,4,67,2,3,137,73,121,139
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , , , , , 
13_rank, , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , , , , , , , , , , , , , , , , , , , 
14_rank, , , , , , , , , , , , , , , , , , , , , , , 
