,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"53,741",0%,1%,7%,-70%,1.4,"-256,417",0.7,0.01%,4, ,11, ,0.8400%,0.7900%,0.7400%,-1.7700%,1.0800%, ,0.0001%, , 
01_rank, , ,96, , , , ,122,176,153,122,117,49,48, ,96,54,131,64,12,98,156,69
02,169,"20,559",4%,0%,12%,-92%,0.9,"-489,240",0.3,0.00%,5, ,6, ,4.6100%,-4.8200%,0.5900%,3.6700%,5.1700%, ,0.0001%, , 
02_rank, , ,40, , , , ,115,167,149,112,113,102,111, ,144,42,27,24,139,78,156,164
03,148,"89,835",-11%,1%,1%,23%,1.6,"34,412",1.2,0.03%,5, ,7, ,-7.6900%,-10.7200%,1.6100%,14.3500%,-12.9400%, ,-0.0034%, , 
03_rank, , ,125, , , , ,39,123,83,91,108,65,64, ,135,42,2,142,138,115,42,11
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05,157,"13,329",-44%,0%,17%,-96%,1.0,"-693,884",0.2,0.00%,4, ,4, ,-17.9700%,-19.2900%,-2.6200%,-14.4600%,18.4000%, ,-0.0012%, , 
05_rank, , ,156, , , , ,79,153,138,120,122,104,104, ,156,147,156,5,95,105,148,82
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"3,366,303",-4%,73%,11%,76%,0.8,"2,910,105",43.6,0.30%,2, ,3, ,0.0000%,0.2600%,-0.8500%,2.1600%,-1.5700%, ,0.0000%, , 
07_rank, , ,70, , , , ,17,78,48,140,139,118,114, ,69,102,36,110,65,69,35,72
08,150,"6,731",-18%,0%,13%,-97%,2.6,"-556,275",0.1,0.00%,11, ,2, ,-10.1200%,12.9800%,-3.4400%,-4.0100%,-15.6500%, ,-0.0001%, , 
08_rank, , ,122, , , , ,75,147,134,103,107,137,134, ,23,121,136,145,111,86,137,55
09,121,"1,486",-2%,0%,4%,-98%,1.1,"-178,146",0.0,0.00%,2, ,3, ,-0.9800%,-4.7400%,-2.1600%,1.1300%,4.7900%, ,0.0000%, , 
09_rank, , ,63, , , , ,40,120,118,114,114,93,94, ,90,93,58,13,41,57,111,119
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11,150,"13,471",-14%,0%,7%,-91%,1.0,"-276,908",0.2,0.00%,3, ,3, ,-9.3600%,-0.0900%,-3.5700%,-8.8100%,3.1000%, ,-0.0001%, , 
11_rank, , ,111, , , , ,51,144,115,120,116,119,109, ,86,112,144,36,140,80,98,49
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"12,446",15%,0%,6%,-91%,1.0,"-268,452",0.2,0.00%,4, ,2, ,16.2900%,11.4500%,0.2800%,1.5200%,3.0400%, ,0.0001%, , 
13_rank, , ,24, , , , ,87,154,130,137,135,140,138, ,30,79,36,34,19,67,139,56
14,165,"890,176",-23%,19%,5%,60%,1.7,"672,492",11.5,0.05%,4, ,4, ,-6.6300%,-9.9700%,0.9700%,-1.7300%,4.1000%, ,-0.0047%, , 
14_rank, , ,139, , , , ,46,140,96,43,41,102,96, ,145,120,109,34,3,134,40,99
