,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"20,875",-23%,0%,11%,-83%,0.9,"-205,048",10.5,0.00%,3, ,8, ,-12.6400%,7.4700%,0.9300%,-8.3400%,-12.7000%, ,-0.0010%, , 
01_rank, , ,176, , , , ,119,156,164,154,152,84,98, ,38,49,168,164,118,120,166,73
02,169,"7,388",-26%,0%,14%,-94%,1.5,"-279,301",3.7,0.00%,6, ,5, ,-14.0700%,19.1300%,-2.8700%,-8.0500%,-22.2800%, ,-0.0005%, , 
02_rank, , ,165, , , , ,94,149,159,101,102,113,112, ,15,150,166,163,9,106,161,168
03,148,"443,239",0%,11%,1%,88%,1.2,"416,085",223.9,0.13%,4, ,5, ,1.1000%,-2.6100%,1.0200%,3.3100%,-0.6200%, ,0.0014%, , 
03_rank, , ,56, , , , ,25,25,60,112,109,89,82, ,95,57,22,94,107,41,33,65
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05,157,"1,297",-28%,0%,10%,-98%,0.9,"-208,025",0.7,0.00%,23, ,11, ,-14.2000%,-13.2100%,-0.9400%,-1.0300%,0.9900%, ,0.0000%, , 
05_rank, , ,146, , , , ,43,144,156,29,40,49,57, ,146,118,83,60,106,73,153,87
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"40,961",63%,1%,10%,-66%,1.0,"-165,722",20.7,0.00%,4, ,4, ,152.6300%,197.0100%,3.9000%,22.4100%,-70.7000%, ,0.0006%, , 
07_rank, , ,4, , , , ,62,97,123,122,117,110,101, ,4,2,2,151,12,43,96,40
08,150,"13,399",-7%,0%,16%,-91%,3.6,"-304,304",6.8,0.00%,21, ,7, ,-3.8600%,1.1700%,-1.7300%,-0.9300%,-2.3700%, ,0.0000%, , 
08_rank, , ,98, , , , ,55,93,121,63,64,78,75, ,70,101,97,101,19,76,103,130
09,121,"1,584",7%,0%,4%,-96%,0.0,"-79,602",0.8,0.00%,4, ,6, ,8.2800%,4.9300%,-0.5300%,-0.5300%,4.4100%, ,0.0000%, , 
09_rank, , ,24, , , , ,28,101,117,83,82,70,71, ,36,70,90,15,50,53,86,41
10,134,"1,012",-30%,0%,5%,-98%,0.0,"-105,855",0.5,0.00%,21, ,11, ,-15.4600%,-15.4600%,0.7100%,2.1400%,-2.8500%, ,-0.0001%, , 
10_rank, , ,128, , , , ,50,115,134,28,35,28,30, ,130,24,18,117,38,63,124,131
11,150,"9,711",-67%,0%,7%,-87%,4.1,"-132,756",4.9,0.00%,10, ,7, ,-19.7800%,-19.7100%,-1.3500%,7.8600%,-6.5900%, ,-0.0105%, , 
11_rank, , ,148, , , , ,38,98,125,37,39,49,49, ,147,87,15,109,91,137,80,39
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"5,685",-19%,0%,8%,-92%,1.4,"-147,569",2.9,0.00%,3, ,3, ,-11.5500%,-12.4000%,0.2400%,-0.3800%,0.9900%, ,-0.0001%, , 
13_rank, , ,139, , , , ,62,122,145,149,147,128,125, ,145,80,102,48,68,97,136,63
14,165,"3,366,850",-24%,85%,1%,98%,1.2,"3,335,138","1,700.6",0.18%,1, ,5, ,-6.8400%,-7.8300%,2.5700%,0.1400%,-1.7200%, ,-0.0186%, , 
14_rank, , ,140, , , , ,32,19,67,143,141,84,81, ,133,91,84,96,35,146,35,83
