,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"2,705,891",1%,56%,6%,47%,2.0,"1,732,300",55.8,0.37%,5, ,11, ,2.1700%,0.1000%,-0.0300%,-0.5600%,2.6600%, ,0.0073%, , 
01_rank, , ,80, , , , ,27,99,48,104,100,48,49, ,103,100,106,44,115,34,33,104
02,169,"379,720",-14%,7%,5%,-40%,2.0,"-518,625",7.8,0.05%,12, ,11, ,-9.1700%,-8.8700%,-1.7700%,-2.7100%,4.1700%, ,-0.0087%, , 
02_rank, , ,156, , , , ,118,132,91,65,64,47,49, ,155,131,135,29,118,147,98,46
03,148,"43,536",-20%,0%,3%,-83%,1.1,"-447,440",0.9,0.01%,12, ,5, ,-12.0600%,-11.8500%,1.8800%,-3.4100%,1.3200%, ,-0.0040%, , 
03_rank, , ,135, , , , ,111,127,98,46,44,81,79, ,140,36,137,40,118,116,128,51
04,131,"24,726",-30%,0%,5%,-93%,0.9,"-766,921",0.5,0.01%,12, ,6, ,-15.1600%,-15.0200%,1.5100%,-4.1600%,2.5100%, ,-0.0053%, , 
04_rank, , ,125, , , , ,103,118,94,56,55,74,73, ,126,14,115,33,54,96,128,68
05,157,"314,253",-17%,6%,14%,-74%,1.3,"-1,870,712",6.5,0.02%,10, ,5, ,-9.8500%,-9.9300%,0.4400%,-2.8800%,2.5200%, ,-0.0032%, , 
05_rank, , ,136, , , , ,114,121,88,69,68,101,101, ,137,30,110,43,56,122,113,56
06,127,"98,867",-7%,2%,2%,-53%,0.8,"-227,365",2.0,0.05%,6, ,6, ,-7.0100%,10.4400%,0.8900%,-7.6600%,-10.6900%, ,-0.0051%, , 
06_rank, , ,100, , , , ,87,90,66,74,74,52,51, ,29,35,112,109,1,98,80,104
07,152,"174,120",-21%,3%,11%,-81%,1.6,"-1,575,361",3.6,0.02%,14, ,3, ,-11.0400%,-7.8500%,-0.3400%,-3.6600%,0.8200%, ,-0.0038%, , 
07_rank, , ,137, , , , ,117,129,97,59,59,129,128, ,130,86,122,50,32,117,127,139
08,150,"105,215",2%,2%,9%,-86%,1.5,"-1,310,772",2.2,0.01%,2, ,2, ,4.2600%,-3.1300%,-2.4000%,0.6000%,9.1900%, ,0.0003%, , 
08_rank, , ,32, , , , ,104,111,75,145,145,139,136, ,107,111,53,11,112,45,105,119
09,121,"14,263",-36%,0%,5%,-96%,1.8,"-792,721",0.3,0.00%,9, ,9, ,-16.7100%,-16.0300%,2.1500%,-3.2300%,0.4000%, ,-0.0013%, , 
09_rank, , ,117, , , , ,74,106,83,43,45,38,42, ,115,9,114,27,23,90,108,113
10,134,"40,044",-8%,0%,5%,-90%,0.9,"-756,990",0.8,0.00%,8, ,5, ,-6.8400%,-4.2600%,-0.3800%,1.8900%,-4.1000%, ,-0.0003%, , 
10_rank, , ,104, , , , ,98,110,90,70,69,79,75, ,103,49,19,123,52,77,112,52
11,150,"27,503",-23%,0%,8%,-95%,4.7,"-1,286,640",0.6,0.00%,7, ,3, ,-13.3700%,-9.8200%,-5.0700%,-0.3200%,1.8400%, ,-0.0007%, , 
11_rank, , ,125, , , , ,96,133,102,68,64,118,111, ,116,121,83,44,11,108,128,135
12,127,"377,522",11%,7%,6%,-45%,1.0,"-639,413",7.8,0.08%,10, ,1, ,8.1600%,5.6000%,2.0500%,-2.0700%,2.5800%, ,0.0047%, , 
12_rank, , ,17, , , , ,96,95,64,85,84,123,122, ,26,17,115,18,115,21,75,99
13,160,"150,813",-16%,3%,7%,-76%,0.9,"-972,243",3.1,0.01%,23, ,7, ,-10.1000%,-9.8500%,1.7600%,-1.6300%,-0.3700%, ,-0.0023%, , 
13_rank, , ,136, , , , ,127,120,86,40,40,72,71, ,139,26,124,85,62,127,116,48
14,165,"309,379",-5%,6%,8%,-62%,1.7,"-1,009,698",6.4,0.02%,5, ,8, ,12.0200%,-1.8100%,19.7400%,1.4700%,-7.3700%, ,0.0012%, , 
14_rank, , ,38, , , , ,108,148,115,33,28,54,70, ,93,6,67,145,163,69,126,150
