,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"55,747",8%,6%,9%,-40%,0.9,"-76,537",25.3,0.01%,6, ,2, ,9.6100%,14.7000%,0.4100%,-10.8100%,5.3200%, ,0.0005%, , 
01_rank, , ,37, , , , ,102,131,152,92,103,163,159, ,19,75,173,26,64,82,123,54
02,169,"24,416",-28%,2%,16%,-79%,1.5,"-193,768",11.1,0.00%,3, ,1, ,-14.7800%,-4.0900%,-4.8000%,-11.0200%,5.1400%, ,-0.0019%, , 
02_rank, , ,166, , , , ,85,122,147,144,139,167,168, ,141,163,168,25,105,122,138,66
03,148,"4,164",-27%,0%,3%,-81%,0.5,"-36,065",1.9,0.00%,1, ,1, ,-14.5000%,-7.1900%,0.4300%,-3.6300%,-4.1100%, ,-0.0007%, , 
03_rank, , ,145, , , , ,57,118,138,143,140,148,148, ,123,70,139,127,24,97,109,141
04,131,"15,861",-17%,1%,10%,-80%,0.7,"-127,049",7.2,0.01%,4, ,1, ,-10.6500%,-10.3900%,-2.8000%,-5.4900%,8.0300%, ,-0.0012%, , 
04_rank, , ,115, , , , ,54,83,103,106,103,127,130, ,120,104,118,10,28,74,89,116
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06,127,"20,715",-7%,2%,2%,-25%,1.6,"-14,140",9.4,0.01%,4, ,1, ,-6.9100%,-5.5100%,-7.6600%,5.7900%,0.4600%, ,-0.0010%, , 
06_rank, , ,97, , , , ,34,61,91,95,95,126,126, ,101,125,8,43,97,66,45,24
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09,121,"8,909",-10%,0%,2%,-62%,1.1,"-29,137",4.0,0.00%,1, ,1, ,-6.8900%,-7.3400%,-3.7000%,3.6500%,0.5000%, ,-0.0001%, , 
09_rank, , ,93, , , , ,18,72,91,119,119,121,121, ,99,106,19,26,8,71,33,86
10,134,"45,339",-7%,5%,4%,-15%,2.9,"-17,009",20.6,0.00%,2, ,2, ,-6.3400%,0.8300%,-2.8800%,-7.0700%,2.7800%, ,-0.0003%, , 
10_rank, , ,102, , , , ,28,74,86,127,127,118,115, ,56,103,130,25,41,78,38,95
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12,127,"431,014",3%,48%,4%,76%,1.3,"373,623",195.6,0.09%,9, ,2, ,1.0200%,0.0200%,0.0400%,0.3100%,0.6500%, ,0.0009%, , 
12_rank, , ,43, , , , ,32,27,60,89,88,104,102, ,56,83,65,26,86,33,36,69
13,160,"23,259",15%,2%,6%,-56%,0.6,"-59,423",10.6,0.00%,1, ,1, ,15.7300%,13.8800%,-0.3800%,-0.4200%,2.6400%, ,0.0002%, , 
13_rank, , ,25, , , , ,44,102,119,160,158,159,159, ,25,97,104,39,18,59,68,28
14,165,"255,319",76%,28%,12%,20%,0.7,"86,706",115.9,0.01%,1, ,1, ,370.9700%,195.5300%,3.5500%,80.5600%,91.3400%, ,0.0026%, , 
14_rank, , ,3, , , , ,57,93,117,163,160,157,157, ,5,78,1,6,87,57,60,98
