,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"737,905",-5%,84%,6%,81%,1.1,"661,389",40.8,0.10%,2, ,12, ,-2.8300%,-2.9700%,0.0700%,-2.6800%,2.7600%, ,-0.0033%, , 
01_rank, , ,136, , , , ,39,116,84,163,160,35,37, ,146,94,141,43,65,138,51,86
02,169,"103,278",12%,11%,6%,14%,5.1,"26,407",5.7,0.01%,3, ,8, ,13.2700%,26.0500%,-1.5100%,-5.7700%,-5.5100%, ,0.0011%, , 
02_rank, , ,21, , , , ,49,141,124,148,145,73,65, ,14,125,155,146,68,55,58,105
03,148,"6,654",-25%,0%,3%,-68%,0.7,"-29,557",0.4,0.00%,4, ,2, ,-13.8300%,-11.9500%,0.2800%,-7.6000%,5.4500%, ,-0.0009%, , 
03_rank, , ,141, , , , ,55,139,128,117,124,122,129, ,141,72,147,16,82,100,92,41
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05,157,"3,764",-16%,0%,25%,-97%,0.9,"-290,419",0.2,0.00%,6, ,4, ,-9.2100%,-5.9000%,-0.7100%,2.6900%,-5.2800%, ,0.0000%, , 
05_rank, , ,132, , , , ,50,152,151,100,103,119,123, ,121,110,19,143,7,74,146,153
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"2,225",-10%,0%,9%,-96%,0.0,"-109,229",0.1,0.00%,4, ,3, ,-4.5600%,-9.9500%,0.3300%,-6.1500%,11.2100%, ,0.0000%, , 
07_rank, , ,112, , , , ,50,151,148,113,125,132,143, ,136,57,137,8,27,75,140,149
08,150,"3,740",-19%,0%,8%,-92%,0.2,"-94,707",0.2,0.00%,5, ,4, ,-10.6100%,-6.0700%,-4.1300%,-2.1800%,1.7700%, ,-0.0001%, , 
08_rank, , ,125, , , , ,28,142,145,132,133,113,112, ,117,128,118,36,79,81,90,134
09,121,"1,269",4%,0%,4%,-94%,0.0,"-46,626",0.1,0.00%,3, ,6, ,5.1500%,10.5300%,-1.9500%,2.6300%,-6.0600%, ,0.0000%, , 
09_rank, , ,28, , , , ,19,116,119,89,89,69,69, ,26,91,34,103,30,55,71,39
10,134,"1,171",-1%,0%,5%,-96%,0.0,"-61,307",0.1,0.00%,3, ,3, ,-2.3000%,-10.4900%,-3.0700%,-3.3700%,14.6300%, ,0.0000%, , 
10_rank, , ,69, , , , ,37,133,129,115,119,105,106, ,121,104,120,7,76,49,114,62
11,150,"1,998",-35%,0%,7%,-95%,0.4,"-79,023",0.1,0.00%,4, ,3, ,-16.6200%,-10.0200%,-10.0200%,-1.0500%,4.4700%, ,-0.0001%, , 
11_rank, , ,134, , , , ,28,147,148,95,99,111,132, ,118,143,102,28,30,79,101,133
12,127,"1,797",-27%,0%,4%,-93%,1.1,"-54,945",0.1,0.00%,2, ,1, ,-14.9300%,-16.1100%,1.0900%,-3.3400%,3.4200%, ,-0.0002%, , 
12_rank, , ,121, , , , ,55,122,123,122,121,116,120, ,124,40,122,8,99,56,115,55
13,160,"4,988",-31%,0%,9%,-90%,0.6,"-98,427",0.3,0.00%,6, ,2, ,-15.6700%,-13.6400%,-3.2700%,0.3300%,0.9200%, ,-0.0003%, , 
13_rank, , ,153, , , , ,54,150,148,106,109,137,142, ,148,137,82,51,149,104,125,62
14,165,"2,483",-63%,0%,2%,-81%,0.7,"-21,360",0.1,0.00%,4, ,3, ,-19.3000%,-19.6800%,4.2800%,-20.1000%,16.1900%, ,-0.0007%, , 
14_rank, , ,164, , , , ,61,163,162,57,65,125,126, ,165,69,159,22,16,115,138,157
