,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"289,929",-13%,26%,6%,21%,0.8,"100,887",16.1,0.04%,3, ,5, ,-8.3500%,-9.9300%,-0.0800%,-17.7300%,19.3900%, ,-0.0057%, , 
01_rank, , ,164, , , , ,66,151,111,149,141,110,110, ,172,104,177,6,128,147,72,31
02,169,"10,631",-8%,0%,9%,-93%,0.4,"-289,140",0.6,0.00%,5, ,8, ,-5.5600%,-5.8900%,-1.4800%,-3.2500%,5.0500%, ,-0.0001%, , 
02_rank, , ,144, , , , ,96,163,154,102,105,78,83, ,149,123,141,26,59,95,155,71
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05,157,"69,450",-20%,6%,14%,-72%,0.2,"-374,061",3.9,0.00%,1, ,1, ,-11.3700%,-11.6600%,-1.4200%,0.0000%,1.7100%, ,-0.0010%, , 
05_rank, , ,140, , , , ,58,124,117,155,152,157,156, ,142,130,60,51,63,102,96,59
06,127,"6,837",-23%,0%,0%,-57%,1.0,"-18,496",0.4,0.00%,3, ,2, ,-13.7700%,-9.0800%,3.4600%,-12.4400%,4.2900%, ,-0.0014%, , 
06_rank, , ,113, , , , ,40,112,110,111,109,116,116, ,115,7,122,16,9,73,66,107
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08,150,"12,721",-29%,1%,13%,-94%,0.6,"-400,134",0.7,0.00%,9, ,4, ,-14.6500%,-13.0700%,0.6300%,-0.9000%,-1.3000%, ,-0.0005%, , 
08_rank, , ,138, , , , ,63,132,122,116,118,104,102, ,135,39,96,89,85,110,118,46
09,121,"2,040",12%,0%,4%,-97%,0.7,"-148,220",0.1,0.00%,7, ,4, ,13.7900%,19.7900%,-1.2100%,5.6100%,-10.4100%, ,0.0000%, , 
09_rank, , ,17, , , , ,36,113,115,61,61,76,76, ,19,82,9,111,7,52,100,44
10,134,"3,522",16%,0%,3%,-94%,0.0,"-111,644",0.2,0.00%,5, ,6, ,14.7400%,7.5700%,0.5400%,-2.1400%,8.7700%, ,0.0000%, , 
10_rank, , ,15, , , , ,52,125,120,83,83,62,60, ,26,26,109,10,90,44,110,123
11,150,"5,662",-35%,0%,12%,-97%,5.6,"-400,615",0.3,0.00%,5, ,3, ,-16.5600%,-16.7000%,4.7200%,2.8600%,-7.4400%, ,-0.0003%, , 
11_rank, , ,133, , , , ,65,137,137,86,89,116,113, ,137,10,37,111,21,93,130,137
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"7,481",0%,0%,6%,-92%,0.9,"-186,478",0.4,0.00%,5, ,4, ,0.0300%,-3.3300%,7.2900%,-10.3900%,6.4500%, ,0.0000%, , 
13_rank, , ,81, , , , ,73,146,138,115,114,107,102, ,119,2,155,24,17,82,138,60
14,165,"1,176",-58%,0%,12%,-99%,1.5,"-377,777",0.1,0.00%,3, ,4, ,-18.8600%,-19.0200%,0.7100%,8.1700%,-8.7300%, ,-0.0002%, , 
14_rank, , ,163, , , , ,87,164,165,74,107,111,113, ,162,128,22,152,63,106,165,165
