,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"607,716",1%,35%,8%,52%,1.1,"416,749",141.3,0.08%,3, ,8, ,2.6900%,-1.2700%,-1.7300%,-1.5600%,7.2600%, ,0.0020%, , 
01_rank, , ,74, , , , ,44,67,89,138,153,83,82, ,122,148,127,18,111,60,56,103
02,169,"393,289",-2%,22%,9%,27%,0.9,"169,602",91.4,0.05%,2, ,6, ,-1.8000%,0.8500%,-1.7500%,-1.0200%,0.1100%, ,-0.0011%, , 
02_rank, , ,112, , , , ,41,83,87,158,166,98,99, ,77,130,112,78,86,116,53,9
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , , , , , 
13_rank, , , , , , , , , , , , , , , , , , , , , , , 
14,165,"751,462",-18%,43%,19%,25%,0.8,"304,514",174.7,0.04%,2, ,2, ,-2.2300%,-0.4900%,6.2000%,-0.0200%,-7.9300%, ,-0.0010%, , 
14_rank, , ,111, , , , ,50,80,99,123,140,148,155, ,69,49,86,149,79,118,51,105
