,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"433,613",1%,12%,8%,-4%,0.0,"-40,905",15.0,0.06%,4, ,19, ,2.9200%,7.8800%,1.4300%,-0.1200%,-6.2600%, ,0.0015%, , 
01_rank, , ,72, , , , ,96,153,102,134,127,7,8, ,35,30,99,152,129,66,86,128
02,169,"149,603",-11%,4%,6%,-42%,0.0,"-217,680",5.2,0.02%,8, ,7, ,-7.2100%,-0.4300%,-1.1000%,-6.2100%,0.5300%, ,-0.0023%, , 
02_rank, , ,153, , , , ,88,142,113,84,84,83,87, ,95,114,158,71,56,125,92,137
03,148,"31,025",-27%,0%,2%,-55%,0.0,"-78,123",1.1,0.01%,6, ,1, ,-14.2200%,-14.6900%,4.2500%,4.4300%,-8.2200%, ,-0.0046%, , 
03_rank, , ,143, , , , ,68,124,105,80,90,134,134, ,146,5,12,138,46,120,83,30
04,131,"1,844",0%,0%,1%,-95%,0.0,"-88,023",0.1,0.00%,6, ,2, ,0.7100%,-2.8100%,-5.5000%,-0.0500%,9.0700%, ,0.0000%, , 
04_rank, , ,38, , , , ,48,130,131,93,108,117,117, ,88,119,66,7,6,41,125,70
05,157,"463,169",39%,13%,14%,-24%,0.0,"-304,559",16.1,0.02%,1, ,2, ,61.2800%,2.1700%,-0.6600%,44.2800%,15.4900%, ,0.0037%, , 
05_rank, , ,7, , , , ,51,108,80,156,155,148,148, ,48,105,1,10,19,25,45,19
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"893,692",-5%,26%,11%,17%,0.0,"263,239",31.0,0.08%,2, ,2, ,-0.5800%,10.1500%,-2.1400%,-6.2800%,-2.3100%, ,-0.0005%, , 
07_rank, , ,76, , , , ,30,84,67,131,131,142,140, ,24,123,139,116,42,88,39,11
08,150,"31,196",-15%,0%,13%,-91%,0.0,"-664,457",1.1,0.00%,27, ,8, ,-8.6800%,1.3600%,-4.3100%,-2.9400%,-2.7900%, ,-0.0003%, , 
08_rank, , ,119, , , , ,80,124,100,48,52,63,76, ,68,129,124,105,58,103,115,132
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11,150,"98,463",0%,2%,7%,-61%,0.0,"-314,594",3.4,0.01%,3, ,3, ,-0.6800%,53.8300%,-1.8800%,20.9500%,-73.5900%, ,0.0000%, , 
11_rank, , ,67, , , , ,54,105,81,124,122,121,116, ,19,98,5,139,8,72,51,109
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"36,452",-25%,1%,4%,-74%,0.0,"-216,626",1.3,0.00%,3, ,2, ,-13.9000%,-12.7900%,-3.8300%,-10.1500%,12.8800%, ,-0.0012%, , 
13_rank, , ,147, , , , ,79,131,108,143,142,147,147, ,147,143,154,10,33,117,99,51
14,165,"1,240,936",0%,36%,19%,8%,0.0,"197,328",43.0,0.07%,5, ,4, ,20.3800%,5.3100%,4.5400%,-1.1000%,11.6400%, ,0.0066%, , 
14_rank, , ,23, , , , ,53,114,89,29,29,113,106, ,38,66,97,26,60,39,38,25
