,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"574,496",8%,21%,12%,-8%,0.8,"-100,564",37.3,0.08%,16, ,15, ,8.9900%,4.2400%,1.1300%,5.6700%,-2.0500%, ,0.0049%, , 
01_rank, , ,39, , , , ,106,120,92,34,35,20,21, ,60,42,27,115,60,47,90,37
02,169,"389,781",0%,14%,11%,-24%,1.0,"-256,391",25.3,0.05%,8, ,16, ,0.5400%,4.7700%,-1.0400%,0.1700%,-3.3600%, ,0.0003%, , 
02_rank, , ,78, , , , ,92,114,89,83,82,14,19, ,41,113,79,142,106,71,74,124
03,148,"23,022",0%,0%,2%,-71%,2.2,"-114,561",1.5,0.01%,5, ,9, ,0.7000%,2.9300%,2.4200%,-2.1000%,-2.5400%, ,0.0000%, , 
03_rank, , ,62, , , , ,79,121,111,102,95,40,39, ,36,26,127,119,126,66,103,134
04,131,"6,732",-5%,0%,1%,-83%,0.9,"-67,446",0.4,0.00%,6, ,4, ,-4.1400%,9.2800%,2.0000%,-3.0100%,-12.4000%, ,-0.0001%, , 
04_rank, , ,90, , , , ,41,120,117,88,89,95,96, ,15,10,107,129,30,48,88,115
05,157,"364,600",-2%,13%,11%,-27%,0.8,"-275,104",23.7,0.02%,3, ,3, ,-0.3500%,-0.2700%,1.3300%,-1.3500%,-0.0600%, ,-0.0001%, , 
05_rank, , ,71, , , , ,48,98,86,124,121,128,119, ,79,11,89,82,62,77,47,23
06,127,"11,087",8%,0%,0%,-17%,0.6,"-4,721",0.7,0.01%,3, ,4, ,5.2800%,34.4000%,4.2200%,-10.2300%,-23.1100%, ,0.0002%, , 
06_rank, , ,17, , , , ,27,107,101,108,107,84,81, ,11,3,117,118,37,38,39,19
07,152,"295,410",-6%,11%,8%,-21%,0.9,"-162,520",19.2,0.03%,2, ,3, ,-1.4000%,-2.9000%,2.5200%,-1.9200%,0.9100%, ,-0.0004%, , 
07_rank, , ,84, , , , ,61,103,85,134,133,127,124, ,110,8,104,49,4,85,52,96
08,150,"32,492",-10%,1%,11%,-90%,0.5,"-609,995",2.1,0.00%,20, ,16, ,-5.8100%,4.4000%,-4.4000%,-1.5700%,-4.2400%, ,-0.0002%, , 
08_rank, , ,109, , , , ,78,112,96,65,68,19,22, ,47,131,105,113,73,95,109,128
09,121,"13,592",13%,0%,3%,-86%,0.2,"-179,040",0.9,0.00%,3, ,4, ,15.1000%,21.6400%,-1.4600%,0.7300%,-5.8100%, ,0.0001%, , 
09_rank, , ,16, , , , ,41,97,84,93,93,84,82, ,17,85,69,100,57,37,65,98
10,134,"19,977",-4%,0%,2%,-77%,0.2,"-133,972",1.3,0.00%,2, ,9, ,-4.3300%,-0.4500%,-3.2600%,-0.6900%,0.0700%, ,-0.0001%, , 
10_rank, , ,92, , , , ,54,105,99,121,121,35,50, ,72,106,74,65,29,64,84,113
11,150,"23,030",-22%,0%,8%,-90%,1.6,"-436,710",1.5,0.00%,12, ,15, ,-12.9000%,-11.8100%,-1.6400%,-2.2200%,2.7600%, ,-0.0005%, , 
11_rank, , ,123, , , , ,67,119,106,25,31,14,18, ,126,94,116,39,55,104,104,129
12,127,"1,418",-5%,0%,0%,-91%,1.0,"-29,172",0.1,0.00%,12, ,12, ,-5.2500%,-2.7800%,16.0700%,-0.7400%,-17.8200%, ,0.0000%, , 
12_rank, , ,94, , , , ,52,123,126,74,85,11,11, ,83,1,97,123,23,49,107,120
13,160,"87,598",17%,3%,3%,-41%,0.6,"-123,452",5.7,0.01%,4, ,7, ,19.0000%,13.3800%,4.7000%,2.3200%,-1.4000%, ,0.0006%, , 
13_rank, , ,22, , , , ,59,115,97,138,134,63,65, ,26,6,26,110,66,43,60,113
14,165,"446,464",0%,16%,20%,-43%,0.8,"-693,340",29.0,0.02%,3, ,9, ,20.1400%,12.0200%,5.1200%,2.4300%,0.5700%, ,0.0024%, , 
14_rank, , ,24, , , , ,99,123,109,82,80,42,38, ,20,60,56,59,78,58,101,40
