,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"5,143,152",1%,6%,4%,19%,1.5,"1,669,567",92.0,0.70%,24, ,22, ,2.2600%,2.9000%,-0.5800%,3.3400%,-3.3900%, ,0.0143%, , 
01_rank, , ,79, , , , ,29,85,30,17,17,4,4, ,72,126,48,134,33,23,7,23
02,169,"4,175,097",-3%,5%,4%,6%,1.3,"542,093",74.7,0.56%,41, ,20, ,-1.9700%,1.6100%,-2.2600%,0.0000%,-1.3300%, ,-0.0123%, , 
02_rank, , ,114, , , , ,30,94,38,6,6,5,5, ,66,138,83,128,26,155,15,107
03,148,"1,967,908",0%,2%,1%,15%,1.2,"524,455",35.2,0.60%,6, ,15, ,0.3400%,1.8200%,-0.7900%,1.0500%,-1.7400%, ,0.0020%, , 
03_rank, , ,66, , , , ,24,57,37,83,78,14,14, ,42,92,56,114,18,37,26,7
04,131,"409,870",-3%,0%,1%,-51%,0.8,"-866,558",7.3,0.14%,22, ,14, ,-2.1000%,4.0200%,-3.8800%,3.1700%,-5.4100%, ,-0.0033%, , 
04_rank, , ,69, , , , ,105,81,48,33,32,19,19, ,27,111,17,120,32,89,70,103
05,157,"5,881,890",-7%,7%,12%,-24%,1.2,"-3,721,222",105.2,0.31%,62, ,25, ,-3.9300%,-1.0100%,-0.8300%,-1.5800%,-0.5100%, ,-0.0153%, , 
05_rank, , ,106, , , , ,124,68,36,6,6,3,3, ,87,116,91,96,20,142,59,118
06,127,"396,117",0%,0%,1%,-47%,1.0,"-725,993",7.1,0.19%,19, ,15, ,-1.8600%,2.3700%,-1.4900%,-0.4900%,-2.2600%, ,-0.0039%, , 
06_rank, , ,55, , , , ,107,68,42,2,2,7,6, ,47,92,59,81,41,94,77,102
07,152,"15,306,987",-5%,20%,6%,52%,1.4,"10,555,494",273.8,1.34%,11, ,14, ,-1.0700%,1.6200%,-0.6700%,-1.6600%,-0.3600%, ,-0.0151%, , 
07_rank, , ,81, , , , ,7,45,22,68,66,19,19, ,52,95,99,82,23,134,16,74
08,150,"4,980,856",-8%,6%,12%,-29%,1.2,"-4,151,558",89.1,0.35%,10, ,17, ,-4.4200%,-2.0800%,-1.9600%,2.4000%,-2.7700%, ,-0.0200%, , 
08_rank, , ,104, , , , ,128,50,33,108,105,18,18, ,102,107,28,104,8,141,46,88
09,121,"908,023",-5%,1%,7%,-73%,1.2,"-4,984,624",16.2,0.08%,17, ,19, ,-3.5500%,1.8600%,-2.5400%,1.1000%,-3.9600%, ,-0.0035%, , 
09_rank, , ,78, , , , ,105,62,42,8,8,4,4, ,53,99,59,92,1,96,64,90
10,134,"1,167,306",-6%,1%,4%,-49%,1.0,"-2,247,995",20.9,0.09%,40, ,16, ,-5.2300%,-0.7200%,-2.7900%,-0.3800%,-1.3400%, ,-0.0062%, , 
10_rank, , ,95, , , , ,114,73,46,7,7,8,8, ,75,102,69,102,2,108,74,107
11,150,"9,834,726",1%,13%,9%,16%,1.0,"2,747,057",175.9,0.59%,7, ,10, ,0.4500%,1.8900%,-1.8600%,2.9500%,-2.5300%, ,0.0026%, , 
11_rank, , ,59, , , , ,15,45,27,72,68,29,28, ,70,97,35,91,57,33,18,4
12,127,"492,214",0%,0%,2%,-57%,1.0,"-1,350,524",8.8,0.11%,26, ,6, ,-2.3200%,1.6000%,0.3200%,7.7100%,-11.9500%, ,-0.0028%, , 
12_rank, , ,77, , , , ,107,93,58,42,41,49,47, ,46,70,4,121,5,82,84,104
13,160,"2,137,385",-3%,2%,6%,-36%,1.0,"-2,448,065",38.2,0.16%,56, ,19, ,-2.7700%,1.6500%,-1.7800%,2.3200%,-4.9600%, ,-0.0051%, , 
13_rank, , ,106, , , , ,143,74,44,5,5,3,3, ,69,124,24,137,25,134,70,116
14,165,"17,454,299",-11%,23%,15%,20%,1.6,"6,048,765",312.2,0.93%,10, ,11, ,4.8400%,1.3000%,7.9800%,-2.7000%,-1.7400%, ,0.0361%, , 
14_rank, , ,58, , , , ,25,66,29,2,2,20,20, ,61,31,127,98,40,16,3,26
