,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"1,131,929",-6%,35%,9%,24%,1.0,"443,612",21.8,0.16%,5, ,4, ,-3.5400%,-3.2200%,-2.5400%,-3.6500%,5.8700%, ,-0.0067%, , 
01_rank, , ,143, , , , ,43,138,70,101,99,134,132, ,149,158,150,21,126,150,58,30
02,169,"111,014",-5%,3%,15%,-80%,0.6,"-930,502",2.1,0.02%,3, ,8, ,-3.7000%,4.3900%,2.0500%,-7.8100%,-2.3300%, ,-0.0007%, , 
02_rank, , ,134, , , , ,132,153,122,141,143,79,86, ,44,15,163,137,89,111,147,64
03,148,"14,936",-10%,0%,2%,-81%,1.6,"-133,928",0.3,0.00%,2, ,1, ,-7.0900%,0.7900%,1.2300%,8.6600%,-17.7700%, ,-0.0005%, , 
03_rank, , ,123, , , , ,83,140,117,136,138,136,141, ,54,50,4,146,19,92,124,139
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05,157,"14,968",-39%,0%,16%,-97%,0.8,"-1,122,951",0.3,0.00%,2, ,2, ,-17.0200%,-16.4400%,0.5000%,-13.8200%,12.7400%, ,-0.0009%, , 
05_rank, , ,153, , , , ,97,150,135,138,138,136,135, ,150,28,155,12,122,100,154,84
06,127,"4,579",-46%,0%,2%,-95%,0.8,"-188,120",0.1,0.00%,2, ,3, ,-18.4900%,-16.3500%,0.5700%,-14.5100%,11.8000%, ,-0.0053%, , 
06_rank, , ,125, , , , ,84,123,116,125,121,90,97, ,126,46,125,5,19,99,123,123
07,152,"11,346",-4%,0%,9%,-96%,0.8,"-678,157",0.2,0.00%,2, ,3, ,0.0800%,-1.4400%,4.9600%,-7.0800%,3.6400%, ,0.0000%, , 
07_rank, , ,67, , , , ,98,149,138,141,140,121,121, ,98,1,144,23,76,70,146,150
08,150,"2,275",-33%,0%,12%,-99%,0.2,"-858,436",0.0,0.00%,4, ,4, ,-15.7600%,-16.9100%,-1.3500%,10.3800%,-7.8700%, ,-0.0001%, , 
08_rank, , ,142, , , , ,93,149,148,140,140,119,113, ,143,99,4,130,50,91,146,148
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11,150,"4,138",-46%,0%,6%,-98%,0.3,"-461,831",0.1,0.00%,3, ,3, ,-18.4500%,-19.0600%,8.9100%,-15.7600%,7.4600%, ,-0.0006%, , 
11_rank, , ,142, , , , ,68,148,141,119,117,113,108, ,143,5,146,19,92,107,136,65
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"6,227",0%,0%,7%,-97%,0.6,"-499,942",0.1,0.00%,2, ,2, ,-0.2800%,-1.2000%,-1.2000%,-7.5700%,9.7000%, ,0.0000%, , 
13_rank, , ,88, , , , ,111,156,144,155,153,148,148, ,99,115,148,16,79,83,154,74
14,165,"1,901,229",-11%,59%,0%,97%,0.6,"1,875,894",36.7,0.10%,1, ,1, ,4.3300%,-3.9300%,8.6800%,0.8000%,-1.2300%, ,0.0036%, , 
14_rank, , ,60, , , , ,40,119,79,161,157,159,159, ,104,26,71,87,9,49,52,1
