,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"26,541",2%,1%,7%,-61%,1.1,"-84,469",19.8,0.00%,8, ,6, ,3.7400%,6.7300%,0.6900%,-1.1400%,-2.5400%, ,0.0001%, , 
01_rank, , ,66, , , , ,103,141,162,70,73,103,108, ,42,58,119,124,100,96,151,165
02,169,"920,637",0%,57%,14%,63%,2.1,"715,982",685.5,0.12%,3, ,2, ,0.6300%,0.1700%,-3.3500%,1.9000%,1.9100%, ,0.0008%, , 
02_rank, , ,76, , , , ,29,14,68,143,138,148,145, ,87,154,44,46,82,58,45,80
03,148,"87,285",3%,5%,3%,30%,0.9,"41,010",65.0,0.03%,4, ,1, ,3.5300%,3.9500%,-1.6100%,-0.8700%,2.0500%, ,0.0008%, , 
03_rank, , ,36, , , , ,38,43,85,109,105,145,143, ,27,120,108,33,140,48,46,81
04,131,"31,509",2%,1%,3%,-22%,0.8,"-18,769",23.5,0.01%,3, ,1, ,2.0500%,1.3700%,-3.9200%,0.2600%,4.3500%, ,0.0002%, , 
04_rank, , ,28, , , , ,26,56,86,113,110,131,128, ,44,112,49,21,14,35,37,24
05,157,"233,915",-8%,14%,14%,4%,3.3,"21,693",174.2,0.01%,2, ,2, ,-4.4500%,-0.9700%,-1.5200%,-3.9200%,1.9600%, ,-0.0007%, , 
05_rank, , ,111, , , , ,24,59,93,142,139,138,134, ,86,132,117,49,127,98,26,12
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"22,475",25%,1%,8%,-68%,1.0,"-99,754",16.7,0.00%,4, ,3, ,39.4200%,42.2300%,-0.2100%,-5.3500%,2.7500%, ,0.0003%, , 
07_rank, , ,11, , , , ,48,109,134,119,115,125,123, ,12,80,134,31,147,52,92,126
08,150,"34,750",24%,2%,5%,-36%,1.4,"-39,792",25.9,0.00%,24, ,9, ,32.7800%,39.2600%,-3.8700%,-0.6700%,-1.9400%, ,0.0003%, , 
08_rank, , ,10, , , , ,24,71,94,56,56,57,56, ,10,125,92,98,103,42,31,92
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10,134,"18,035",42%,1%,3%,-48%,1.8,"-34,136",13.4,0.00%,13, ,7, ,57.5700%,54.8800%,-3.4500%,4.9500%,1.1800%, ,0.0002%, , 
10_rank, , ,5, , , , ,32,82,100,48,47,58,55, ,5,108,7,40,58,35,59,102
11,150,"4,222",-2%,0%,7%,-92%,1.2,"-105,109",3.1,0.00%,11, ,6, ,-2.6200%,3.4200%,-7.2200%,1.4200%,-0.2400%, ,0.0000%, , 
11_rank, , ,80, , , , ,33,107,140,33,32,70,70, ,56,133,48,68,133,66,90,51
12,127,"154,428",7%,9%,2%,60%,0.9,"116,052",115.0,0.03%,10, ,1, ,4.7600%,11.7600%,-3.9100%,-0.3400%,-2.7500%, ,0.0013%, , 
12_rank, , ,28, , , , ,38,40,81,81,82,125,125, ,14,110,87,91,65,31,44,74
13,160,"34,576",-12%,2%,8%,-54%,1.6,"-84,034",25.7,0.00%,6, ,3, ,-8.1400%,-4.2600%,-3.8500%,-3.9000%,3.8700%, ,-0.0004%, , 
13_rank, , ,131, , , , ,51,81,109,105,102,124,120, ,128,144,140,29,113,106,69,35
14,165,"25,604",-32%,1%,13%,-76%,1.6,"-162,383",19.1,0.00%,5, ,2, ,-11.9400%,-14.9600%,26.6800%,-40.2400%,16.5900%, ,-0.0004%, , 
14_rank, , ,153, , , , ,75,132,148,38,49,141,144, ,157,2,164,21,47,110,134,154
