,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"1,568,661",2%,35%,3%,69%,2.7,"1,285,297",28.2,0.21%,9, ,9, ,3.4300%,-0.3400%,2.3000%,-0.6200%,2.0900%, ,0.0063%, , 
01_rank, , ,68, , , , ,31,130,62,59,60,75,73, ,109,23,109,57,39,38,35,2
02,169,"254,611",-3%,5%,8%,-44%,1.2,"-403,434",4.6,0.03%,20, ,9, ,-2.0900%,-4.8700%,-1.6900%,4.0400%,0.4300%, ,-0.0008%, , 
02_rank, , ,116, , , , ,110,144,104,33,37,68,68, ,146,129,23,73,104,114,100,44
03,148,"59,234",0%,1%,2%,-44%,1.4,"-95,720",1.1,0.02%,7, ,4, ,0.8600%,-5.1100%,3.4700%,2.2700%,0.2300%, ,0.0001%, , 
03_rank, , ,59, , , , ,71,125,90,74,80,99,100, ,109,13,30,65,98,60,68,112
04,131,"89,948",-4%,2%,2%,-29%,0.8,"-74,312",1.6,0.03%,8, ,7, ,-2.8400%,-0.3800%,-1.1900%,-6.5900%,5.3200%, ,-0.0010%, , 
04_rank, , ,81, , , , ,44,105,76,81,85,55,54, ,61,84,122,18,33,72,41,92
05,157,"99,058",-11%,2%,18%,-86%,0.5,"-1,313,424",1.8,0.01%,14, ,7, ,-6.5900%,-8.8300%,-0.8200%,-5.1200%,8.1900%, ,-0.0005%, , 
05_rank, , ,123, , , , ,101,132,108,56,58,81,85, ,134,114,130,19,27,91,130,141
06,127,"4,079",-28%,0%,0%,-85%,0.5,"-49,432",0.1,0.00%,4, ,7, ,-15.2500%,-7.8700%,2.4100%,-11.5100%,1.7200%, ,-0.0013%, , 
06_rank, , ,120, , , , ,55,124,117,90,94,45,43, ,110,14,120,31,32,67,98,116
07,152,"128,036",-10%,2%,10%,-71%,1.0,"-652,011",2.3,0.01%,11, ,5, ,-4.4800%,-4.0000%,-3.0900%,-6.5700%,9.1900%, ,-0.0006%, , 
07_rank, , ,111, , , , ,97,136,105,72,69,93,91, ,113,134,142,12,29,92,113,132
08,150,"14,003",-46%,0%,11%,-96%,0.4,"-877,431",0.3,0.00%,16, ,7, ,-18.1400%,-17.8300%,-2.1200%,-5.1600%,6.9800%, ,-0.0019%, , 
08_rank, , ,146, , , , ,94,140,120,84,84,80,79, ,146,108,142,17,29,126,136,141
09,121,"7,336",-1%,0%,3%,-95%,0.2,"-292,808",0.1,0.00%,3, ,3, ,-0.4600%,0.3600%,-0.9700%,2.1100%,-1.9600%, ,0.0000%, , 
09_rank, , ,60, , , , ,54,110,97,98,99,97,98, ,63,76,39,65,24,59,94,111
10,134,"6,311",-28%,0%,4%,-96%,0.9,"-369,356",0.1,0.00%,3, ,2, ,-15.1400%,-14.7300%,1.2200%,-0.7800%,-0.8500%, ,-0.0003%, , 
10_rank, , ,126, , , , ,77,128,117,112,113,109,111, ,127,18,81,89,98,76,123,63
11,150,"7,779",-42%,0%,13%,-98%,0.2,"-1,049,225",0.1,0.00%,7, ,6, ,-17.9100%,-17.6600%,-2.8500%,-5.2300%,7.8300%, ,-0.0008%, , 
11_rank, , ,138, , , , ,91,145,129,65,67,61,61, ,140,111,134,17,37,113,142,145
12,127,"47,583",40%,1%,1%,-27%,0.2,"-35,358",0.9,0.01%,5, ,4, ,52.5500%,22.8800%,7.3100%,-5.0500%,27.4200%, ,0.0015%, , 
12_rank, , ,2, , , , ,53,113,94,109,110,77,79, ,6,4,126,1,98,29,56,94
13,160,"124,003",5%,2%,4%,-43%,0.9,"-193,997",2.2,0.01%,7, ,2, ,5.2800%,-9.1300%,-0.3100%,-6.1700%,20.9000%, ,0.0004%, , 
13_rank, , ,41, , , , ,74,125,89,100,100,146,146, ,137,94,146,3,96,49,67,122
14,165,"465,248",-17%,10%,14%,-41%,0.4,"-670,613",8.4,0.02%,2, ,5, ,-1.5400%,-10.1200%,5.1300%,18.4500%,-14.9900%, ,-0.0004%, , 
14_rank, , ,109, , , , ,97,143,106,118,113,97,93, ,146,59,10,156,144,111,99,48
