,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"398,905",-15%,7%,4%,41%,1.0,"232,698",24.0,0.05%,4, ,8, ,-9.1600%,-3.5600%,-1.9700%,2.6500%,-6.2900%, ,-0.0092%, , 
01_rank, , ,168, , , , ,55,134,104,116,114,82,80, ,151,150,55,154,56,153,62,112
02,169,"139,537",-24%,2%,6%,-32%,0.8,"-133,468",8.4,0.02%,6, ,6, ,-13.4200%,-13.0900%,-4.4400%,-7.9500%,12.0600%, ,-0.0077%, , 
02_rank, , ,164, , , , ,79,130,116,99,98,92,94, ,165,159,165,10,55,146,81,128
03,148,"95,219",-2%,1%,2%,-7%,1.1,"-16,086",5.7,0.03%,1, ,1, ,-1.5800%,-10.3800%,-11.4200%,-5.7900%,26.0100%, ,-0.0005%, , 
03_rank, , ,89, , , , ,49,102,81,144,142,147,144, ,134,148,145,3,42,91,52,19
04,131,"2,394",-8%,0%,1%,-93%,1.2,"-65,711",0.1,0.00%,4, ,2, ,-5.5200%,-1.5300%,-6.7200%,5.2600%,-2.5300%, ,-0.0001%, , 
04_rank, , ,97, , , , ,38,126,129,110,109,124,122, ,74,127,8,107,116,44,114,69
05,157,"24,181",-44%,0%,18%,-93%,1.3,"-728,789",1.5,0.00%,4, ,3, ,-17.9300%,-18.0700%,-2.1500%,-13.6500%,15.9400%, ,-0.0022%, , 
05_rank, , ,155, , , , ,83,135,132,115,114,132,126, ,154,140,154,9,110,116,141,80
06,127,"9,590",21%,0%,0%,-36%,0.7,"-11,169",0.6,0.00%,2, ,3, ,18.6200%,27.9600%,-4.1100%,-3.8400%,-1.3900%, ,0.0004%, , 
06_rank, , ,9, , , , ,33,110,103,120,117,94,93, ,13,113,99,67,52,32,49,96
07,152,"4,334,400",-10%,81%,12%,79%,1.1,"3,837,742",261.2,0.38%,2, ,4, ,-4.9200%,-9.6000%,-3.4300%,-12.4400%,20.5500%, ,-0.0248%, , 
07_rank, , ,115, , , , ,14,47,42,136,135,105,105, ,134,139,150,4,54,141,32,1
08,150,"33,572",-27%,0%,17%,-90%,1.2,"-673,497",2.0,0.00%,18, ,3, ,-14.0700%,-9.2200%,-4.3600%,-2.6600%,2.1700%, ,-0.0011%, , 
08_rank, , ,136, , , , ,83,113,95,79,78,125,123, ,125,130,123,32,26,119,112,129
09,121,"2,423",-30%,0%,5%,-97%,1.1,"-213,264",0.1,0.00%,11, ,4, ,-15.2600%,-10.2700%,-2.3700%,-0.1900%,-2.4300%, ,-0.0001%, , 
09_rank, , ,112, , , , ,46,108,111,31,31,77,80, ,104,97,82,75,34,78,107,118
10,134,"11,097",-32%,0%,6%,-91%,0.7,"-241,623",0.7,0.00%,1, ,2, ,-16.0400%,-14.1500%,-3.5200%,-3.6100%,5.2400%, ,-0.0007%, , 
10_rank, , ,129, , , , ,67,113,109,128,128,122,122, ,126,110,123,18,34,88,106,125
11,150,"11,486",-36%,0%,7%,-92%,0.4,"-293,453",0.7,0.00%,10, ,3, ,-16.7400%,-10.1700%,-6.0000%,5.1800%,-5.7500%, ,-0.0007%, , 
11_rank, , ,135, , , , ,53,130,119,45,48,115,121, ,122,127,25,106,122,111,109,52
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"6,473",-50%,0%,5%,-94%,0.7,"-217,149",0.4,0.00%,5, ,3, ,-18.7800%,-18.8400%,-6.3400%,-9.7700%,16.1700%, ,-0.0015%, , 
13_rank, , ,159, , , , ,81,147,143,123,122,119,118, ,159,157,153,6,50,120,142,68
14,165,"231,404",-10%,4%,8%,-19%,0.2,"-111,972",13.9,0.01%,4, ,9, ,5.8900%,-7.0200%,15.0600%,-12.4600%,10.3100%, ,0.0006%, , 
14_rank, , ,52, , , , ,70,138,120,65,62,43,45, ,128,9,156,28,159,77,68,120
