,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"995,859",-1%,35%,11%,23%,0.9,"374,312",61.7,0.14%,1, ,1, ,-0.3700%,-1.8200%,0.7000%,-1.5500%,2.3100%, ,-0.0005%, , 
01_rank, , ,110, , , , ,48,97,76,175,173,174,172, ,131,57,126,53,124,115,71,24
02,169,"117,513",-12%,4%,9%,-60%,1.4,"-360,284",7.3,0.02%,4, ,2, ,-7.7900%,-2.8300%,-0.3000%,-5.2900%,0.6300%, ,-0.0020%, , 
02_rank, , ,154, , , , ,106,134,119,121,118,150,150, ,129,88,154,67,101,123,123,57
03,148,"33,256",-4%,1%,2%,-53%,1.3,"-76,056",2.1,0.01%,5, ,3, ,-3.2000%,-6.3800%,-1.0300%,2.5300%,1.6800%, ,-0.0004%, , 
03_rank, , ,101, , , , ,67,117,102,94,91,115,131, ,121,105,26,36,128,87,72,31
04,131,"11,277",-15%,0%,1%,-69%,1.0,"-50,246",0.7,0.00%,7, ,2, ,-9.7400%,-7.3500%,-2.7900%,0.4000%,0.0000%, ,-0.0007%, , 
04_rank, , ,111, , , , ,33,116,108,83,81,119,131, ,116,103,44,69,38,65,62,110
05,157,"14,567",-16%,0%,15%,-96%,1.2,"-778,885",0.9,0.00%,18, ,3, ,-9.4400%,-8.7100%,-1.8400%,4.1200%,-3.0100%, ,-0.0001%, , 
05_rank, , ,133, , , , ,88,138,136,39,47,121,144, ,132,137,11,135,85,82,149,81
06,127,"5,396",-1%,0%,0%,-47%,2.3,"-9,783",0.3,0.00%,5, ,2, ,-3.1900%,8.9800%,-5.3400%,2.1500%,-8.9800%, ,-0.0001%, , 
06_rank, , ,68, , , , ,32,113,115,80,83,121,124, ,30,122,28,106,58,44,55,32
07,152,"188,000",-13%,6%,6%,-27%,1.6,"-143,043",11.6,0.02%,2, ,2, ,-6.2600%,-8.0600%,-1.0200%,6.7800%,-3.9500%, ,-0.0015%, , 
07_rank, , ,124, , , , ,54,114,96,132,130,138,139, ,132,103,16,122,30,106,58,108
08,150,"17,304",0%,0%,8%,-92%,0.8,"-430,460",1.1,0.00%,19, ,3, ,1.4100%,19.6000%,-4.9500%,5.2500%,-18.4800%, ,0.0000%, , 
08_rank, , ,51, , , , ,66,125,113,69,74,127,126, ,17,135,12,146,14,65,111,41
09,121,"2,288",19%,0%,3%,-97%,0.0,"-182,172",0.1,0.00%,4, ,2, ,22.1100%,25.5800%,-2.4100%,5.4900%,-6.5600%, ,0.0000%, , 
09_rank, , ,14, , , , ,42,109,113,82,83,108,114, ,14,98,10,105,119,51,104,115
10,134,"9,687",-3%,0%,2%,-84%,0.6,"-105,922",0.6,0.00%,7, ,2, ,-3.6600%,1.2400%,-2.2200%,-2.0600%,-0.6200%, ,0.0000%, , 
10_rank, , ,83, , , , ,51,114,112,76,76,114,124, ,52,94,108,83,66,58,92,45
11,150,"11,679",-17%,0%,6%,-93%,0.4,"-319,918",0.7,0.00%,4, ,2, ,-10.9400%,48.0800%,-7.7800%,-5.6500%,-45.5900%, ,-0.0002%, , 
11_rank, , ,116, , , , ,55,129,118,101,98,126,122, ,20,135,137,134,78,81,111,55
12,127,"8,501",11%,0%,0%,-58%,0.9,"-23,650",0.5,0.00%,10, ,2, ,8.7800%,15.8900%,3.0800%,-3.4700%,-6.7100%, ,0.0001%, , 
12_rank, , ,14, , , , ,49,118,111,86,87,109,106, ,11,13,123,111,16,41,74,33
13,160,"27,203",-5%,0%,3%,-73%,0.9,"-152,039",1.7,0.00%,6, ,3, ,-4.1700%,1.1500%,-4.3100%,2.6400%,-3.6500%, ,-0.0001%, , 
13_rank, , ,118, , , , ,67,129,112,107,108,122,121, ,72,148,17,132,52,96,92,43
14,165,"536,504",-22%,18%,29%,-47%,6.0,"-978,492",33.2,0.03%,3, ,2, ,-5.3800%,6.1300%,3.1800%,-8.2900%,-6.3900%, ,-0.0021%, , 
14_rank, , ,132, , , , ,107,122,104,87,93,145,146, ,35,80,151,142,65,127,110,143
