,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,720421,11,28,5,57,0.8,528273,38.6,0.1,3,0,6,0,12.75,19.2,-0.04,-0.22,-6.19,0,0.0077,0,0
01_rank,0,0,28,0,0,0,0.0,41,118.0,85.0,147,145,105,107,0.0,12.0,101.0,101.0,151.0,9,33.0,63,7
02,169,29635,14,1,8,-81,0.8,-254117,1.6,0.0,4,0,5,0,15.24,2.3,-0.28,4.3,8.93,0,0.0003,0,0
02_rank,0,0,18,0,0,0,0.0,91,158.0,142.0,127,132,109,115,0.0,59.0,87.0,20.0,15.0,61,67.0,140,151
03,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
03_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04,131,5002,-5,0,2,-87,0.7,-67278,0.3,0.0,4,0,2,0,-3.76,-6.11,-1.87,3.24,0.99,0,-0.0001,0,0
04_rank,0,0,87,0,0,0,0.0,40,123.0,120.0,108,123,113,121,0.0,111.0,96.0,14.0,45.0,13,46.0,97,120
05,157,24999,28,0,17,-91,0.3,-559526,1.3,0.0,2,0,2,0,39.04,29.37,1.59,0.4,7.69,0,0.0002,0,0
05_rank,0,0,11,0,0,0,0.0,68,136.0,129.0,140,142,141,146,0.0,12.0,6.0,49.0,20.0,9,44.0,135,60
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,107779,122,4,12,-59,2.6,-318996,5.8,0.01,1,0,1,0,566.5,134.5,1.74,5.32,424.94,0,0.0018,0,0
07_rank,0,0,1,0,0,0,0.0,77,123.0,107.0,145,145,144,145,0.0,7.0,17.0,20.0,1.0,6,37.0,94,30
08,150,28139,32,1,12,-87,0.8,-388392,1.5,0.0,14,0,4,0,48.01,82.23,0.53,1.99,-36.74,0,0.0003,0,0
08_rank,0,0,5,0,0,0,0.0,61,116.0,103.0,87,90,118,116,0.0,3.0,42.0,31.0,149.0,4,43.0,92,30
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,150,28104,51,1,7,-80,0.9,-235444,1.5,0.0,7,0,3,0,84.3,98.66,1.26,5.46,-21.09,0,0.0003,0,0
11_rank,0,0,10,0,0,0,0.0,47,118.0,101.0,75,74,110,104,0.0,12.0,51.0,24.0,130.0,16,51.0,72,23
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,11393,19,0,3,-83,1.2,-118739,0.6,0.0,4,0,8,0,21.48,27.9,1.96,1.45,-9.83,0,0.0001,0,0
13_rank,0,0,16,0,0,0,0.0,57,141.0,132.0,142,141,48,52,0.0,13.0,24.0,39.0,146.0,6,66.0,107,46
14,165,11379,47,0,20,-96,0.6,-670756,0.6,0.0,1,0,10,0,170.61,461.0,12.69,45.65,-348.72,0,0.0001,0,0
14_rank,0,0,6,0,0,0,0.0,98,160.0,158.0,152,161,24,24,0.0,2.0,15.0,4.0,165.0,43,85.0,162,78
