,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,61396,-8,49,7,11,0.5,13136,5.8,0.01,2,0,5,0,-4.9,4.46,-10.26,-8.93,9.83,0,-0.0005,0,0
01_rank,0,0,154,0,0,0,0.0,78,164.0,150.0,170,168,122,129,0.0,58.0,177.0,169.0,16.0,63,116.0,85,120
02,169,18583,32,14,10,-55,0.4,-46200,1.8,0.0,4,0,2,0,43.45,153.98,-3.32,2.34,-109.55,0,0.0003,0,0
02_rank,0,0,7,0,0,0,0.0,67,156.0,150.0,124,134,157,157,0.0,1.0,153.0,37.0,169.0,15,68.0,102,51
03,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
03_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,157,5389,-4,4,18,-91,1.8,-112676,0.5,0.0,2,0,3,0,-1.6,2.41,-1.11,-12.93,10.03,0,0.0,0,0
05_rank,0,0,88,0,0,0,0.0,33,146.0,146.0,151,153,129,149,0.0,47.0,121.0,152.0,15.0,34,66.0,115,75
06,127,1096,-12,0,1,-79,0.0,-8687,0.1,0.0,2,0,4,0,-9.41,83.3,-8.67,-7.98,-76.06,0,-0.0001,0,0
06_rank,0,0,104,0,0,0,0.0,31,122.0,126.0,123,126,80,78,0.0,4.0,126.0,113.0,125.0,3,43.0,86,114
07,152,5431,4,4,11,-85,3.0,-65306,0.5,0.0,2,0,1,0,8.64,14.01,-7.23,-4.61,6.48,0,0.0,0,0
07_rank,0,0,24,0,0,0,0.0,42,145.0,142.0,138,141,147,152,0.0,20.0,151.0,131.0,15.0,49,67.0,114,141
08,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
14,165,6701,-22,5,18,-89,0.9,-109424,0.6,0.0,4,0,5,0,-5.9,-8.98,3.01,-21.18,21.25,0,0.0,0,0
14_rank,0,0,135,0,0,0,0.0,68,159.0,159.0,48,70,96,112,0.0,138.0,82.0,160.0,16.0,1,95.0,147,159
