,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,1096142,4,51,14,20,0.9,379396,46.8,0.15,2,0,5,0,5.31,9.63,0.83,-0.8,-4.35,0,0.0063,0,0
01_rank,0,0,59,0,0,0,0.0,47,107.0,72.0,156,150,114,117,0.0,31.0,51.0,112.0,142.0,38,37.0,61,20
02,169,68173,-4,3,8,-72,0.6,-356459,2.9,0.01,15,0,8,0,-2.78,-0.5,-2.64,-0.46,0.82,0,-0.0003,0,0
02_rank,0,0,120,0,0,0,0.0,105,151.0,131.0,47,61,77,85,0.0,97.0,147.0,92.0,62.0,128,102.0,134,61
03,148,482779,2,22,2,63,0.9,374434,20.6,0.15,4,0,8,0,2.09,-3.19,1.41,-3.07,6.95,0,0.0028,0,0
03_rank,0,0,44,0,0,0,0.0,27,72.0,57.0,116,119,47,46,0.0,100.0,46.0,133.0,14.0,113,35.0,32,71
04,131,4698,-8,0,1,-86,1.5,-61116,0.2,0.0,5,0,4,0,-6.12,-7.36,-0.84,-5.71,7.79,0,-0.0001,0,0
04_rank,0,0,100,0,0,0,0.0,37,125.0,121.0,102,112,91,125,0.0,117.0,75.0,119.0,11.0,49,50.0,92,62
05,157,65301,-15,3,13,-81,0.7,-579873,2.8,0.0,3,0,4,0,-8.93,-7.61,-1.73,-6.25,6.67,0,-0.0006,0,0
05_rank,0,0,131,0,0,0,0.0,72,128.0,118.0,133,131,109,107,0.0,128.0,135.0,140.0,23.0,31,93.0,112,67
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,173383,1,8,12,-56,2.6,-446879,7.4,0.02,2,0,4,0,5.22,11.56,-3.39,7.24,-10.19,0,0.0006,0,0
07_rank,0,0,34,0,0,0,0.0,83,121.0,99.0,128,126,111,108,0.0,22.0,138.0,15.0,137.0,7,44.0,90,44
08,150,17745,-23,0,9,-92,1.9,-439170,0.8,0.0,8,0,14,0,-12.61,-5.86,-5.88,-3.73,2.85,0,-0.0004,0,0
08_rank,0,0,132,0,0,0,0.0,69,131.0,110.0,118,115,25,26,0.0,116.0,144.0,133.0,28.0,13,107.0,116,133
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,134,2037,-17,0,4,-98,0.7,-211895,0.1,0.0,14,0,8,0,-11.18,-3.81,-2.48,-1.65,-3.24,0,0.0,0,0
10_rank,0,0,119,0,0,0,0.0,64,132.0,127.0,44,48,48,70,0.0,99.0,98.0,100.0,120.0,33,60.0,128,133
11,150,5989,-18,0,7,-96,0.4,-370558,0.3,0.0,9,0,7,0,-11.15,7.28,-1.38,-3.34,-13.71,0,-0.0001,0,0
11_rank,0,0,117,0,0,0,0.0,62,140.0,136.0,54,61,55,68,0.0,43.0,89.0,125.0,122.0,53,77.0,126,139
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,19183,-4,0,4,-84,1.6,-216261,0.8,0.0,8,0,9,0,-3.56,6.82,-3.37,2.06,-9.07,0,-0.0001,0,0
13_rank,0,0,113,0,0,0,0.0,78,137.0,124.0,94,93,40,49,0.0,39.0,139.0,30.0,144.0,72,91.0,119,57
14,165,194938,-46,9,12,-51,1.9,-415611,8.3,0.01,4,0,7,0,-16.75,-16.78,1.87,-0.43,-1.41,0,-0.0107,0,0
14_rank,0,0,160,0,0,0,0.0,90,144.0,125.0,54,56,64,76,0.0,160.0,105.0,89.0,93.0,112,139.0,109,57
