,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,7681311,10,74,15,72,0.7,6432252,324.2,1.05,3,0,12,0,11.86,13.33,1.49,0.84,-3.8,0,0.0784,0,0
01_rank,0,0,29,0,0,0,0.0,14,35.0,25.0,135,130,38,41,0.0,22.0,29.0,81.0,138.0,148,4.0,25,90
02,169,567056,-5,5,11,-23,0.8,-348911,23.9,0.08,7,0,6,0,-3.54,-0.7,-1.4,-1.71,0.27,0,-0.0033,0,0
02_rank,0,0,131,0,0,0,0.0,104,117.0,82.0,94,92,101,98,0.0,101.0,118.0,123.0,75.0,96,131.0,77,37
03,148,195233,-6,1,1,15,1.5,51793,8.2,0.06,8,0,13,0,-4.11,-3.94,1.27,0.3,-1.73,0,-0.0031,0,0
03_rank,0,0,108,0,0,0,0.0,37,94.0,73.0,70,71,21,22,0.0,104.0,48.0,73.0,113.0,132,113.0,30,13
04,131,16930,-31,0,2,-85,0.9,-206526,0.7,0.01,3,0,4,0,-15.43,-12.83,1.67,-7.44,3.18,0,-0.0039,0,0
04_rank,0,0,126,0,0,0,0.0,70,115.0,101.0,115,113,89,92,0.0,123.0,12.0,124.0,29.0,128,94.0,106,61
05,157,87788,-29,0,14,-85,0.5,-1046959,3.7,0.0,8,0,5,0,-14.63,-12.56,0.12,-5.72,3.53,0,-0.0025,0,0
05_rank,0,0,148,0,0,0,0.0,95,125.0,113.0,79,77,99,99,0.0,144.0,54.0,136.0,34.0,123,119.0,125,69
06,127,10335,-36,0,0,-75,1.4,-64184,0.4,0.0,4,0,6,0,-17.11,-16.05,0.15,-5.18,3.97,0,-0.0058,0,0
06_rank,0,0,123,0,0,0,0.0,59,111.0,102.0,94,93,49,57,0.0,125.0,63.0,106.0,18.0,44,101.0,90,45
07,152,23015,-31,0,10,-94,0.7,-809297,1.0,0.0,5,0,7,0,-14.82,-10.3,-1.23,-3.54,0.24,0,-0.0012,0,0
07_rank,0,0,146,0,0,0,0.0,102,141.0,133.0,103,102,63,65,0.0,139.0,106.0,121.0,67.0,35,100.0,142,148
08,150,24718,-28,0,9,-93,1.7,-739677,1.0,0.0,6,0,8,0,-14.39,-14.07,-1.81,-6.07,7.57,0,-0.0009,0,0
08_rank,0,0,137,0,0,0,0.0,88,127.0,105.0,129,127,64,61,0.0,138.0,103.0,146.0,16.0,56,118.0,125,137
09,121,2960,-23,0,3,-97,0.2,-265642,0.1,0.0,9,0,8,0,-12.94,-11.82,-1.18,6.86,-6.8,0,-0.0001,0,0
09_rank,0,0,109,0,0,0,0.0,52,111.0,109.0,47,49,39,45,0.0,109.0,81.0,4.0,107.0,49,73.0,110,116
10,134,6408,4,0,3,-95,1.0,-269945,0.3,0.0,4,0,4,0,3.01,-4.5,-1.94,1.12,8.32,0,0.0,0,0
10_rank,0,0,31,0,0,0,0.0,69,119.0,116.0,102,103,96,96,0.0,104.0,88.0,29.0,12.0,74,47.0,118,127
11,150,2673,-59,0,6,-98,0.3,-478101,0.1,0.0,12,0,7,0,-19.47,-19.44,-0.72,-3.04,3.72,0,-0.0012,0,0
11_rank,0,0,146,0,0,0,0.0,70,146.0,144.0,28,36,56,74,0.0,145.0,79.0,122.0,32.0,100,118.0,144,66
12,127,2534,-5,0,1,-95,0.5,-118968,0.1,0.0,22,0,3,0,-5.07,-2.36,7.42,30.05,-40.18,0,0.0,0,0
12_rank,0,0,90,0,0,0,0.0,68,121.0,119.0,49,48,93,91,0.0,81.0,3.0,2.0,126.0,34,52.0,123,127
13,160,46749,-25,0,5,-81,0.4,-408170,2.0,0.0,6,0,4,0,-13.64,-12.26,5.41,5.09,-11.89,0,-0.0015,0,0
13_rank,0,0,145,0,0,0,0.0,101,127.0,103.0,109,105,99,101,0.0,143.0,4.0,8.0,152.0,70,121.0,118,53
14,165,1173424,-22,11,13,5,1.1,129221,49.5,0.06,3,0,9,0,-5.29,-5.49,3.24,-2.67,-0.36,0,-0.0045,0,0
14_rank,0,0,131,0,0,0,0.0,55,112.0,90.0,81,84,35,55,0.0,120.0,79.0,126.0,73.0,56,133.0,36,109
