,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,53741,0,1,7,-70,1.4,-256417,0.7,0.01,4,0,11,0,0.84,0.79,0.74,-1.77,1.08,0,0.0001,0,0
01_rank,0,0,96,0,0,0,0.0,122,176.0,153.0,122,117,49,48,0.0,96.0,54.0,131.0,64.0,12,98.0,156,69
02,169,20559,4,0,12,-92,0.9,-489240,0.3,0.0,5,0,6,0,4.61,-4.82,0.59,3.67,5.17,0,0.0001,0,0
02_rank,0,0,40,0,0,0,0.0,115,167.0,149.0,112,113,102,111,0.0,144.0,42.0,27.0,24.0,139,78.0,156,164
03,148,89835,-11,1,1,23,1.6,34412,1.2,0.03,5,0,7,0,-7.69,-10.72,1.61,14.35,-12.94,0,-0.0034,0,0
03_rank,0,0,125,0,0,0,0.0,39,123.0,83.0,91,108,65,64,0.0,135.0,42.0,2.0,142.0,138,115.0,42,11
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,157,13329,-44,0,17,-96,1.0,-693884,0.2,0.0,4,0,4,0,-17.97,-19.29,-2.62,-14.46,18.4,0,-0.0012,0,0
05_rank,0,0,156,0,0,0,0.0,79,153.0,138.0,120,122,104,104,0.0,156.0,147.0,156.0,5.0,95,105.0,148,82
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,3366303,-4,73,11,76,0.8,2910105,43.6,0.3,2,0,3,0,0.0,0.26,-0.85,2.16,-1.57,0,0.0,0,0
07_rank,0,0,70,0,0,0,0.0,17,78.0,48.0,140,139,118,114,0.0,69.0,102.0,36.0,110.0,65,69.0,35,72
08,150,6731,-18,0,13,-97,2.6,-556275,0.1,0.0,11,0,2,0,-10.12,12.98,-3.44,-4.01,-15.65,0,-0.0001,0,0
08_rank,0,0,122,0,0,0,0.0,75,147.0,134.0,103,107,137,134,0.0,23.0,121.0,136.0,145.0,111,86.0,137,55
09,121,1486,-2,0,4,-98,1.1,-178146,0.0,0.0,2,0,3,0,-0.98,-4.74,-2.16,1.13,4.79,0,0.0,0,0
09_rank,0,0,63,0,0,0,0.0,40,120.0,118.0,114,114,93,94,0.0,90.0,93.0,58.0,13.0,41,57.0,111,119
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,150,13471,-14,0,7,-91,1.0,-276908,0.2,0.0,3,0,3,0,-9.36,-0.09,-3.57,-8.81,3.1,0,-0.0001,0,0
11_rank,0,0,111,0,0,0,0.0,51,144.0,115.0,120,116,119,109,0.0,86.0,112.0,144.0,36.0,140,80.0,98,49
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,12446,15,0,6,-91,1.0,-268452,0.2,0.0,4,0,2,0,16.29,11.45,0.28,1.52,3.04,0,0.0001,0,0
13_rank,0,0,24,0,0,0,0.0,87,154.0,130.0,137,135,140,138,0.0,30.0,79.0,36.0,34.0,19,67.0,139,56
14,165,890176,-23,19,5,60,1.7,672492,11.5,0.05,4,0,4,0,-6.63,-9.97,0.97,-1.73,4.1,0,-0.0047,0,0
14_rank,0,0,139,0,0,0,0.0,46,140.0,96.0,43,41,102,96,0.0,145.0,120.0,109.0,34.0,3,134.0,40,99
