,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,3175,4,0,6,-90,0.9,-63824,2.6,0.0,3,0,2,0,4.87,-6.95,-1.29,-0.81,13.92,0,0.0,0,0
01_rank,0,0,61,0,0,0,0.0,100,170.0,176.0,153,158,160,162,0.0,164.0,141.0,114.0,14.0,175,101.0,169,175
02,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
02_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
03,148,279119,16,6,1,86,1.4,258463,228.5,0.08,2,0,1,0,17.2,7.57,3.78,3.41,2.43,0,0.0078,0,0
03_rank,0,0,11,0,0,0,0.0,30,24.0,67.0,135,134,144,140,0.0,19.0,10.0,20.0,30.0,11,22.0,44,1
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,157,262735,-7,5,6,56,1.0,189800,215.1,0.01,1,0,2,0,-3.88,11.55,0.79,-9.0,-7.23,0,-0.0007,0,0
05_rank,0,0,105,0,0,0,0.0,23,55.0,90.0,157,157,140,137,0.0,21.0,22.0,147.0,148.0,87,97.0,27,2
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08,150,5734,-19,0,12,-91,0.2,-127555,4.7,0.0,5,0,2,0,-10.93,-10.24,-0.77,-4.21,4.29,0,-0.0001,0,0
08_rank,0,0,126,0,0,0,0.0,31,100.0,136.0,133,132,133,132,0.0,129.0,82.0,139.0,25.0,30,87.0,88,131
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,150,2349,-68,0,21,-97,0.5,-229251,1.9,0.0,6,0,5,0,-19.82,-19.76,11.71,-26.86,15.1,0,-0.003,0,0
11_rank,0,0,149,0,0,0,0.0,46,115.0,145.0,82,81,75,92,0.0,148.0,2.0,149.0,8.0,32,123.0,129,140
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
14,165,4029813,-27,87,0,99,1.1,4020532,3299.1,0.21,2,0,9,0,-9.19,-10.92,2.45,-1.93,1.21,0,-0.0364,0,0
14_rank,0,0,147,0,0,0,0.0,28,13.0,62.0,135,131,40,29,0.0,149.0,93.0,116.0,50.0,12,151.0,23,81
