,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,20875,-23,0,11,-83,0.9,-205048,10.5,0.0,3,0,8,0,-12.64,7.47,0.93,-8.34,-12.7,0,-0.001,0,0
01_rank,0,0,176,0,0,0,0.0,119,156.0,164.0,154,152,84,98,0.0,38.0,49.0,168.0,164.0,118,120.0,166,73
02,169,7388,-26,0,14,-94,1.5,-279301,3.7,0.0,6,0,5,0,-14.07,19.13,-2.87,-8.05,-22.28,0,-0.0005,0,0
02_rank,0,0,165,0,0,0,0.0,94,149.0,159.0,101,102,113,112,0.0,15.0,150.0,166.0,163.0,9,106.0,161,168
03,148,443239,0,11,1,88,1.2,416085,223.9,0.13,4,0,5,0,1.1,-2.61,1.02,3.31,-0.62,0,0.0014,0,0
03_rank,0,0,56,0,0,0,0.0,25,25.0,60.0,112,109,89,82,0.0,95.0,57.0,22.0,94.0,107,41.0,33,65
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,157,1297,-28,0,10,-98,0.9,-208025,0.7,0.0,23,0,11,0,-14.2,-13.21,-0.94,-1.03,0.99,0,0.0,0,0
05_rank,0,0,146,0,0,0,0.0,43,144.0,156.0,29,40,49,57,0.0,146.0,118.0,83.0,60.0,106,73.0,153,87
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,40961,63,1,10,-66,1.0,-165722,20.7,0.0,4,0,4,0,152.63,197.01,3.9,22.41,-70.7,0,0.0006,0,0
07_rank,0,0,4,0,0,0,0.0,62,97.0,123.0,122,117,110,101,0.0,4.0,2.0,2.0,151.0,12,43.0,96,40
08,150,13399,-7,0,16,-91,3.6,-304304,6.8,0.0,21,0,7,0,-3.86,1.17,-1.73,-0.93,-2.37,0,0.0,0,0
08_rank,0,0,98,0,0,0,0.0,55,93.0,121.0,63,64,78,75,0.0,70.0,101.0,97.0,101.0,19,76.0,103,130
09,121,1584,7,0,4,-96,0.0,-79602,0.8,0.0,4,0,6,0,8.28,4.93,-0.53,-0.53,4.41,0,0.0,0,0
09_rank,0,0,24,0,0,0,0.0,28,101.0,117.0,83,82,70,71,0.0,36.0,70.0,90.0,15.0,50,53.0,86,41
10,134,1012,-30,0,5,-98,0.0,-105855,0.5,0.0,21,0,11,0,-15.46,-15.46,0.71,2.14,-2.85,0,-0.0001,0,0
10_rank,0,0,128,0,0,0,0.0,50,115.0,134.0,28,35,28,30,0.0,130.0,24.0,18.0,117.0,38,63.0,124,131
11,150,9711,-67,0,7,-87,4.1,-132756,4.9,0.0,10,0,7,0,-19.78,-19.71,-1.35,7.86,-6.59,0,-0.0105,0,0
11_rank,0,0,148,0,0,0,0.0,38,98.0,125.0,37,39,49,49,0.0,147.0,87.0,15.0,109.0,91,137.0,80,39
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,5685,-19,0,8,-92,1.4,-147569,2.9,0.0,3,0,3,0,-11.55,-12.4,0.24,-0.38,0.99,0,-0.0001,0,0
13_rank,0,0,139,0,0,0,0.0,62,122.0,145.0,149,147,128,125,0.0,145.0,80.0,102.0,48.0,68,97.0,136,63
14,165,3366850,-24,85,1,98,1.2,3335138,1700.6,0.18,1,0,5,0,-6.84,-7.83,2.57,0.14,-1.72,0,-0.0186,0,0
14_rank,0,0,140,0,0,0,0.0,32,19.0,67.0,143,141,84,81,0.0,133.0,91.0,84.0,96.0,35,146.0,35,83
