,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,3021994,4,28,8,50,1.0,2037344,107.1,0.41,2,0,10,0,5.65,2.87,0.67,3.07,-0.96,0,0.0182,0,0
01_rank,0,0,58,0,0,0,0.0,23,78.0,43.0,162,159,51,54,0.0,74.0,61.0,51.0,103.0,107,20.0,37,99
02,169,225930,-1,2,6,-52,0.8,-498509,8.0,0.03,7,0,9,0,-0.38,2.3,-1.47,-4.69,3.49,0,-0.0001,0,0
02_rank,0,0,90,0,0,0,0.0,116,131.0,106.0,92,91,65,64,0.0,60.0,121.0,150.0,33.0,36,96.0,116,141
03,148,492154,6,4,3,9,1.3,88839,17.4,0.15,2,0,2,0,6.01,-7.31,-2.07,-1.84,17.22,0,0.0069,0,0
03_rank,0,0,24,0,0,0,0.0,34,78.0,56.0,132,129,133,128,0.0,125.0,126.0,125.0,4.0,103,25.0,45,93
04,131,13266,-4,0,1,-85,0.4,-160732,0.5,0.0,3,0,9,0,-2.84,10.72,2.86,-11.47,-4.94,0,-0.0002,0,0
04_rank,0,0,80,0,0,0,0.0,63,119.0,105.0,114,114,48,55,0.0,10.0,5.0,127.0,117.0,40,51.0,103,119
05,157,411819,11,3,12,-53,0.6,-954992,14.6,0.02,4,0,3,0,13.71,-9.14,-0.88,5.5,18.22,0,0.0018,0,0
05_rank,0,0,18,0,0,0,0.0,93,110.0,82.0,117,115,126,120,0.0,135.0,117.0,5.0,6.0,10,30.0,83,36
06,127,1446,-34,0,0,-95,1.0,-55886,0.1,0.0,6,0,5,0,-16.72,-11.42,-5.98,-10.78,11.46,0,-0.0007,0,0
06_rank,0,0,121,0,0,0,0.0,56,126.0,123.0,75,78,67,73,0.0,119.0,123.0,119.0,6.0,26,61.0,118,125
07,152,139351,-10,1,15,-85,1.9,-1656610,4.9,0.01,7,0,8,0,-4.42,-1.24,-1.57,-4.54,2.92,0,-0.0007,0,0
07_rank,0,0,110,0,0,0,0.0,120,124.0,104.0,95,94,56,56,0.0,95.0,114.0,130.0,28.0,46,93.0,131,56
08,150,75165,-15,0,14,-91,0.4,-1589691,2.7,0.01,3,0,2,0,-8.58,-11.03,-0.2,-5.62,8.27,0,-0.0008,0,0
08_rank,0,0,118,0,0,0,0.0,113,109.0,82.0,142,142,135,131,0.0,130.0,68.0,144.0,14.0,48,116.0,124,127
09,121,7862,4,0,2,-93,0.9,-243960,0.3,0.0,1,0,1,0,4.8,5.52,-1.4,4.55,-3.87,0,0.0,0,0
09_rank,0,0,29,0,0,0,0.0,49,107.0,94.0,117,117,119,118,0.0,35.0,84.0,15.0,89.0,36,47.0,87,34
10,134,2784,-34,0,5,-99,0.8,-590986,0.1,0.0,3,0,2,0,-16.52,-16.32,-1.34,-2.9,4.03,0,-0.0002,0,0
10_rank,0,0,131,0,0,0,0.0,93,130.0,124.0,109,108,108,110,0.0,131.0,78.0,117.0,21.0,72,73.0,133,65
11,150,9968,-19,0,15,-98,0.2,-1761128,0.4,0.0,6,0,6,0,-11.73,-7.4,-1.01,11.4,-14.72,0,-0.0002,0,0
11_rank,0,0,121,0,0,0,0.0,108,136.0,123.0,79,78,59,62,0.0,111.0,82.0,10.0,125.0,24,82.0,149,146
12,127,1968,11,0,0,-94,1.0,-74684,0.1,0.0,2,0,5,0,8.33,3.08,6.41,10.13,-11.29,0,0.0,0,0
12_rank,0,0,15,0,0,0,0.0,60,125.0,121.0,123,123,61,70,0.0,37.0,6.0,3.0,119.0,47,45.0,118,54
13,160,280562,28,2,10,-61,1.2,-905933,9.9,0.02,2,0,1,0,35.21,3.61,8.84,-7.33,30.08,0,0.0027,0,0
13_rank,0,0,10,0,0,0,0.0,124,103.0,76.0,154,151,155,154,0.0,53.0,1.0,147.0,2.0,27,28.0,91,30
14,165,1540416,-24,14,2,72,0.4,1297747,54.6,0.08,2,0,3,0,-6.98,-9.25,2.88,-6.02,5.41,0,-0.0088,0,0
14_rank,0,0,141,0,0,0,0.0,42,110.0,82.0,122,117,130,129,0.0,141.0,84.0,146.0,30.0,95,136.0,45,15
