,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,239067,-6,25,1,20,1.1,79757,51.8,0.03,2,0,5,0,-3.77,6.2,1.28,-4.83,-6.42,0,-0.0015,0,0
01_rank,0,0,148,0,0,0,0.0,70,103.0,117.0,157,149,128,127,0.0,46.0,33.0,156.0,156.0,163,124.0,74,29
02,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
02_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
03,148,32938,-17,3,0,31,1.6,15909,7.1,0.01,2,0,1,0,-10.43,-13.5,2.52,3.33,-2.77,0,-0.0022,0,0
03_rank,0,0,132,0,0,0,0.0,41,99.0,103.0,137,137,139,139,0.0,145.0,22.0,21.0,120.0,2,108.0,48,78
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,1257,-17,0,1,-98,0.0,-156237,0.3,0.0,6,0,5,0,-8.78,-7.16,-0.45,2.25,-3.42,0,0.0,0,0
07_rank,0,0,131,0,0,0,0.0,58,147.0,152.0,100,105,98,120,0.0,128.0,90.0,34.0,121.0,10,76.0,148,152
08,150,7469,3,0,2,-94,0.9,-250337,1.6,0.0,22,0,5,0,5.51,12.5,-1.02,-5.03,-0.95,0,0.0,0,0
08_rank,0,0,27,0,0,0,0.0,47,115.0,131.0,62,62,97,95,0.0,24.0,89.0,141.0,83.0,16,63.0,110,45
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,134,3460,30,0,0,-88,1.0,-52078,0.7,0.0,9,0,5,0,35.4,33.63,0.29,34.26,-32.79,0,0.0,0,0
10_rank,0,0,9,0,0,0,0.0,34,111.0,121.0,61,60,72,87,0.0,9.0,35.0,1.0,133.0,28,42.0,91,43
11,150,265736,-2,28,65,-91,0.9,-5954864,57.6,0.02,2,0,2,0,-2.34,11.28,2.08,-4.52,-11.17,0,-0.0004,0,0
11_rank,0,0,78,0,0,0,0.0,135,64.0,67.0,136,131,129,123,0.0,36.0,32.0,132.0,119.0,145,99.0,122,47
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,33446,85,3,0,-45,0.7,-55327,7.2,0.0,1,0,1,0,216.86,1.73,0.18,-2.58,217.53,0,0.0005,0,0
13_rank,0,0,1,0,0,0,0.0,41,113.0,111.0,159,157,158,157,0.0,68.0,81.0,137.0,1.0,38,48.0,56,118
14,165,198590,-19,21,3,-29,0.8,-169419,43.0,0.01,3,0,8,0,-3.16,-0.86,4.48,-1.41,-5.38,0,-0.0004,0,0
14_rank,0,0,116,0,0,0,0.0,76,115.0,123.0,75,74,47,53,0.0,77.0,67.0,103.0,135.0,33,109.0,80,128
