,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,737905,-5,84,6,81,1.1,661389,40.8,0.1,2,0,12,0,-2.83,-2.97,0.07,-2.68,2.76,0,-0.0033,0,0
01_rank,0,0,136,0,0,0,0.0,39,116.0,84.0,163,160,35,37,0.0,146.0,94.0,141.0,43.0,65,138.0,51,86
02,169,103278,12,11,6,14,5.1,26407,5.7,0.01,3,0,8,0,13.27,26.05,-1.51,-5.77,-5.51,0,0.0011,0,0
02_rank,0,0,21,0,0,0,0.0,49,141.0,124.0,148,145,73,65,0.0,14.0,125.0,155.0,146.0,68,55.0,58,105
03,148,6654,-25,0,3,-68,0.7,-29557,0.4,0.0,4,0,2,0,-13.83,-11.95,0.28,-7.6,5.45,0,-0.0009,0,0
03_rank,0,0,141,0,0,0,0.0,55,139.0,128.0,117,124,122,129,0.0,141.0,72.0,147.0,16.0,82,100.0,92,41
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,157,3764,-16,0,25,-97,0.9,-290419,0.2,0.0,6,0,4,0,-9.21,-5.9,-0.71,2.69,-5.28,0,0.0,0,0
05_rank,0,0,132,0,0,0,0.0,50,152.0,151.0,100,103,119,123,0.0,121.0,110.0,19.0,143.0,7,74.0,146,153
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,152,2225,-10,0,9,-96,0.0,-109229,0.1,0.0,4,0,3,0,-4.56,-9.95,0.33,-6.15,11.21,0,0.0,0,0
07_rank,0,0,112,0,0,0,0.0,50,151.0,148.0,113,125,132,143,0.0,136.0,57.0,137.0,8.0,27,75.0,140,149
08,150,3740,-19,0,8,-92,0.2,-94707,0.2,0.0,5,0,4,0,-10.61,-6.07,-4.13,-2.18,1.77,0,-0.0001,0,0
08_rank,0,0,125,0,0,0,0.0,28,142.0,145.0,132,133,113,112,0.0,117.0,128.0,118.0,36.0,79,81.0,90,134
09,121,1269,4,0,4,-94,0.0,-46626,0.1,0.0,3,0,6,0,5.15,10.53,-1.95,2.63,-6.06,0,0.0,0,0
09_rank,0,0,28,0,0,0,0.0,19,116.0,119.0,89,89,69,69,0.0,26.0,91.0,34.0,103.0,30,55.0,71,39
10,134,1171,-1,0,5,-96,0.0,-61307,0.1,0.0,3,0,3,0,-2.3,-10.49,-3.07,-3.37,14.63,0,0.0,0,0
10_rank,0,0,69,0,0,0,0.0,37,133.0,129.0,115,119,105,106,0.0,121.0,104.0,120.0,7.0,76,49.0,114,62
11,150,1998,-35,0,7,-95,0.4,-79023,0.1,0.0,4,0,3,0,-16.62,-10.02,-10.02,-1.05,4.47,0,-0.0001,0,0
11_rank,0,0,134,0,0,0,0.0,28,147.0,148.0,95,99,111,132,0.0,118.0,143.0,102.0,28.0,30,79.0,101,133
12,127,1797,-27,0,4,-93,1.1,-54945,0.1,0.0,2,0,1,0,-14.93,-16.11,1.09,-3.34,3.42,0,-0.0002,0,0
12_rank,0,0,121,0,0,0,0.0,55,122.0,123.0,122,121,116,120,0.0,124.0,40.0,122.0,8.0,99,56.0,115,55
13,160,4988,-31,0,9,-90,0.6,-98427,0.3,0.0,6,0,2,0,-15.67,-13.64,-3.27,0.33,0.92,0,-0.0003,0,0
13_rank,0,0,153,0,0,0,0.0,54,150.0,148.0,106,109,137,142,0.0,148.0,137.0,82.0,51.0,149,104.0,125,62
14,165,2483,-63,0,2,-81,0.7,-21360,0.1,0.0,4,0,3,0,-19.3,-19.68,4.28,-20.1,16.19,0,-0.0007,0,0
14_rank,0,0,164,0,0,0,0.0,61,163.0,162.0,57,65,125,126,0.0,165.0,69.0,159.0,22.0,16,115.0,138,157
