,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,160462,-1,17,10,-10,0.2,-35832,7.8,0.02,2,0,2,0,-0.22,8.34,-3.91,11.41,-16.06,0,0.0,0,0
01_rank,0,0,106,0,0,0,0.0,95,161.0,128.0,166,162,159,157,0.0,33.0,170.0,4.0,168.0,57,107.0,96,132
02,169,185889,20,20,14,-18,0.7,-86553,9.0,0.03,2,0,3,0,23.45,56.28,-0.82,-1.32,-30.7,0,0.0027,0,0
02_rank,0,0,12,0,0,0,0.0,72,126.0,112.0,162,155,141,141,0.0,7.0,107.0,116.0,166.0,11,43.0,67,32
03,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
03_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04,131,29088,-1,3,1,11,2.9,5973,1.4,0.01,5,0,1,0,-0.65,7.27,2.27,-13.84,3.65,0,-0.0001,0,0
04_rank,0,0,49,0,0,0,0.0,19,107.0,90.0,94,98,129,127,0.0,19.0,8.0,128.0,24.0,2,45.0,31,76
05,157,5238,9,0,7,-92,0.2,-137221,0.3,0.0,10,0,5,0,11.34,44.87,-0.33,-2.51,-30.69,0,0.0,0,0
05_rank,0,0,19,0,0,0,0.0,37,151.0,147.0,70,82,102,131,0.0,8.0,88.0,108.0,154.0,45,59.0,120,147
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08,150,7177,-8,0,8,-90,0.4,-144728,0.3,0.0,9,0,5,0,-4.4,7.23,0.16,-2.28,-9.51,0,0.0,0,0
08_rank,0,0,103,0,0,0,0.0,32,137.0,133.0,110,119,102,121,0.0,35.0,57.0,119.0,136.0,2,74.0,86,125
09,121,1209,-15,0,3,-96,1.4,-72752,0.1,0.0,3,0,2,0,-9.31,-8.53,-0.69,1.92,-2.02,0,0.0,0,0
09_rank,0,0,99,0,0,0,0.0,25,119.0,120.0,101,103,107,119,0.0,101.0,72.0,42.0,68.0,114,62.0,88,47
10,134,1837,-1,0,3,-93,0.4,-54476,0.1,0.0,3,0,2,0,-1.94,13.0,0.76,-8.5,-7.19,0,0.0,0,0
10_rank,0,0,64,0,0,0,0.0,35,131.0,128.0,106,109,124,128,0.0,19.0,22.0,132.0,130.0,106,50.0,101,57
11,150,36187,54,3,30,-87,0.2,-525502,1.8,0.0,3,0,3,0,91.81,77.73,-0.53,5.56,9.04,0,0.0004,0,0
11_rank,0,0,9,0,0,0,0.0,75,117.0,98.0,126,124,104,106,0.0,15.0,77.0,23.0,14.0,63,49.0,99,26
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,1738,-5,0,5,-96,0.2,-92501,0.1,0.0,16,0,7,0,-3.6,12.6,2.72,-7.67,-11.25,0,0.0,0,0
13_rank,0,0,114,0,0,0,0.0,52,158.0,157.0,59,77,74,92,0.0,29.0,16.0,149.0,150.0,61,84.0,143,71
14,165,451760,17,48,4,67,1.1,364208,21.9,0.02,2,0,2,0,55.82,9.39,20.82,-1.89,27.49,0,0.0035,0,0
14_rank,0,0,14,0,0,0,0.0,49,130.0,107.0,121,138,137,143,0.0,26.0,4.0,112.0,11.0,6,51.0,55,9
