,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,573596,-56,1,6,-58,0.0,-1587052,3.1,0.08,4,0,7,0,-19.23,-18.75,-3.55,-10.61,13.68,0,-0.3914,0,0
01_rank,0,0,177,0,0,0,0.0,150,169.0,93.0,112,129,97,100,0.0,177.0,167.0,172.0,15.0,167,177.0,154,68
02,169,262736,-43,0,8,-83,0.0,-2582348,1.4,0.04,4,0,9,0,-17.92,-16.3,-0.45,-14.83,13.67,0,-0.0611,0,0
02_rank,0,0,169,0,0,0,0.0,156,159.0,102.0,120,135,64,74,0.0,169.0,95.0,169.0,8.0,53,165.0,149,159
03,148,24454,-5,0,1,-92,0.0,-621329,0.1,0.01,7,0,5,0,-3.81,-8.15,-1.1,-5.06,10.49,0,-0.0003,0,0
03_rank,0,0,104,0,0,0,0.0,119,143.0,110.0,76,131,85,92,0.0,127.0,109.0,143.0,8.0,96,86.0,137,57
04,131,26152,-45,0,0,-85,0.0,-304659,0.1,0.01,2,0,7,0,-18.18,-17.85,-0.55,-14.93,15.16,0,-0.0179,0,0
04_rank,0,0,130,0,0,0,0.0,77,127.0,93.0,121,131,58,80,0.0,130.0,68.0,129.0,3.0,17,118.0,111,121
05,157,142309,-21,0,12,-93,0.0,-4291479,0.8,0.01,4,0,7,0,-11.7,-12.11,-0.66,-5.51,6.58,0,-0.0021,0,0
05_rank,0,0,141,0,0,0,0.0,129,140.0,99.0,113,129,87,91,0.0,143.0,104.0,134.0,24.0,80,115.0,145,78
06,127,50742,-55,0,0,-32,0.0,-47909,0.3,0.02,3,0,3,0,-19.29,-15.55,-1.54,-13.29,11.08,0,-0.1323,0,0
06_rank,0,0,127,0,0,0,0.0,52,117.0,76.0,99,125,85,121,0.0,123.0,93.0,123.0,7.0,4,124.0,52,95
07,152,118214,-35,0,6,-89,0.0,-2070568,0.6,0.01,8,0,9,0,-15.88,-15.88,-0.06,-4.14,4.2,0,-0.008,0,0
07_rank,0,0,150,0,0,0,0.0,126,143.0,106.0,85,122,48,87,0.0,148.0,72.0,126.0,19.0,31,127.0,136,145
08,150,14055,-39,0,17,-99,0.0,-6146246,0.1,0.0,1,0,1,0,-17.06,-17.31,1.48,2.4,-3.63,0,-0.0012,0,0
08_rank,0,0,145,0,0,0,0.0,133,148.0,119.0,149,149,143,150,0.0,144.0,19.0,27.0,111.0,69,120.0,147,147
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,21331,-34,0,3,-96,0.0,-1074198,0.1,0.0,3,0,6,0,-16.23,-17.47,-3.98,-9.35,14.56,0,-0.0014,0,0
13_rank,0,0,154,0,0,0,0.0,130,157.0,121.0,145,160,83,109,0.0,157.0,147.0,152.0,8.0,104,118.0,152,73
14,165,31719193,-28,96,28,52,0.0,21709421,170.5,1.68,1,0,12,0,-9.48,-8.51,1.41,-1.83,-0.55,0,-0.3031,0,0
14_rank,0,0,148,0,0,0,0.0,15,82.0,19.0,145,145,13,19,0.0,135.0,114.0,111.0,76.0,61,164.0,13,102
