,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,221887,157,39,16,28,0.8,98874,2343.6,0.03,3,0,5,0,919.92,947.54,1.84,7.75,-37.21,0,0.006,0,0
01_rank,0,0,1,0,0,0,0.0,67,4.0,119.0,137,148,112,113,0.0,1.0,26.0,15.0,173.0,17,41.0,66,9
02,169,281268,-9,49,10,56,1.2,203561,2970.8,0.04,1,0,4,0,-6.16,-3.49,-0.42,-3.05,0.79,0,-0.0034,0,0
02_rank,0,0,148,0,0,0,0.0,40,3.0,100.0,168,165,126,121,0.0,136.0,93.0,139.0,64.0,19,132.0,55,81
03,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
03_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
06_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,150,2914,-27,0,12,-93,0.0,-90509,30.8,0.0,4,0,4,0,-14.64,-14.36,1.24,2.17,-3.68,0,-0.0001,0,0
11_rank,0,0,128,0,0,0,0.0,31,74.0,143.0,100,103,90,102,0.0,131.0,52.0,43.0,100.0,102,78.0,94,53
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,21505,47,3,13,-64,1.0,-77894,227.1,0.0,5,0,5,0,75.87,69.05,1.28,2.52,3.02,0,0.0003,0,0
13_rank,0,0,4,0,0,0,0.0,50,44.0,120.0,126,127,94,89,0.0,5.0,38.0,21.0,35.0,126,52.0,76,123
14,165,14324,-47,2,7,-60,0.5,-43629,151.3,0.0,2,0,2,0,-16.87,-17.46,8.23,-27.83,20.21,0,-0.0008,0,0
14_rank,0,0,161,0,0,0,0.0,63,86.0,156.0,107,116,134,138,0.0,161.0,28.0,162.0,17.0,68,116.0,113,149
