,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,535640,7,94,22,9,0.8,96574,37.4,0.07,4,0,2,0,7.85,-0.05,2.69,2.84,2.37,0,0.0041,0,0
01_rank,0,0,46,0,0,0,0.0,68,119.0,95.0,124,116,153,152,0.0,106.0,15.0,54.0,51.0,11,50.0,70,15
02,169,14594,52,2,32,-95,0.0,-637633,1.0,0.0,3,0,3,0,91.33,57.97,1.76,-6.07,37.67,0,0.0003,0,0
02_rank,0,0,4,0,0,0,0.0,126,161.0,151.0,151,149,139,136,0.0,6.0,19.0,157.0,4.0,159,70.0,164,167
03,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
03_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,157,1621,-11,0,6,-97,0.6,-117836,0.1,0.0,1,0,1,0,-6.57,-4.59,-1.21,-1.92,1.15,0,0.0,0,0
05_rank,0,0,122,0,0,0,0.0,34,155.0,154.0,152,154,155,155,0.0,116.0,122.0,100.0,57.0,133,67.0,142,85
06,127,2244,-24,0,5,-96,0.5,-110522,0.2,0.0,2,0,3,0,-14.12,-7.2,1.65,-11.64,3.08,0,-0.0005,0,0
06_rank,0,0,114,0,0,0,0.0,75,119.0,120.0,114,122,96,107,0.0,108.0,21.0,121.0,26.0,13,59.0,124,124
07,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
07_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
08_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
14,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
14_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
