,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,1131929,-6,35,9,24,1.0,443612,21.8,0.16,5,0,4,0,-3.54,-3.22,-2.54,-3.65,5.87,0,-0.0067,0,0
01_rank,0,0,143,0,0,0,0.0,43,138.0,70.0,101,99,134,132,0.0,149.0,158.0,150.0,21.0,126,150.0,58,30
02,169,111014,-5,3,15,-80,0.6,-930502,2.1,0.02,3,0,8,0,-3.7,4.39,2.05,-7.81,-2.33,0,-0.0007,0,0
02_rank,0,0,134,0,0,0,0.0,132,153.0,122.0,141,143,79,86,0.0,44.0,15.0,163.0,137.0,89,111.0,147,64
03,148,14936,-10,0,2,-81,1.6,-133928,0.3,0.0,2,0,1,0,-7.09,0.79,1.23,8.66,-17.77,0,-0.0005,0,0
03_rank,0,0,123,0,0,0,0.0,83,140.0,117.0,136,138,136,141,0.0,54.0,50.0,4.0,146.0,19,92.0,124,139
04,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
04_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
05,157,14968,-39,0,16,-97,0.8,-1122951,0.3,0.0,2,0,2,0,-17.02,-16.44,0.5,-13.82,12.74,0,-0.0009,0,0
05_rank,0,0,153,0,0,0,0.0,97,150.0,135.0,138,138,136,135,0.0,150.0,28.0,155.0,12.0,122,100.0,154,84
06,127,4579,-46,0,2,-95,0.8,-188120,0.1,0.0,2,0,3,0,-18.49,-16.35,0.57,-14.51,11.8,0,-0.0053,0,0
06_rank,0,0,125,0,0,0,0.0,84,123.0,116.0,125,121,90,97,0.0,126.0,46.0,125.0,5.0,19,99.0,123,123
07,152,11346,-4,0,9,-96,0.8,-678157,0.2,0.0,2,0,3,0,0.08,-1.44,4.96,-7.08,3.64,0,0.0,0,0
07_rank,0,0,67,0,0,0,0.0,98,149.0,138.0,141,140,121,121,0.0,98.0,1.0,144.0,23.0,76,70.0,146,150
08,150,2275,-33,0,12,-99,0.2,-858436,0.0,0.0,4,0,4,0,-15.76,-16.91,-1.35,10.38,-7.87,0,-0.0001,0,0
08_rank,0,0,142,0,0,0,0.0,93,149.0,148.0,140,140,119,113,0.0,143.0,99.0,4.0,130.0,50,91.0,146,148
09,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
09_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,150,4138,-46,0,6,-98,0.3,-461831,0.1,0.0,3,0,3,0,-18.45,-19.06,8.91,-15.76,7.46,0,-0.0006,0,0
11_rank,0,0,142,0,0,0,0.0,68,148.0,141.0,119,117,113,108,0.0,143.0,5.0,146.0,19.0,92,107.0,136,65
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,6227,0,0,7,-97,0.6,-499942,0.1,0.0,2,0,2,0,-0.28,-1.2,-1.2,-7.57,9.7,0,0.0,0,0
13_rank,0,0,88,0,0,0,0.0,111,156.0,144.0,155,153,148,148,0.0,99.0,115.0,148.0,16.0,79,83.0,154,74
14,165,1901229,-11,59,0,97,0.6,1875894,36.7,0.1,1,0,1,0,4.33,-3.93,8.68,0.8,-1.23,0,0.0036,0,0
14_rank,0,0,60,0,0,0,0.0,40,119.0,79.0,161,157,159,159,0.0,104.0,26.0,71.0,87.0,9,49.0,52,1
