,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,1002562,4,40,4,62,0.8,773795,24.2,0.14,6,0,12,0,4.85,3.75,-0.4,-1.13,2.63,0,0.0054,0,0
01_rank,0,0,62,0,0,0,0.0,38,133.0,74.0,85,83,39,39,0.0,66.0,119.0,118.0,46.0,105,45.0,38,95
02,169,374320,0,15,9,-12,0.8,-102058,9.0,0.05,16,0,5,0,0.69,9.08,-1.17,3.86,-11.08,0,0.0003,0,0
02_rank,0,0,75,0,0,0,0.0,74,125.0,93.0,44,45,115,110,0.0,26.0,116.0,25.0,156.0,23,69.0,64,27
03,148,42350,12,1,2,-53,2.0,-98275,1.0,0.01,11,0,3,0,12.69,1.42,0.88,-2.38,12.77,0,0.001,0,0
03_rank,0,0,14,0,0,0,0.0,72,126.0,100.0,47,45,118,122,0.0,49.0,58.0,130.0,6.0,74,44.0,76,117
04,131,13591,-8,0,3,-83,2.3,-137042,0.3,0.0,16,0,4,0,-5.9,1.53,-1.64,-7.89,2.09,0,-0.0004,0,0
04_rank,0,0,98,0,0,0,0.0,60,121.0,104.0,46,51,85,94,0.0,42.0,92.0,125.0,38.0,37,61.0,101,118
05,157,113229,5,4,19,-78,0.8,-818223,2.7,0.01,11,0,7,0,6.53,11.98,-0.69,-1.69,-3.08,0,0.0003,0,0
05_rank,0,0,24,0,0,0,0.0,90,130.0,105.0,66,66,80,82,0.0,20.0,107.0,93.0,136.0,50,40.0,111,137
06,127,55230,4,2,1,-11,0.9,-14411,1.3,0.03,3,0,4,0,1.04,15.26,1.65,-10.34,-5.54,0,0.0003,0,0
06_rank,0,0,34,0,0,0,0.0,35,97.0,73.0,109,106,82,82,0.0,17.0,20.0,118.0,101.0,23,37.0,37,16
07,152,168957,-11,6,9,-47,1.7,-309274,4.1,0.01,6,0,5,0,-5.11,5.72,-3.6,-1.77,-5.46,0,-0.001,0,0
07_rank,0,0,116,0,0,0,0.0,76,127.0,100.0,101,97,92,99,0.0,36.0,140.0,100.0,127.0,50,99.0,82,42
08,150,47525,-7,1,7,-77,1.1,-335413,1.1,0.0,34,0,8,0,-3.88,4.89,-1.09,-3.06,-4.62,0,-0.0002,0,0
08_rank,0,0,99,0,0,0,0.0,56,123.0,88.0,40,41,70,78,0.0,43.0,90.0,126.0,116.0,52,93.0,71,112
09,121,24595,-36,0,3,-74,0.3,-147186,0.6,0.0,3,0,2,0,-16.69,-16.73,-3.53,1.2,2.38,0,-0.0022,0,0
09_rank,0,0,116,0,0,0,0.0,35,102.0,78.0,104,101,110,108,0.0,117.0,105.0,55.0,18.0,44,93.0,53,93
10,134,10106,0,0,3,-88,1.3,-154697,0.2,0.0,12,0,6,0,-1.3,-2.15,0.2,0.24,0.42,0,0.0,0,0
10_rank,0,0,57,0,0,0,0.0,56,121.0,110.0,49,50,68,77,0.0,89.0,38.0,53.0,54.0,61,52.0,97,46
11,150,88339,0,3,9,-67,1.9,-364870,2.1,0.01,5,0,11,0,-0.08,56.63,-4.31,0.68,-53.07,0,0.0,0,0
11_rank,0,0,63,0,0,0,0.0,61,112.0,83.0,89,87,25,32,0.0,18.0,116.0,65.0,135.0,13,64.0,62,114
12,127,5399,19,0,1,-85,3.2,-61777,0.1,0.0,10,0,6,0,16.87,16.7,6.86,38.05,-44.74,0,0.0001,0,0
12_rank,0,0,7,0,0,0,0.0,57,120.0,114.0,87,89,52,78,0.0,10.0,5.0,1.0,127.0,71,42.0,96,112
13,160,46357,-4,1,5,-69,0.4,-215659,1.1,0.0,19,0,8,0,-3.05,5.68,0.4,-8.92,-0.21,0,-0.0001,0,0
13_rank,0,0,109,0,0,0,0.0,77,133.0,104.0,51,52,54,73,0.0,43.0,74.0,150.0,80.0,128,99.0,90,42
14,165,149339,-2,6,17,-70,1.6,-701547,3.6,0.01,2,0,2,0,15.82,92.79,2.47,1.23,-80.66,0,0.0007,0,0
14_rank,0,0,31,0,0,0,0.0,100,153.0,129.0,126,122,147,145,0.0,9.0,92.0,68.0,162.0,91,74.0,133,152
