,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,1568661,2,35,3,69,2.7,1285297,28.2,0.21,9,0,9,0,3.43,-0.34,2.3,-0.62,2.09,0,0.0063,0,0
01_rank,0,0,68,0,0,0,0.0,31,130.0,62.0,59,60,75,73,0.0,109.0,23.0,109.0,57.0,39,38.0,35,2
02,169,254611,-3,5,8,-44,1.2,-403434,4.6,0.03,20,0,9,0,-2.09,-4.87,-1.69,4.04,0.43,0,-0.0008,0,0
02_rank,0,0,116,0,0,0,0.0,110,144.0,104.0,33,37,68,68,0.0,146.0,129.0,23.0,73.0,104,114.0,100,44
03,148,59234,0,1,2,-44,1.4,-95720,1.1,0.02,7,0,4,0,0.86,-5.11,3.47,2.27,0.23,0,0.0001,0,0
03_rank,0,0,59,0,0,0,0.0,71,125.0,90.0,74,80,99,100,0.0,109.0,13.0,30.0,65.0,98,60.0,68,112
04,131,89948,-4,2,2,-29,0.8,-74312,1.6,0.03,8,0,7,0,-2.84,-0.38,-1.19,-6.59,5.32,0,-0.001,0,0
04_rank,0,0,81,0,0,0,0.0,44,105.0,76.0,81,85,55,54,0.0,61.0,84.0,122.0,18.0,33,72.0,41,92
05,157,99058,-11,2,18,-86,0.5,-1313424,1.8,0.01,14,0,7,0,-6.59,-8.83,-0.82,-5.12,8.19,0,-0.0005,0,0
05_rank,0,0,123,0,0,0,0.0,101,132.0,108.0,56,58,81,85,0.0,134.0,114.0,130.0,19.0,27,91.0,130,141
06,127,4079,-28,0,0,-85,0.5,-49432,0.1,0.0,4,0,7,0,-15.25,-7.87,2.41,-11.51,1.72,0,-0.0013,0,0
06_rank,0,0,120,0,0,0,0.0,55,124.0,117.0,90,94,45,43,0.0,110.0,14.0,120.0,31.0,32,67.0,98,116
07,152,128036,-10,2,10,-71,1.0,-652011,2.3,0.01,11,0,5,0,-4.48,-4.0,-3.09,-6.57,9.19,0,-0.0006,0,0
07_rank,0,0,111,0,0,0,0.0,97,136.0,105.0,72,69,93,91,0.0,113.0,134.0,142.0,12.0,29,92.0,113,132
08,150,14003,-46,0,11,-96,0.4,-877431,0.3,0.0,16,0,7,0,-18.14,-17.83,-2.12,-5.16,6.98,0,-0.0019,0,0
08_rank,0,0,146,0,0,0,0.0,94,140.0,120.0,84,84,80,79,0.0,146.0,108.0,142.0,17.0,29,126.0,136,141
09,121,7336,-1,0,3,-95,0.2,-292808,0.1,0.0,3,0,3,0,-0.46,0.36,-0.97,2.11,-1.96,0,0.0,0,0
09_rank,0,0,60,0,0,0,0.0,54,110.0,97.0,98,99,97,98,0.0,63.0,76.0,39.0,65.0,24,59.0,94,111
10,134,6311,-28,0,4,-96,0.9,-369356,0.1,0.0,3,0,2,0,-15.14,-14.73,1.22,-0.78,-0.85,0,-0.0003,0,0
10_rank,0,0,126,0,0,0,0.0,77,128.0,117.0,112,113,109,111,0.0,127.0,18.0,81.0,89.0,98,76.0,123,63
11,150,7779,-42,0,13,-98,0.2,-1049225,0.1,0.0,7,0,6,0,-17.91,-17.66,-2.85,-5.23,7.83,0,-0.0008,0,0
11_rank,0,0,138,0,0,0,0.0,91,145.0,129.0,65,67,61,61,0.0,140.0,111.0,134.0,17.0,37,113.0,142,145
12,127,47583,40,1,1,-27,0.2,-35358,0.9,0.01,5,0,4,0,52.55,22.88,7.31,-5.05,27.42,0,0.0015,0,0
12_rank,0,0,2,0,0,0,0.0,53,113.0,94.0,109,110,77,79,0.0,6.0,4.0,126.0,1.0,98,29.0,56,94
13,160,124003,5,2,4,-43,0.9,-193997,2.2,0.01,7,0,2,0,5.28,-9.13,-0.31,-6.17,20.9,0,0.0004,0,0
13_rank,0,0,41,0,0,0,0.0,74,125.0,89.0,100,100,146,146,0.0,137.0,94.0,146.0,3.0,96,49.0,67,122
14,165,465248,-17,10,14,-41,0.4,-670613,8.4,0.02,2,0,5,0,-1.54,-10.12,5.13,18.45,-14.99,0,-0.0004,0,0
14_rank,0,0,109,0,0,0,0.0,97,143.0,106.0,118,113,97,93,0.0,146.0,59.0,10.0,156.0,144,111.0,99,48
