,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,398905,-15,7,4,41,1.0,232698,24.0,0.05,4,0,8,0,-9.16,-3.56,-1.97,2.65,-6.29,0,-0.0092,0,0
01_rank,0,0,168,0,0,0,0.0,55,134.0,104.0,116,114,82,80,0.0,151.0,150.0,55.0,154.0,56,153.0,62,112
02,169,139537,-24,2,6,-32,0.8,-133468,8.4,0.02,6,0,6,0,-13.42,-13.09,-4.44,-7.95,12.06,0,-0.0077,0,0
02_rank,0,0,164,0,0,0,0.0,79,130.0,116.0,99,98,92,94,0.0,165.0,159.0,165.0,10.0,55,146.0,81,128
03,148,95219,-2,1,2,-7,1.1,-16086,5.7,0.03,1,0,1,0,-1.58,-10.38,-11.42,-5.79,26.01,0,-0.0005,0,0
03_rank,0,0,89,0,0,0,0.0,49,102.0,81.0,144,142,147,144,0.0,134.0,148.0,145.0,3.0,42,91.0,52,19
04,131,2394,-8,0,1,-93,1.2,-65711,0.1,0.0,4,0,2,0,-5.52,-1.53,-6.72,5.26,-2.53,0,-0.0001,0,0
04_rank,0,0,97,0,0,0,0.0,38,126.0,129.0,110,109,124,122,0.0,74.0,127.0,8.0,107.0,116,44.0,114,69
05,157,24181,-44,0,18,-93,1.3,-728789,1.5,0.0,4,0,3,0,-17.93,-18.07,-2.15,-13.65,15.94,0,-0.0022,0,0
05_rank,0,0,155,0,0,0,0.0,83,135.0,132.0,115,114,132,126,0.0,154.0,140.0,154.0,9.0,110,116.0,141,80
06,127,9590,21,0,0,-36,0.7,-11169,0.6,0.0,2,0,3,0,18.62,27.96,-4.11,-3.84,-1.39,0,0.0004,0,0
06_rank,0,0,9,0,0,0,0.0,33,110.0,103.0,120,117,94,93,0.0,13.0,113.0,99.0,67.0,52,32.0,49,96
07,152,4334400,-10,81,12,79,1.1,3837742,261.2,0.38,2,0,4,0,-4.92,-9.6,-3.43,-12.44,20.55,0,-0.0248,0,0
07_rank,0,0,115,0,0,0,0.0,14,47.0,42.0,136,135,105,105,0.0,134.0,139.0,150.0,4.0,54,141.0,32,1
08,150,33572,-27,0,17,-90,1.2,-673497,2.0,0.0,18,0,3,0,-14.07,-9.22,-4.36,-2.66,2.17,0,-0.0011,0,0
08_rank,0,0,136,0,0,0,0.0,83,113.0,95.0,79,78,125,123,0.0,125.0,130.0,123.0,32.0,26,119.0,112,129
09,121,2423,-30,0,5,-97,1.1,-213264,0.1,0.0,11,0,4,0,-15.26,-10.27,-2.37,-0.19,-2.43,0,-0.0001,0,0
09_rank,0,0,112,0,0,0,0.0,46,108.0,111.0,31,31,77,80,0.0,104.0,97.0,82.0,75.0,34,78.0,107,118
10,134,11097,-32,0,6,-91,0.7,-241623,0.7,0.0,1,0,2,0,-16.04,-14.15,-3.52,-3.61,5.24,0,-0.0007,0,0
10_rank,0,0,129,0,0,0,0.0,67,113.0,109.0,128,128,122,122,0.0,126.0,110.0,123.0,18.0,34,88.0,106,125
11,150,11486,-36,0,7,-92,0.4,-293453,0.7,0.0,10,0,3,0,-16.74,-10.17,-6.0,5.18,-5.75,0,-0.0007,0,0
11_rank,0,0,135,0,0,0,0.0,53,130.0,119.0,45,48,115,121,0.0,122.0,127.0,25.0,106.0,122,111.0,109,52
12,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12_rank,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,160,6473,-50,0,5,-94,0.7,-217149,0.4,0.0,5,0,3,0,-18.78,-18.84,-6.34,-9.77,16.17,0,-0.0015,0,0
13_rank,0,0,159,0,0,0,0.0,81,147.0,143.0,123,122,119,118,0.0,159.0,157.0,153.0,6.0,50,120.0,142,68
14,165,231404,-10,4,8,-19,0.2,-111972,13.9,0.01,4,0,9,0,5.89,-7.02,15.06,-12.46,10.31,0,0.0006,0,0
14_rank,0,0,52,0,0,0,0.0,70,138.0,120.0,65,62,43,45,0.0,128.0,9.0,156.0,28.0,159,77.0,68,120
