,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,995859,-1,35,11,23,0.9,374312,61.7,0.14,1,0,1,0,-0.37,-1.82,0.7,-1.55,2.31,0,-0.0005,0,0
01_rank,0,0,110,0,0,0,0.0,48,97.0,76.0,175,173,174,172,0.0,131.0,57.0,126.0,53.0,124,115.0,71,24
02,169,117513,-12,4,9,-60,1.4,-360284,7.3,0.02,4,0,2,0,-7.79,-2.83,-0.3,-5.29,0.63,0,-0.002,0,0
02_rank,0,0,154,0,0,0,0.0,106,134.0,119.0,121,118,150,150,0.0,129.0,88.0,154.0,67.0,101,123.0,123,57
03,148,33256,-4,1,2,-53,1.3,-76056,2.1,0.01,5,0,3,0,-3.2,-6.38,-1.03,2.53,1.68,0,-0.0004,0,0
03_rank,0,0,101,0,0,0,0.0,67,117.0,102.0,94,91,115,131,0.0,121.0,105.0,26.0,36.0,128,87.0,72,31
04,131,11277,-15,0,1,-69,1.0,-50246,0.7,0.0,7,0,2,0,-9.74,-7.35,-2.79,0.4,0.0,0,-0.0007,0,0
04_rank,0,0,111,0,0,0,0.0,33,116.0,108.0,83,81,119,131,0.0,116.0,103.0,44.0,69.0,38,65.0,62,110
05,157,14567,-16,0,15,-96,1.2,-778885,0.9,0.0,18,0,3,0,-9.44,-8.71,-1.84,4.12,-3.01,0,-0.0001,0,0
05_rank,0,0,133,0,0,0,0.0,88,138.0,136.0,39,47,121,144,0.0,132.0,137.0,11.0,135.0,85,82.0,149,81
06,127,5396,-1,0,0,-47,2.3,-9783,0.3,0.0,5,0,2,0,-3.19,8.98,-5.34,2.15,-8.98,0,-0.0001,0,0
06_rank,0,0,68,0,0,0,0.0,32,113.0,115.0,80,83,121,124,0.0,30.0,122.0,28.0,106.0,58,44.0,55,32
07,152,188000,-13,6,6,-27,1.6,-143043,11.6,0.02,2,0,2,0,-6.26,-8.06,-1.02,6.78,-3.95,0,-0.0015,0,0
07_rank,0,0,124,0,0,0,0.0,54,114.0,96.0,132,130,138,139,0.0,132.0,103.0,16.0,122.0,30,106.0,58,108
08,150,17304,0,0,8,-92,0.8,-430460,1.1,0.0,19,0,3,0,1.41,19.6,-4.95,5.25,-18.48,0,0.0,0,0
08_rank,0,0,51,0,0,0,0.0,66,125.0,113.0,69,74,127,126,0.0,17.0,135.0,12.0,146.0,14,65.0,111,41
09,121,2288,19,0,3,-97,0.0,-182172,0.1,0.0,4,0,2,0,22.11,25.58,-2.41,5.49,-6.56,0,0.0,0,0
09_rank,0,0,14,0,0,0,0.0,42,109.0,113.0,82,83,108,114,0.0,14.0,98.0,10.0,105.0,119,51.0,104,115
10,134,9687,-3,0,2,-84,0.6,-105922,0.6,0.0,7,0,2,0,-3.66,1.24,-2.22,-2.06,-0.62,0,0.0,0,0
10_rank,0,0,83,0,0,0,0.0,51,114.0,112.0,76,76,114,124,0.0,52.0,94.0,108.0,83.0,66,58.0,92,45
11,150,11679,-17,0,6,-93,0.4,-319918,0.7,0.0,4,0,2,0,-10.94,48.08,-7.78,-5.65,-45.59,0,-0.0002,0,0
11_rank,0,0,116,0,0,0,0.0,55,129.0,118.0,101,98,126,122,0.0,20.0,135.0,137.0,134.0,78,81.0,111,55
12,127,8501,11,0,0,-58,0.9,-23650,0.5,0.0,10,0,2,0,8.78,15.89,3.08,-3.47,-6.71,0,0.0001,0,0
12_rank,0,0,14,0,0,0,0.0,49,118.0,111.0,86,87,109,106,0.0,11.0,13.0,123.0,111.0,16,41.0,74,33
13,160,27203,-5,0,3,-73,0.9,-152039,1.7,0.0,6,0,3,0,-4.17,1.15,-4.31,2.64,-3.65,0,-0.0001,0,0
13_rank,0,0,118,0,0,0,0.0,67,129.0,112.0,107,108,122,121,0.0,72.0,148.0,17.0,132.0,52,96.0,92,43
14,165,536504,-22,18,29,-47,6.0,-978492,33.2,0.03,3,0,2,0,-5.38,6.13,3.18,-8.29,-6.39,0,-0.0021,0,0
14_rank,0,0,132,0,0,0,0.0,107,122.0,104.0,87,93,145,146,0.0,35.0,80.0,151.0,142.0,65,127.0,110,143
