,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"42,328",-1%,0%,6%,-87%,1.2,"-620,510",1.5,0.01%,4, ,5, ,0.0800%,-5.1600%,0.7700%,-14.1900%,18.6700%, ,0.0000%, , 
01_rank, , ,103, , , , ,135,174,156,121,118,118,125, ,160,52,175,7,26,103,168,74
02, , , , , , , , , , , , , , , , , , , , , , , 
02_rank, , , , , , , , , , , , , , , , , , , , , , , 
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , , , , , 
13_rank, , , , , , , , , , , , , , , , , , , , , , , 
14,165,"27,029,284",-21%,98%,6%,94%,0.2,"26,299,980",938.1,1.43%,1, ,3, ,-4.7600%,-7.6300%,6.5000%,-1.3600%,-2.2700%, ,-0.0895%, , 
14_rank, , ,126, , , , ,12,31,25,156,152,117,114, ,132,47,100,108,30,158,30,88
