,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01, , , , , , , , , , , , , , , , , , , , , , , 
01_rank, , , , , , , , , , , , , , , , , , , , , , , 
02,169,"10,378",-9%,0%,7%,-94%,1.2,"-336,670",2.0,0.00%,2, ,2, ,-6.0300%,-10.9200%,-3.2900%,2.2000%,5.9700%, ,-0.0001%, , 
02_rank, , ,147, , , , ,101,154,156,164,167,151,164, ,161,152,40,20,136,97,159,72
03,148,"327,234",51%,6%,1%,66%,1.6,"261,093",63.8,0.10%,4, ,3, ,87.4500%,77.1600%,3.3400%,-1.5800%,8.5200%, ,0.0162%, , 
03_rank, , ,2, , , , ,29,45,65,118,121,110,106, ,3,14,121,12,137,18,40,68
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05,157,"8,981",-2%,0%,6%,-94%,1.7,"-287,026",1.8,0.00%,2, ,2, ,-0.2500%,-14.9000%,-2.9400%,-1.7500%,19.3400%, ,0.0000%, , 
05_rank, , ,68, , , , ,49,133,140,145,150,142,141, ,147,150,94,4,124,63,137,79
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"966,778",109%,20%,13%,21%,1.0,"344,913",188.6,0.08%,1, ,4, ,441.3700%,490.1700%,-1.7200%,1.7800%,-48.8700%, ,0.0162%, , 
07_rank, , ,3, , , , ,26,54,65,151,149,107,106, ,2,115,42,149,109,15,36,83
08,150,"20,566",-27%,0%,12%,-93%,1.7,"-560,106",4.0,0.00%,13, ,10, ,-13.9300%,-12.5900%,-3.3700%,-3.4400%,5.4700%, ,-0.0007%, , 
08_rank, , ,135, , , , ,77,102,108,93,95,44,57, ,134,120,130,20,77,112,119,135
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10,134,"1,047",-37%,0%,5%,-99%,1.0,"-260,377",0.2,0.00%,8, ,8, ,-17.1100%,-15.4200%,-2.4500%,0.1300%,0.6300%, ,-0.0001%, , 
10_rank, , ,132, , , , ,68,123,133,71,75,49,59, ,129,97,56,50,125,65,132,66
11,150,"7,375",-72%,0%,29%,-98%,2.4,"-1,333,787",1.4,0.00%,7, ,6, ,-19.8900%,-19.7700%,-9.0700%,-7.4800%,16.4300%, ,-0.0158%, , 
11_rank, , ,150, , , , ,100,120,131,67,77,62,71, ,149,139,141,6,44,139,147,148
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"10,891",-27%,0%,5%,-92%,1.4,"-253,678",2.1,0.00%,4, ,5, ,-14.5300%,-14.1400%,-1.1800%,-5.4500%,6.2400%, ,-0.0004%, , 
13_rank, , ,149, , , , ,84,126,133,134,133,91,90, ,150,113,144,25,1,108,140,154
14,165,"3,309,366",-13%,69%,1%,97%,0.9,"3,261,728",645.6,0.18%,1, ,2, ,2.5200%,-1.9800%,2.1100%,-1.7100%,4.1000%, ,0.0039%, , 
14_rank, , ,71, , , , ,34,43,69,154,150,138,135, ,94,102,108,33,64,47,43,3
