,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"7,681,311",10%,74%,15%,72%,0.7,"6,432,252",324.2,1.05%,3, ,12, ,11.8600%,13.3300%,1.4900%,0.8400%,-3.8000%, ,0.0784%, , 
01_rank, , ,29, , , , ,14,35,25,135,130,38,41, ,22,29,81,138,148,4,25,90
02,169,"567,056",-5%,5%,11%,-23%,0.8,"-348,911",23.9,0.08%,7, ,6, ,-3.5400%,-0.7000%,-1.4000%,-1.7100%,0.2700%, ,-0.0033%, , 
02_rank, , ,131, , , , ,104,117,82,94,92,101,98, ,101,118,123,75,96,131,77,37
03,148,"195,233",-6%,1%,1%,15%,1.5,"51,793",8.2,0.06%,8, ,13, ,-4.1100%,-3.9400%,1.2700%,0.3000%,-1.7300%, ,-0.0031%, , 
03_rank, , ,108, , , , ,37,94,73,70,71,21,22, ,104,48,73,113,132,113,30,13
04,131,"16,930",-31%,0%,2%,-85%,0.9,"-206,526",0.7,0.01%,3, ,4, ,-15.4300%,-12.8300%,1.6700%,-7.4400%,3.1800%, ,-0.0039%, , 
04_rank, , ,126, , , , ,70,115,101,115,113,89,92, ,123,12,124,29,128,94,106,61
05,157,"87,788",-29%,0%,14%,-85%,0.5,"-1,046,959",3.7,0.00%,8, ,5, ,-14.6300%,-12.5600%,0.1200%,-5.7200%,3.5300%, ,-0.0025%, , 
05_rank, , ,148, , , , ,95,125,113,79,77,99,99, ,144,54,136,34,123,119,125,69
06,127,"10,335",-36%,0%,0%,-75%,1.4,"-64,184",0.4,0.00%,4, ,6, ,-17.1100%,-16.0500%,0.1500%,-5.1800%,3.9700%, ,-0.0058%, , 
06_rank, , ,123, , , , ,59,111,102,94,93,49,57, ,125,63,106,18,44,101,90,45
07,152,"23,015",-31%,0%,10%,-94%,0.7,"-809,297",1.0,0.00%,5, ,7, ,-14.8200%,-10.3000%,-1.2300%,-3.5400%,0.2400%, ,-0.0012%, , 
07_rank, , ,146, , , , ,102,141,133,103,102,63,65, ,139,106,121,67,35,100,142,148
08,150,"24,718",-28%,0%,9%,-93%,1.7,"-739,677",1.0,0.00%,6, ,8, ,-14.3900%,-14.0700%,-1.8100%,-6.0700%,7.5700%, ,-0.0009%, , 
08_rank, , ,137, , , , ,88,127,105,129,127,64,61, ,138,103,146,16,56,118,125,137
09,121,"2,960",-23%,0%,3%,-97%,0.2,"-265,642",0.1,0.00%,9, ,8, ,-12.9400%,-11.8200%,-1.1800%,6.8600%,-6.8000%, ,-0.0001%, , 
09_rank, , ,109, , , , ,52,111,109,47,49,39,45, ,109,81,4,107,49,73,110,116
10,134,"6,408",4%,0%,3%,-95%,1.0,"-269,945",0.3,0.00%,4, ,4, ,3.0100%,-4.5000%,-1.9400%,1.1200%,8.3200%, ,0.0000%, , 
10_rank, , ,31, , , , ,69,119,116,102,103,96,96, ,104,88,29,12,74,47,118,127
11,150,"2,673",-59%,0%,6%,-98%,0.3,"-478,101",0.1,0.00%,12, ,7, ,-19.4700%,-19.4400%,-0.7200%,-3.0400%,3.7200%, ,-0.0012%, , 
11_rank, , ,146, , , , ,70,146,144,28,36,56,74, ,145,79,122,32,100,118,144,66
12,127,"2,534",-5%,0%,1%,-95%,0.5,"-118,968",0.1,0.00%,22, ,3, ,-5.0700%,-2.3600%,7.4200%,30.0500%,-40.1800%, ,0.0000%, , 
12_rank, , ,90, , , , ,68,121,119,49,48,93,91, ,81,3,2,126,34,52,123,127
13,160,"46,749",-25%,0%,5%,-81%,0.4,"-408,170",2.0,0.00%,6, ,4, ,-13.6400%,-12.2600%,5.4100%,5.0900%,-11.8900%, ,-0.0015%, , 
13_rank, , ,145, , , , ,101,127,103,109,105,99,101, ,143,4,8,152,70,121,118,53
14,165,"1,173,424",-22%,11%,13%,5%,1.1,"129,221",49.5,0.06%,3, ,9, ,-5.2900%,-5.4900%,3.2400%,-2.6700%,-0.3600%, ,-0.0045%, , 
14_rank, , ,131, , , , ,55,112,90,81,84,35,55, ,120,79,126,73,56,133,36,109
